Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1707084000.0 1000.0 NA 344 220 0 94 NA 526 346 0 176 NA 1965 599 265 208 NA 1369 936 355 233
1707084000.0 112.0 129 159 331 NA NA 285 254 508 NA NA 1097 277 1143 NA NA 660 232 1215 NA NA
1707084000.0 113.0 130 160 336 NA NA 278 258 505 NA NA 1148 273 1188 NA NA 688 238 1591 NA NA
1707084000.0 116.0 137 162 371 NA NA 291 256 490 NA NA 1383 282 1220 NA NA 739 244 1190 NA NA
1707084000.0 11634.91 NA 247 528 0 159 NA 384 711 0 270 NA 356 1486 382 260 NA 257 1391 461 287
1707084000.0 121.0 136 166 347 NA NA 291 263 503 NA NA 1802 301 1317 NA NA 947 791 1235 NA NA
1707084000.0 125.0 134 162 337 NA NA 292 252 494 NA NA 1298 281 1188 NA NA 710 248 1259 NA NA
1707084000.0 130.0 106 155 324 NA NA 227 252 490 NA NA 435 256 1111 NA NA 515 241 1260 NA NA
1707084000.0 1304.181 95 274 270 186 150 235 366 433 307 245 1464 1058 473 508 309 1007 461 434 467 368
1707084000.0 1304.182 117 257 275 156 NA 235 364 406 310 NA 1436 1040 518 530 NA 822 436 690 920 NA
1707084000.0 132.0 127 162 340 NA NA 285 261 509 NA NA 1381 281 1232 NA NA 732 240 1270 NA NA
1707084000.0 1321.0 NA 198 380 0 137 NA 337 569 0 240 NA 290 1195 288 324 NA 328 1117 321 628
1707084000.0 1322.0 NA 197 379 0 145 NA 335 556 0 246 NA 306 1218 292 305 NA 409 1123 383 324
1707084000.0 135.11 409 0 180 144 NA 577 0 288 241 NA 918 197 559 305 NA 890 224 656 312 NA
1707084000.0 136.803 NA 165 476 0 NA NA 295 650 0 NA NA 321 1929 271 NA NA 463 1550 304 NA
1707084000.0 136.858 NA 163 484 0 NA NA 298 659 0 NA NA 303 2045 298 NA NA 325 1586 392 NA
1707084000.0 14.0 NA 188 371 0 NA NA 312 562 0 NA NA 1190 3331 351 NA NA 664 1644 387 NA
1707084000.0 24.0 NA 189 368 0 NA NA 315 567 0 NA NA 1183 2649 397 NA NA 548 1540 534 NA
1707084000.0 250207.18 NA 584 615 0 NA NA 808 800 0 NA NA 6690 2099 378 NA NA 2819 1944 419 NA
1707084000.0 25206.0 NA 416 695 0 146 NA 603 880 0 248 NA 1415 2318 322 301 NA 948 1632 390 310
1707084000.0 28.0 NA 189 391 0 NA NA 323 548 0 NA NA 1166 2382 360 NA NA 618 1970 394 NA
1707084000.0 281.0 141 228 419 0 NA 379 342 596 0 NA 1037 324 971 301 NA 738 316 1797 326 NA
1707084000.0 301.0 95 231 461 0 NA 271 372 694 0 NA 1272 291 1076 356 NA 966 549 1912 424 NA
1707084000.0 500200.1 141 257 312 NA NA 275 403 470 NA NA 1295 429 1389 NA NA 714 455 1091 NA NA
1707084000.0 50203.0 NA 295 508 0 NA NA 465 730 0 NA NA 872 1968 361 NA NA 687 1739 487 NA
1707084000.0 50206.0 NA 286 463 0 NA NA 465 718 0 NA NA 888 1997 337 NA NA 741 2311 360 NA
1707084000.0 7.21 101 233 264 102 0 216 348 468 185 0 508 602 457 181 222 552 459 453 231 272
1707084000.0 7.3 74 202 254 103 0 214 330 466 185 0 813 399 435 181 208 925 590 421 230 227
