Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1707084000.0 1.0 123 157 265 NA NA NA NA 285 251 433 NA NA NA NA 970 262 740 NA NA NA NA 740 397 900 NA NA NA NA
1707084000.0 10.0 NA 155 331 0 NA NA NA NA 317 557 0 NA NA NA NA 3129 7239 927 NA NA NA NA 1178 7253 2780 NA NA NA
1707084000.0 1000.0 NA 314 190 0 64 NA NA NA 539 345 0 179 NA NA NA 5643 1052 574 546 NA NA NA 3418 995 638 2445 NA NA
1707084000.0 10004.0 NA 231 421 0 120 126 NA NA 409 671 0 219 265 NA NA 2886 3740 933 520 1250 NA NA 1219 3546 981 560 2421 NA
1707084000.0 10008.0 NA 243 424 0 141 138 NA NA 430 679 0 293 263 NA NA 2890 3898 679 514 743 NA NA 1222 3591 717 567 776 NA
1707084000.0 1001.2 NA 551 215 0 0 0 0 NA 767 363 0 0 0 0 NA 8064 647 89 89 104 146 NA 3044 447 140 141 178 248
1707084000.0 1002.0 NA 351 115 NA NA NA NA NA 522 172 NA NA NA NA NA 2007 176 NA NA NA NA NA 1464 217 NA NA NA NA
1707084000.0 1002.3 NA 448 169 0 NA NA NA NA 737 344 0 NA NA NA NA 12995 1459 551 NA NA NA NA 4923 4321 2264 NA NA NA
1707084000.0 10024.1 NA 295 283 0 NA NA NA NA 432 426 0 NA NA NA NA 1087 595 331 NA NA NA NA 524 590 358 NA NA NA
1707084000.0 10024.2 NA 298 486 0 NA NA NA NA 433 681 0 NA NA NA NA 1118 1478 394 NA NA NA NA 530 1395 449 NA NA NA
1707084000.0 10024.3 NA 282 258 0 NA NA NA NA 428 414 0 NA NA NA NA 1085 540 286 NA NA NA NA 498 545 317 NA NA NA
1707084000.0 10024.4 NA 301 461 0 NA NA NA NA 441 673 0 NA NA NA NA 1139 1447 410 NA NA NA NA 607 1509 543 NA NA NA
1707084000.0 10024.5 NA 282 151 0 NA NA NA NA 432 301 0 NA NA NA NA 1090 375 155 NA NA NA NA 539 420 174 NA NA NA
