Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1707084000.0 1.0 130 157 265 NA NA NA 265 229 388 NA NA NA 960 251 697 NA NA NA 727 231 804 NA NA NA
1707084000.0 10026.0 NA 284 497 0 140 159 NA 426 682 0 206 251 NA 1085 1531 494 254 440 NA 467 1356 521 320 603
1707084000.0 10224.15 NA 468 718 0 178 NA NA 708 1026 0 260 NA NA 2245 2558 537 492 NA NA 1159 1811 584 633 NA
1707084000.0 106.0 105 0 0 NA NA NA 204 0 0 NA NA NA 451 115 955 NA NA NA 447 185 1096 NA NA NA
1707084000.0 11634.1 NA 252 268 0 NA NA NA 390 404 0 NA NA NA 344 532 793 NA NA NA 308 521 824 NA NA
1707084000.0 11650.911 141 253 476 0 164 NA 233 346 688 0 257 NA 1522 1025 1982 1003 647 NA 1016 609 1638 1159 473 NA
1707084000.0 121.0 139 183 350 NA NA NA 275 243 493 NA NA NA 1825 277 1336 NA NA NA 797 221 1475 NA NA NA
1707084000.0 12634.0 NA 796 1136 0 NA NA NA 1133 1530 0 NA NA NA 4289 5522 750 NA NA NA 1928 3008 809 NA NA
1707084000.0 1301.0 133 193 289 NA NA NA 245 289 439 NA NA NA 992 262 698 NA NA NA 656 267 902 NA NA NA
1707084000.0 132.0 162 165 342 NA NA NA 266 247 490 NA NA NA 1401 271 1255 NA NA NA 721 299 1352 NA NA NA
1707084000.0 133.0 140 169 349 NA NA NA 275 253 496 NA NA NA 1890 282 1329 NA NA NA 1007 251 1185 NA NA NA
1707084000.0 134.808 NA 189 483 0 NA NA NA 287 643 0 NA NA NA 451 4782 337 NA NA NA 456 2104 485 NA NA
1707084000.0 134.99603 NA 82 433 0 NA NA NA 177 564 0 NA NA NA 172 4181 291 NA NA NA 213 2127 332 NA NA
1707084000.0 139.005 NA 185 179 NA NA NA NA 281 251 NA NA NA NA 11525 8395 NA NA NA NA 3394 2488 NA NA NA
1707084000.0 140.008 NA 146 459 0 NA NA NA 265 595 0 NA NA NA 147 1825 449 NA NA NA 220 1895 496 NA NA
1707084000.0 141.004 NA 364 630 0 NA NA NA 544 794 0 NA NA NA 984 3485 355 NA NA NA 793 2235 400 NA NA
1707084000.0 250202.17 NA 621 600 0 NA NA NA 791 801 0 NA NA NA 5755 2053 567 NA NA NA 2112 1513 628 NA NA
1707084000.0 250202.181 NA 491 701 627 0 NA NA 730 852 808 0 NA NA 2370 6603 2479 531 NA NA 1264 2267 1476 645 NA
1707084000.0 250203.17 NA 491 560 0 NA NA NA 751 778 0 NA NA NA 5456 2110 533 NA NA NA 2248 1555 630 NA NA
1707084000.0 250206.18 NA 546 637 0 NA NA NA 849 910 0 NA NA NA 6777 2401 619 NA NA NA 2528 1396 685 NA NA
1707084000.0 250206.181 NA 488 605 622 0 NA NA 711 830 872 0 NA NA 2375 6622 2212 609 NA NA 1264 2351 1473 662 NA
1707084000.0 250400.0 431 0 181 NA NA NA 628 0 279 NA NA NA 738 303 456 NA NA NA 1008 326 469 NA NA NA
1707084000.0 250402.0 445 0 183 NA NA NA 652 0 272 NA NA NA 799 330 481 NA NA NA 941 443 492 NA NA NA
1707084000.0 250403.17 501 0 184 NA NA NA 700 0 279 NA NA NA 863 323 476 NA NA NA 915 432 466 NA NA NA
1707084000.0 250406.18 526 0 182 NA NA NA 726 0 278 NA NA NA 723 362 432 NA NA NA 731 405 463 NA NA NA
1707084000.0 250407.17 435 0 186 NA NA NA 623 0 288 NA NA NA 754 195 461 NA NA NA 792 223 468 NA NA NA
1707084000.0 25409.18 639 0 186 NA NA NA 872 0 282 NA NA NA 4840 353 500 NA NA NA 2141 392 544 NA NA NA
1707084000.0 31.0 NA 191 359 0 NA NA NA 299 519 0 NA NA NA 1016 1871 439 NA NA NA 472 1342 555 NA NA
1707084000.0 311.0 147 234 465 0 NA NA 291 368 685 0 NA NA 1604 295 1003 475 NA NA 1140 434 1132 531 NA NA
1707084000.0 38.0 NA 192 416 0 NA NA NA 317 556 0 NA NA NA 1096 2624 501 NA NA NA 586 1491 558 NA NA
1707084000.0 4.28 NA 112 348 0 NA NA NA 216 487 0 NA NA NA 169 2509 1302 NA NA NA 350 2127 1361 NA NA
1707084000.0 4.52 NA 79 479 0 NA NA NA 172 712 0 NA NA NA 151 4251 289 NA NA NA 179 1915 334 NA NA
1707084000.0 4.62 NA 79 451 0 NA NA NA 172 718 0 NA NA NA 159 4127 288 NA NA NA 233 1944 407 NA NA
1707084000.0 4.75 NA 80 448 0 NA NA NA 172 702 0 NA NA NA 150 4751 290 NA NA NA 211 2117 332 NA NA
1707084000.0 50208.0 NA 301 542 0 NA NA NA 474 753 0 NA NA NA 819 2492 515 NA NA NA 612 1675 543 NA NA
