Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706738400.0 1.0 132 161 272 NA NA NA NA NA NA 270 232 405 NA NA NA NA NA NA 965 252 694 NA NA NA NA NA NA 771 301 688 NA NA NA NA NA NA
1706738400.0 10.0 NA 197 378 0 NA NA NA NA NA NA 322 559 0 NA NA NA NA NA NA 1079 2370 357 NA NA NA NA NA NA 540 1432 428 NA NA NA NA NA
1706738400.0 1000.0 NA 357 250 0 100 NA NA NA NA NA 526 343 0 162 NA NA NA NA NA 1901 573 239 192 NA NA NA NA NA 1323 548 250 190 NA NA NA NA
1706738400.0 10001.0 NA 285 462 0 142 167 NA NA NA NA 406 658 0 218 254 NA NA NA NA 1030 1126 325 236 361 NA NA NA NA 425 1050 344 267 360 NA NA NA
1706738400.0 10002.0 NA 281 512 0 141 167 NA NA NA NA 408 682 0 204 256 NA NA NA NA 1048 1221 334 261 398 NA NA NA NA 491 1221 354 343 402 NA NA NA
1706738400.0 10003.0 NA 284 479 0 141 168 NA NA NA NA 410 645 0 214 254 NA NA NA NA 1062 1272 363 264 420 NA NA NA NA 574 1370 471 388 434 NA NA NA
1706738400.0 10004.0 NA 294 512 0 141 164 NA NA NA NA 407 662 0 217 250 NA NA NA NA 1036 1199 334 266 405 NA NA NA NA 436 1218 351 325 472 NA NA NA
1706738400.0 10005.0 NA 274 475 0 141 166 NA NA NA NA 417 650 0 216 250 NA NA NA NA 1064 1233 369 270 425 NA NA NA NA 617 1252 495 431 615 NA NA NA
1706738400.0 10006.0 NA 273 457 0 139 159 NA NA NA NA 408 670 0 213 245 NA NA NA NA 1069 1213 365 280 390 NA NA NA NA 478 1224 404 488 458 NA NA NA
1706738400.0 10007.0 NA 308 471 0 170 164 NA NA NA NA 412 645 0 287 255 NA NA NA NA 1035 1164 334 239 358 NA NA NA NA 415 1077 347 258 368 NA NA NA
