Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1707001200.0 1.0 156 161 276 NA NA NA NA NA NA 259 232 401 NA NA NA NA NA NA 1291 306 862 NA NA NA NA NA NA 967 514 1422 NA NA NA NA NA NA
1707001200.0 10.0 NA 199 375 0 NA NA NA NA NA NA 276 527 0 NA NA NA NA NA NA 1431 2888 375 NA NA NA NA NA NA 632 2162 413 NA NA NA NA NA
1707001200.0 1000.0 NA 356 237 0 104 NA NA NA NA NA 502 321 0 160 NA NA NA NA NA 2344 741 312 243 NA NA NA NA NA 2192 1029 421 270 NA NA NA NA
1707001200.0 10001.0 NA 279 443 0 144 161 NA NA NA NA 363 642 0 209 235 NA NA NA NA 1444 1398 373 304 426 NA NA NA NA 1548 1661 403 530 499 NA NA NA
1707001200.0 10002.0 NA 277 452 0 144 162 NA NA NA NA 366 657 0 209 238 NA NA NA NA 1511 1514 366 332 413 NA NA NA NA 632 1749 404 654 431 NA NA NA
1707001200.0 10003.0 NA 280 459 0 145 163 NA NA NA NA 361 626 0 206 239 NA NA NA NA 1451 1427 402 310 453 NA NA NA NA 763 1513 525 666 701 NA NA NA
1707001200.0 10004.0 NA 278 438 0 144 156 NA NA NA NA 365 625 0 207 242 NA NA NA NA 1563 1499 416 321 463 NA NA NA NA 855 1854 545 585 585 NA NA NA
1707001200.0 10005.0 NA 278 457 0 143 162 NA NA NA NA 360 636 0 203 242 NA NA NA NA 1441 1372 377 294 436 NA NA NA NA 609 1419 427 466 530 NA NA NA
1707001200.0 10006.0 NA 280 453 0 143 157 NA NA NA NA 359 629 0 200 241 NA NA NA NA 1440 1377 388 292 417 NA NA NA NA 633 1529 472 396 547 NA NA NA
1707001200.0 10007.0 NA 276 456 0 175 160 NA NA NA NA 367 651 0 277 241 NA NA NA NA 1460 1426 398 309 442 NA NA NA NA 841 1924 484 472 628 NA NA NA
1707001200.0 10008.0 NA 279 451 0 176 161 NA NA NA NA 366 644 0 283 240 NA NA NA NA 1512 1415 381 324 434 NA NA NA NA 611 1337 414 459 514 NA NA NA
1707001200.0 10009.0 NA 275 446 0 174 161 NA NA NA NA 354 618 0 281 241 NA NA NA NA 1589 1576 420 338 480 NA NA NA NA 1058 2090 616 662 677 NA NA NA
1707001200.0 1001.0 NA 313 181 0 0 0 0 0 0 NA 457 255 0 0 0 0 0 0 NA 2014 390 84 69 94 222 120 221 NA 1939 650 168 206 180 328 207 298
