Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706396400.0 1.0 147 169 269 NA NA NA NA NA NA 283 262 417 NA NA NA NA NA NA 1285 330 887 NA NA NA NA NA NA 1409 713 1389 NA NA NA NA NA NA
1706396400.0 10.0 NA 206 381 0 NA NA NA NA NA NA 315 564 0 NA NA NA NA NA NA 1410 3037 382 NA NA NA NA NA NA 692 2124 420 NA NA NA NA NA
1706396400.0 1000.0 NA 361 240 0 107 NA NA NA NA NA 528 348 0 193 NA NA NA NA NA 2246 712 282 258 NA NA NA NA NA 2288 1054 324 422 NA NA NA NA
1706396400.0 10001.0 NA 288 462 0 146 164 NA NA NA NA 390 683 0 232 265 NA NA NA NA 1509 1415 384 304 451 NA NA NA NA 838 1828 493 498 751 NA NA NA
1706396400.0 10002.0 NA 284 466 0 145 164 NA NA NA NA 400 689 0 232 266 NA NA NA NA 1608 1471 403 317 480 NA NA NA NA 1059 1641 675 734 736 NA NA NA
1706396400.0 10003.0 NA 288 464 0 146 166 NA NA NA NA 392 659 0 227 272 NA NA NA NA 1511 1478 382 304 461 NA NA NA NA 798 1819 562 592 862 NA NA NA
1706396400.0 10004.0 NA 287 463 0 146 163 NA NA NA NA 397 676 0 233 268 NA NA NA NA 1599 1499 396 318 479 NA NA NA NA 735 2382 583 592 713 NA NA NA
1706396400.0 10005.0 NA 289 450 0 146 163 NA NA NA NA 395 680 0 225 264 NA NA NA NA 1508 1438 386 306 455 NA NA NA NA 993 1956 505 598 643 NA NA NA
1706396400.0 10006.0 NA 286 459 0 146 161 NA NA NA NA 394 659 0 234 263 NA NA NA NA 1606 1491 401 317 451 NA NA NA NA 1163 2208 528 636 648 NA NA NA
1706396400.0 10007.0 NA 289 457 0 175 163 NA NA NA NA 390 647 0 308 265 NA NA NA NA 1502 1458 424 343 457 NA NA NA NA 626 1449 534 664 821 NA NA NA
1706396400.0 10008.0 NA 286 466 0 177 163 NA NA NA NA 389 668 0 308 267 NA NA NA NA 1511 1452 388 315 446 NA NA NA NA 711 2018 478 570 686 NA NA NA
1706396400.0 10009.0 NA 287 467 0 176 163 NA NA NA NA 397 687 0 311 264 NA NA NA NA 1531 1459 393 313 460 NA NA NA NA 988 2128 634 638 705 NA NA NA
1706396400.0 1001.0 NA 315 185 0 0 0 0 0 0 NA 471 293 0 0 0 0 0 0 NA 1988 385 88 77 107 219 119 221 NA 4109 721 294 525 384 439 201 391
1706396400.0 1001.2 NA 489 227 0 0 0 0 NA NA NA 762 375 0 0 0 0 NA NA NA 9270 703 100 112 120 129 NA NA NA 3680 682 245 351 369 256 NA NA
1706396400.0 1001.3 NA 497 218 0 NA NA NA NA NA NA 745 354 0 NA NA NA NA NA NA 7022 679 237 NA NA NA NA NA NA 2711 564 671 NA NA NA NA NA
1706396400.0 1002.0 NA 362 131 NA NA NA NA NA NA NA 513 171 NA NA NA NA NA NA NA 2497 212 NA NA NA NA NA NA NA 2261 566 NA NA NA NA NA NA
1706396400.0 1002.3 NA 496 220 0 NA NA NA NA NA NA 731 362 0 NA NA NA NA NA NA 5990 675 208 NA NA NA NA NA NA 2426 1194 261 NA NA NA NA NA
1706396400.0 1002.4 NA 504 0 NA NA NA NA NA NA NA 743 0 NA NA NA NA NA NA NA 9380 401 NA NA NA NA NA NA NA 3718 453 NA NA NA NA NA NA
1706396400.0 10023.0 NA 287 462 0 146 160 NA NA NA NA 406 651 0 235 266 NA NA NA NA 1513 1403 386 303 436 NA NA NA NA 1371 2007 580 815 715 NA NA NA
1706396400.0 10024.0 NA 299 474 0 179 166 NA NA NA NA 413 697 0 309 273 NA NA NA NA 1546 1666 419 314 463 NA NA NA NA 896 2609 643 597 723 NA NA NA
1706396400.0 10024.1 NA 299 285 0 NA NA NA NA NA NA 409 427 0 NA NA NA NA NA NA 1584 627 370 NA NA NA NA NA NA 646 803 455 NA NA NA NA NA
1706396400.0 10024.2 NA 300 457 0 NA NA NA NA NA NA 420 678 0 NA NA NA NA NA NA 1660 1731 440 NA NA NA NA NA NA 685 1869 751 NA NA NA NA NA
1706396400.0 10024.3 NA 300 270 0 NA NA NA NA NA NA 399 416 0 NA NA NA NA NA NA 1565 632 331 NA NA NA NA NA NA 641 759 406 NA NA NA NA NA
1706396400.0 10024.4 NA 297 474 0 NA NA NA NA NA NA 403 679 0 NA NA NA NA NA NA 1669 1718 410 NA NA NA NA NA NA 811 2190 517 NA NA NA NA NA
