Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1707084000.0 12434.502 501 209 0 1606 1241 0 1333 276 211 882 409 234
1707084000.0 12434.503 496 222 0 1586 1246 0 1334 278 213 946 342 234
1707084000.0 12434.504 482 167 NA 1600 1191 NA 1277 145 NA 840 233 NA
1707084000.0 12434.506 502 212 0 1615 1240 0 1282 280 267 942 360 287
1707084000.0 12434.507 502 219 0 1588 1244 0 1296 278 264 906 389 285
1707084000.0 12434.508 498 168 NA 1593 1193 NA 1303 146 NA 966 270 NA
1707084000.0 12434.512 489 188 0 1607 1173 0 1307 259 86 941 340 107
1707084000.0 12434.513 497 NA NA 1583 NA NA 1309 NA NA 907 NA NA
1707084000.0 12434.514 501 151 NA 1601 1122 NA 1258 133 NA 911 267 NA
1707084000.0 12434.522 475 NA NA 1562 NA NA 1211 NA NA 954 NA NA
1707084000.0 12434.523 504 186 0 1607 1138 0 1306 270 84 944 332 105
1707084000.0 12434.524 501 148 NA 1596 1084 NA 1258 134 NA 887 212 NA
1707084000.0 12434.582 412 NA NA 1434 NA NA 1173 NA NA 934 NA NA
1707084000.0 12434.583 480 NA NA 1593 NA NA 1153 NA NA 906 NA NA
1707084000.0 12434.586 495 259 0 1565 1327 0 1357 334 223 929 378 246
1707084000.0 12434.587 491 272 0 1579 1342 0 1250 348 233 863 424 253
1707084000.0 12434.592 498 NA NA 1586 NA NA 1266 NA NA 910 NA NA
1707084000.0 12434.593 483 NA NA 1584 NA NA 1259 NA NA 934 NA NA
1707084000.0 12434.596 472 NA NA 1527 NA NA 1215 NA NA 946 NA NA
1707084000.0 12434.597 491 NA NA 1594 NA NA 1185 NA NA 916 NA NA
1707084000.0 12450.502 490 206 0 1594 1227 0 1256 267 233 900 391 258
1707084000.0 12450.503 485 218 0 1583 1243 0 1283 268 244 914 377 265
1707084000.0 12450.504 477 NA NA 1526 NA NA 1162 NA NA 913 NA NA
1707084000.0 12450.506 480 206 0 1582 1233 0 1316 264 291 915 371 314
1707084000.0 12450.507 487 216 0 1590 1238 0 1257 269 299 890 408 322
1707084000.0 12450.508 478 167 NA 1581 1196 NA 1213 138 NA 859 224 NA
1707084000.0 141.008506 454 218 0 1571 1257 0 1951 492 84 1109 325 104
1707084000.0 141.008507 451 230 0 1580 1287 0 1969 720 88 1188 383 108
1707084000.0 141.008508 446 175 NA 1573 1216 NA 1981 154 NA 1140 172 NA
1707084000.0 141.008512 452 195 0 1587 1174 0 1943 288 88 1195 263 111
1707084000.0 141.008513 457 195 0 1585 1174 0 1976 337 88 1168 285 108
1707084000.0 141.008514 452 155 NA 1577 1123 NA 1940 142 NA 1226 164 NA
1707084000.0 141.008522 450 191 0 1583 1143 0 2032 314 87 1263 267 108
1707084000.0 141.008523 451 194 0 1583 1145 0 1997 356 89 1264 275 113
1707084000.0 141.008524 453 152 NA 1572 1095 NA 1977 143 NA 1177 160 NA
1707084000.0 141.008583 247 0 NA 1342 0 NA 793 143 NA 524 198 NA
