Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1707084000.0 101.0 165 NA NA NA NA 299 NA NA NA NA 759 NA NA NA NA 821 NA NA NA NA
1707084000.0 102.0 167 NA NA NA NA 286 NA NA NA NA 713 NA NA NA NA 839 NA NA NA NA
1707084000.0 103.0 121 0 0 NA NA 202 0 0 NA NA 542 120 1159 NA NA 892 360 1706 NA NA
1707084000.0 106.0 120 0 0 NA NA 202 0 0 NA NA 536 122 1148 NA NA 818 319 1567 NA NA
1707084000.0 11634.601 NA 261 93 481 0 NA 353 145 734 0 NA 411 117 1795 664 NA 470 199 2113 968
1707084000.0 11634.7 NA 270 488 0 NA NA 355 709 0 NA NA 404 1779 664 NA NA 338 2319 963 NA
1707084000.0 11650.911 146 245 463 0 172 229 339 682 0 273 1862 1211 2294 1203 814 1334 1064 2253 1447 872
1707084000.0 11723.17 NA 273 508 0 NA NA 358 722 0 NA NA 441 2053 711 NA NA 533 2060 855 NA
1707084000.0 122.0 122 0 0 NA NA 202 0 0 NA NA 535 118 1151 NA NA 692 340 1720 NA NA
1707084000.0 123.1 358 NA NA NA NA 527 NA NA NA NA 873 NA NA NA NA 1265 NA NA NA NA
1707084000.0 123.2 354 NA NA NA NA 520 NA NA NA NA 974 NA NA NA NA 1198 NA NA NA NA
1707084000.0 123.3 302 NA NA NA NA 426 NA NA NA NA 789 NA NA NA NA 1174 NA NA NA NA
1707084000.0 124.1 344 NA NA NA NA 496 NA NA NA NA 802 NA NA NA NA 1215 NA NA NA NA
1707084000.0 124.2 344 NA NA NA NA 511 NA NA NA NA 851 NA NA NA NA 1147 NA NA NA NA
1707084000.0 124.4 346 NA NA NA NA 499 NA NA NA NA 804 NA NA NA NA 1178 NA NA NA NA
1707084000.0 124.5 344 NA NA NA NA 496 NA NA NA NA 801 NA NA NA NA 1191 NA NA NA NA
1707084000.0 124.6 303 NA NA NA NA 431 NA NA NA NA 787 NA NA NA NA 1131 NA NA NA NA
1707084000.0 128.0 125 171 341 NA NA 202 244 480 NA NA 522 291 1294 NA NA 1091 582 1649 NA NA
1707084000.0 1312.0 NA 227 402 0 NA NA 313 561 0 NA NA 353 1521 683 NA NA 534 1949 855 NA
1707084000.0 1325.3 NA 212 223 0 NA NA 302 362 0 NA NA 363 599 857 NA NA 669 1271 1047 NA
1707084000.0 1343.0 NA 219 391 0 NA NA 311 555 0 NA NA 362 1567 691 NA NA 627 2070 823 NA
1707084000.0 1349.0 NA 222 385 0 NA NA 313 554 0 NA NA 340 1441 668 NA NA 531 1976 958 NA
1707084000.0 135.13 379 0 NA NA NA 573 0 NA NA NA 878 721 NA NA NA 1705 930 NA NA NA
1707084000.0 136.9 NA 241 220 308 196 NA 395 346 476 281 NA 6662 991 1312 839 NA 7847 1205 1856 1372
1707084000.0 139901.0 NA 220 394 0 NA NA 315 555 0 NA NA 354 1472 720 NA NA 655 1906 879 NA
1707084000.0 140.202 NA 243 NA NA NA NA 360 NA NA NA NA 1852 NA NA NA NA 1553 NA NA NA
1707084000.0 141.009 NA 0 0 0 NA NA 0 0 0 NA NA 907 4093 999 NA NA 1083 4479 1195 NA
1707084000.0 144.6 NA 347 NA NA NA NA 514 NA NA NA NA 2456 NA NA NA NA 3490 NA NA NA
1707084000.0 148.0 147 266 456 0 NA 232 365 660 0 NA 3212 652 1869 549 NA 3404 1180 2070 775 NA
1707084000.0 158.01 NA 201 0 NA NA NA 299 0 NA NA NA 1638 185 NA NA NA 1557 360 NA NA
1707084000.0 158.3 NA 265 465 0 NA NA 349 679 0 NA NA 384 1450 795 NA NA 650 1956 978 NA
1707084000.0 159.3 149 253 455 0 NA 226 344 658 0 NA 1692 395 1234 726 NA 1324 636 1475 880 NA
1707084000.0 160.3 111 288 468 0 NA 224 372 648 0 NA 1336 534 1228 750 NA 1099 697 1459 872 NA
1707084000.0 2017.13 451 0 NA NA NA 616 0 NA NA NA 941 915 NA NA NA 1713 1074 NA NA NA
1707084000.0 2018.13 454 0 NA NA NA 661 0 NA NA NA 939 859 NA NA NA 1333 1044 NA NA NA
1707084000.0 24834.911 179 578 532 0 199 273 767 737 0 296 8321 5114 5558 1832 682 4122 3327 4051 2147 909
1707084000.0 2500.01 NA 216 0 NA NA NA 346 0 NA NA NA 10626 146 NA NA NA 4984 263 NA NA
1707084000.0 2500.1 NA 209 0 NA NA NA 322 0 NA NA NA 19468 154 NA NA NA 6885 348 NA NA
1707084000.0 2500.31 NA 242 0 NA NA NA 434 0 NA NA NA 5656 160 NA NA NA 4577 439 NA NA
1707084000.0 250199.0 365 NA NA NA NA 560 NA NA NA NA 1976 NA NA NA NA 1402 NA NA NA NA
1707084000.0 250200.1 161 407 350 NA NA 256 550 480 NA NA 1608 653 1721 NA NA 1227 773 1721 NA NA
1707084000.0 25034.114 NA 1395 1925 0 NA NA 1837 3312 0 NA NA 10644 52858 909 NA NA 4673 16490 1062 NA
1707084000.0 250399.0 290 NA NA NA NA 408 NA NA NA NA 699 NA NA NA NA 859 NA NA NA NA
