Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706565600.0 1.0 245 323 441 NA NA NA NA NA NA 2097400 2097360 2097460 NA NA NA NA NA NA 2436 887 1797 NA NA NA NA NA NA 1939 1177 3017 NA NA NA NA NA NA
1706565600.0 10.0 NA 370 640 0 NA NA NA NA NA NA 2097390 2097560 0 NA NA NA NA NA NA 5174 9983 980 NA NA NA NA NA NA 1692 4591 1042 NA NA NA NA NA
1706565600.0 1000.0 NA 599 348 0 210 NA NA NA NA NA 2097500 2097410 0 2097340 NA NA NA NA NA 9254 2121 700 431 NA NA NA NA NA 7186 3462 1211 495 NA NA NA NA
1706565600.0 10001.0 NA 484 741 0 269 311 NA NA NA NA 2097410 2097580 0 2097350 2097380 NA NA NA NA 4539 3251 1089 662 907 NA NA NA NA 1691 3279 1237 860 1429 NA NA NA
1706565600.0 10002.0 NA 482 738 0 267 314 NA NA NA NA 2097410 2097590 0 2097350 2097380 NA NA NA NA 4746 3568 1171 679 920 NA NA NA NA 1789 3766 1437 768 932 NA NA NA
1706565600.0 10003.0 NA 492 752 0 269 307 NA NA NA NA 2097410 2097590 0 2097350 2097380 NA NA NA NA 4547 3451 1108 672 904 NA NA NA NA 1682 3429 1315 1382 1160 NA NA NA
1706565600.0 10004.0 NA 477 738 0 265 309 NA NA NA NA 2097410 2097580 0 2097350 2097380 NA NA NA NA 4482 3197 1085 672 888 NA NA NA NA 1606 3522 1270 1003 1077 NA NA NA
1706565600.0 10005.0 NA 459 737 0 259 266 NA NA NA NA 2097410 2097580 0 2097350 2097380 NA NA NA NA 4495 3260 1087 663 922 NA NA NA NA 1748 3499 1194 874 1460 NA NA NA
1706565600.0 10006.0 NA 483 740 0 267 295 NA NA NA NA 2097410 2097580 0 2097350 2097380 NA NA NA NA 4535 3211 1097 654 849 NA NA NA NA 1574 3108 1387 718 1159 NA NA NA
1706565600.0 10007.0 NA 469 742 0 313 307 NA NA NA NA 2097420 2097580 0 2097410 2097380 NA NA NA NA 4820 3470 1166 735 930 NA NA NA NA 2044 3036 1402 1842 1443 NA NA NA
1706565600.0 10008.0 NA 475 742 0 313 310 NA NA NA NA 2097410 2097580 0 2097410 2097380 NA NA NA NA 4566 3427 1130 692 875 NA NA NA NA 1612 3563 1324 1088 935 NA NA NA
1706565600.0 10009.0 NA 466 750 0 308 306 NA NA NA NA 2097410 2097590 0 2097410 2097380 NA NA NA NA 4605 3591 1144 709 902 NA NA NA NA 1803 3835 1479 1557 1250 NA NA NA
1706565600.0 1001.0 NA 559 342 0 0 0 0 0 0 NA 2097490 2097380 0 0 0 0 0 0 NA 8196 1084 230 113 188 320 457 326 NA 7692 2867 408 245 268 421 611 452
1706565600.0 1001.2 NA 837 354 0 0 0 0 0 NA NA 2097590 2097410 0 0 0 0 0 NA NA 59965 2919 363 260 477 503 494 NA NA 27421 2752 470 885 782 1075 915 NA
