Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1706738400.0 1.0 246 347 0 NA NA NA NA 2097390 2097360 0 NA NA NA NA 2572 875 0 NA NA NA NA 1592 791 0 NA NA NA NA
1706738400.0 10.0 NA 370 0 NA NA NA NA NA 2097390 0 NA NA NA NA NA 5103 0 NA NA NA NA NA 1784 0 NA NA NA NA
1706738400.0 1000.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1706738400.0 10001.0 NA 474 0 NA NA NA NA NA 2097410 0 NA NA NA NA NA 4633 0 NA NA NA NA NA 1625 0 NA NA NA NA
1706738400.0 10002.0 NA 468 0 NA NA NA NA NA 2097410 0 NA NA NA NA NA 4446 0 NA NA NA NA NA 1519 0 NA NA NA NA
1706738400.0 10003.0 NA 474 0 NA NA NA NA NA 2097410 0 NA NA NA NA NA 4485 0 NA NA NA NA NA 1619 0 NA NA NA NA
1706738400.0 10004.0 NA 473 0 NA NA NA NA NA 2097410 0 NA NA NA NA NA 4466 0 NA NA NA NA NA 1520 0 NA NA NA NA
1706738400.0 10005.0 NA 475 744 0 267 302 NA NA 2097410 2097580 0 2097350 2097380 NA NA 4613 3253 1082 646 874 NA NA 1596 2840 1140 687 826 NA
1706738400.0 10006.0 NA 476 0 NA NA NA NA NA 2097410 0 NA NA NA NA NA 4569 0 NA NA NA NA NA 1551 0 NA NA NA NA
1706738400.0 10007.0 NA 485 0 NA NA NA NA NA 2097410 0 NA NA NA NA NA 4549 0 NA NA NA NA NA 1561 0 NA NA NA NA
1706738400.0 10008.0 NA 480 0 NA NA NA NA NA 2097410 0 NA NA NA NA NA 4562 0 NA NA NA NA NA 1588 0 NA NA NA NA
