Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706652000.0 1.0 166 177 290 NA NA NA NA NA NA 280 251 413 NA NA NA NA NA NA 1376 320 908 NA NA NA NA NA NA 1193 509 1475 NA NA NA NA NA NA
1706652000.0 10.0 NA 209 383 0 NA NA NA NA NA NA 305 552 0 NA NA NA NA NA NA 1249 2799 418 NA NA NA NA NA NA 947 2413 843 NA NA NA NA NA
1706652000.0 1000.0 NA 372 251 0 114 NA NA NA NA NA 512 329 0 179 NA NA NA NA NA 2180 679 285 249 NA NA NA NA NA 1779 696 322 405 NA NA NA NA
1706652000.0 10001.0 NA 295 474 0 154 175 NA NA NA NA 393 662 0 233 256 NA NA NA NA 1355 1460 415 313 487 NA NA NA NA 668 1658 614 470 591 NA NA NA
1706652000.0 10002.0 NA 296 470 0 155 174 NA NA NA NA 388 661 0 228 261 NA NA NA NA 1360 1531 408 325 490 NA NA NA NA 766 2048 559 607 620 NA NA NA
1706652000.0 10003.0 NA 292 468 0 149 169 NA NA NA NA 389 673 0 227 268 NA NA NA NA 1387 1555 392 330 501 NA NA NA NA 1008 2000 425 713 640 NA NA NA
1706652000.0 10004.0 NA 295 462 0 150 166 NA NA NA NA 394 688 0 231 260 NA NA NA NA 1355 1496 386 327 489 NA NA NA NA 641 2264 439 791 646 NA NA NA
1706652000.0 10005.0 NA 295 476 0 154 173 NA NA NA NA 393 693 0 229 256 NA NA NA NA 1355 1480 401 319 485 NA NA NA NA 665 1665 565 520 564 NA NA NA
1706652000.0 10006.0 NA 252 463 0 151 164 NA NA NA NA 387 666 0 229 255 NA NA NA NA 1380 1508 409 316 474 NA NA NA NA 1134 1994 661 469 646 NA NA NA
1706652000.0 10007.0 NA 298 477 0 185 174 NA NA NA NA 390 669 0 295 260 NA NA NA NA 1377 1518 409 328 486 NA NA NA NA 989 2118 636 476 746 NA NA NA
1706652000.0 10008.0 NA 296 479 0 184 174 NA NA NA NA 397 648 0 288 269 NA NA NA NA 1359 1483 413 319 486 NA NA NA NA 616 1555 599 503 571 NA NA NA
1706652000.0 10009.0 NA 258 478 0 184 166 NA NA NA NA 382 685 0 289 262 NA NA NA NA 1380 1575 433 331 499 NA NA NA NA 792 2272 858 627 666 NA NA NA
1706652000.0 1001.0 NA 325 190 0 0 0 0 0 0 NA 459 266 0 0 0 0 0 0 NA 1987 373 83 71 90 211 128 208 NA 3557 705 330 424 179 405 338 326
1706652000.0 1001.2 NA 539 242 0 0 0 0 0 NA NA 769 371 0 0 0 0 0 NA NA 9064 760 104 111 126 136 133 NA NA 3579 870 260 199 315 226 199 NA
