Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1707084000.0 10006.0 NA 295 473 0 154 169 NA 384 648 0 231 261 NA 1366 1500 416 332 472 NA 891 2160 902 638 597
1707084000.0 10024.0 NA 272 495 0 186 178 NA 405 695 0 290 273 NA 1407 1721 453 353 516 NA 935 2011 599 920 590
1707084000.0 1005.0 NA 214 164 0 0 NA NA 363 265 0 0 NA NA 503 234 102 120 NA NA 642 406 191 368 NA
1707084000.0 10059.0 NA 310 499 0 158 179 NA 413 695 0 230 266 NA 1430 2230 458 337 522 NA 807 2390 610 595 587
1707084000.0 101.0 182 NA NA NA NA NA 306 NA NA NA NA NA 751 NA NA NA NA NA 847 NA NA NA NA NA
1707084000.0 102.0 181 NA NA NA NA NA 287 NA NA NA NA NA 682 NA NA NA NA NA 694 NA NA NA NA NA
1707084000.0 103.0 130 0 0 NA NA NA 212 0 0 NA NA NA 566 137 1277 NA NA NA 1008 320 1605 NA NA NA
1707084000.0 10424.0 NA 257 443 0 NA NA NA 342 669 0 NA NA NA 358 1654 442 NA NA NA 478 1744 531 NA NA
1707084000.0 1043.0 NA 112 88 0 NA NA NA 188 161 0 NA NA NA 288 156 73 NA NA NA 608 253 133 NA NA
1707084000.0 106.0 125 0 0 NA NA NA 215 0 0 NA NA NA 572 136 1286 NA NA NA 721 288 1579 NA NA NA
1707084000.0 1060.1 NA 173 NA NA NA NA NA 267 NA NA NA NA NA 547 NA NA NA NA NA 542 NA NA NA NA
1707084000.0 1060.2 NA 169 NA NA NA NA NA 261 NA NA NA NA NA 473 NA NA NA NA NA 453 NA NA NA NA
1707084000.0 107.0 131 183 321 NA NA NA 278 258 503 NA NA NA 1582 318 1452 NA NA NA 1015 382 1808 NA NA NA
1707084000.0 10804.31 NA 277 418 NA NA NA NA 388 661 NA NA NA NA 1413 1662 NA NA NA NA 893 3504 NA NA NA
1707084000.0 10824.8 NA 298 494 0 185 181 NA 390 692 0 301 271 NA 1374 1719 456 356 526 NA 874 2550 616 978 588
1707084000.0 110.0 95 180 317 NA NA NA 221 251 486 NA NA NA 566 296 1368 NA NA NA 680 377 1809 NA NA NA
1707084000.0 111.0 159 183 357 NA NA NA 265 262 505 NA NA NA 1097 274 1412 NA NA NA 1047 483 1964 NA NA NA
1707084000.0 112.0 167 184 317 NA NA NA 275 263 509 NA NA NA 1367 314 1412 NA NA NA 1021 430 1861 NA NA NA
1707084000.0 113.0 173 185 363 NA NA NA 283 259 515 NA NA NA 1417 332 1431 NA NA NA 1691 1264 1647 NA NA NA
1707084000.0 11634.1 NA 265 290 0 NA NA NA 382 417 0 NA NA NA 427 715 428 NA NA NA 364 1156 622 NA NA
1707084000.0 11650.911 149 251 481 0 181 NA 231 349 730 0 273 NA 1831 1258 2432 918 798 NA 1312 771 2226 1053 700 NA
