Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706868000.0 1.0 163 178 288 NA NA NA NA NA NA 275 254 414 NA NA NA NA NA NA 1164 313 934 NA NA NA NA NA NA 844 466 1257 NA NA NA NA NA NA
1706868000.0 10.0 NA 216 397 0 NA NA NA NA NA NA 308 557 0 NA NA NA NA NA NA 1314 2821 389 NA NA NA NA NA NA 592 1878 478 NA NA NA NA NA
1706868000.0 1000.0 NA 371 248 0 114 NA NA NA NA NA 530 321 0 173 NA NA NA NA NA 2313 747 290 240 NA NA NA NA NA 1827 1097 330 276 NA NA NA NA
1706868000.0 10001.0 NA 295 465 0 156 176 NA NA NA NA 386 680 0 227 260 NA NA NA NA 1383 1508 367 304 476 NA NA NA NA 976 2371 424 444 576 NA NA NA
1706868000.0 10002.0 NA 289 461 0 154 175 NA NA NA NA 396 673 0 226 252 NA NA NA NA 1408 1478 374 303 481 NA NA NA NA 1070 2103 442 435 626 NA NA NA
1706868000.0 10003.0 NA 298 480 0 155 177 NA NA NA NA 381 661 0 231 258 NA NA NA NA 1467 1543 402 331 515 NA NA NA NA 798 1753 555 610 631 NA NA NA
1706868000.0 10004.0 NA 296 475 0 154 168 NA NA NA NA 379 661 0 227 255 NA NA NA NA 1373 1373 358 299 501 NA NA NA NA 569 1304 389 461 595 NA NA NA
1706868000.0 10005.0 NA 282 470 0 155 176 NA NA NA NA 383 682 0 220 257 NA NA NA NA 1401 1455 378 303 489 NA NA NA NA 1044 2592 541 468 860 NA NA NA
1706868000.0 10006.0 NA 296 461 0 154 172 NA NA NA NA 395 688 0 228 251 NA NA NA NA 1373 1454 379 310 448 NA NA NA NA 704 1985 591 552 573 NA NA NA
1706868000.0 10007.0 NA 298 476 0 185 174 NA NA NA NA 398 696 0 293 256 NA NA NA NA 1485 1441 367 304 484 NA NA NA NA 737 1345 408 350 570 NA NA NA
1706868000.0 10008.0 NA 299 462 0 184 175 NA NA NA NA 398 672 0 292 255 NA NA NA NA 1378 1591 376 312 457 NA NA NA NA 582 1801 423 401 505 NA NA NA
1706868000.0 10009.0 NA 299 481 0 186 175 NA NA NA NA 387 675 0 297 258 NA NA NA NA 1511 1581 402 332 520 NA NA NA NA 1191 1952 557 563 870 NA NA NA
1706868000.0 1001.0 NA 326 192 0 0 0 0 0 0 NA 461 270 0 0 0 0 0 0 NA 1922 378 81 69 88 217 120 216 NA 3112 897 163 513 231 327 210 288
1706868000.0 1001.2 NA 535 241 0 0 0 0 0 NA NA 779 368 0 0 0 0 0 NA NA 9307 754 107 115 118 140 135 NA NA 3662 762 227 278 144 236 165 NA
1706868000.0 1001.3 NA 518 237 0 NA NA NA NA NA NA 724 367 0 NA NA NA NA NA NA 7780 798 268 NA NA NA NA NA NA 3575 980 618 NA NA NA NA NA
