Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1707084000.0 1.0 161 176 288 NA NA NA NA 273 241 400 NA NA NA NA 1136 299 915 NA NA NA NA 1036 559 1752 NA NA NA NA
1707084000.0 10001.0 NA 295 472 0 154 172 NA NA 385 666 0 230 259 NA NA 1443 1473 401 331 504 NA NA 758 2204 676 856 703 NA
1707084000.0 10006.0 NA 296 470 0 153 154 NA NA 398 671 0 222 260 NA NA 1444 1479 396 320 474 NA NA 788 2042 635 544 713 NA
1707084000.0 10007.0 NA 295 475 0 185 172 NA NA 392 654 0 298 259 NA NA 1460 1501 400 335 494 NA NA 908 2156 707 850 687 NA
1707084000.0 1003.0 NA 389 0 NA NA NA NA NA 643 0 NA NA NA NA NA 2406 273 NA NA NA NA NA 1499 416 NA NA NA NA
1707084000.0 1004.0 NA 274 150 0 0 0 0 NA 411 218 0 0 0 0 NA 761 237 67 86 237 216 NA 903 411 163 132 280 309
1707084000.0 10042.0 NA 299 478 0 187 174 NA NA 388 650 0 295 262 NA NA 1481 1549 424 338 501 NA NA 867 1909 490 716 681 NA
1707084000.0 1005.0 NA 205 161 0 0 NA NA NA 357 259 0 0 NA NA NA 534 212 94 113 NA NA NA 753 275 186 268 NA NA
1707084000.0 10059.0 NA 308 494 0 157 179 NA NA 406 691 0 235 264 NA NA 1514 2161 438 324 527 NA NA 833 1800 518 459 852 NA
1707084000.0 101.0 163 NA NA NA NA NA NA 298 NA NA NA NA NA NA 774 NA NA NA NA NA NA 833 NA NA NA NA NA NA
1707084000.0 1010.0 NA 91 102 0 NA NA NA NA 159 171 0 NA NA NA NA 135 186 168 NA NA NA NA 276 358 227 NA NA NA
1707084000.0 102.0 172 NA NA NA NA NA NA 281 NA NA NA NA NA NA 703 NA NA NA NA NA NA 671 NA NA NA NA NA NA
1707084000.0 1020.0 NA 97 85 0 94 NA NA NA 174 159 0 172 NA NA NA 169 129 63 169 NA NA NA 278 216 100 300 NA NA
1707084000.0 103.0 128 0 0 NA NA NA NA 209 0 0 NA NA NA NA 535 121 1177 NA NA NA NA 822 206 1399 NA NA NA NA
1707084000.0 1040.1 NA 129 86 0 NA NA NA NA 200 149 0 NA NA NA NA 377 139 106 NA NA NA NA 673 304 168 NA NA NA
1707084000.0 10424.0 NA 257 478 0 NA NA NA NA 342 653 0 NA NA NA NA 355 1641 427 NA NA NA NA 571 2299 508 NA NA NA
1707084000.0 1043.0 NA 110 91 0 NA NA NA NA 184 158 0 NA NA NA NA 277 156 68 NA NA NA NA 381 265 170 NA NA NA
1707084000.0 1044.0 NA 112 109 0 NA NA NA NA 187 189 0 NA NA NA NA 253 197 79 NA NA NA NA 292 255 146 NA NA NA
1707084000.0 1052.0 NA 213 160 0 NA NA NA NA 352 261 0 NA NA NA NA 492 221 68 NA NA NA NA 547 312 111 NA NA NA
1707084000.0 1052.1 NA 145 0 NA NA NA NA NA 248 0 NA NA NA NA NA 212 75 NA NA NA NA NA 345 197 NA NA NA NA
1707084000.0 106.0 128 0 0 NA NA NA NA 205 0 0 NA NA NA NA 532 125 1208 NA NA NA NA 640 429 1686 NA NA NA NA
1707084000.0 1060.1 NA 157 NA NA NA NA NA NA 254 NA NA NA NA NA NA 561 NA NA NA NA NA NA 524 NA NA NA NA NA
1707084000.0 1060.2 NA 154 NA NA NA NA NA NA 265 NA NA NA NA NA NA 493 NA NA NA NA NA NA 593 NA NA NA NA NA
1707084000.0 107.0 164 182 359 NA NA NA NA 280 262 518 NA NA NA NA 1497 314 1457 NA NA NA NA 1131 594 2144 NA NA NA NA
1707084000.0 108.0 158 185 364 NA NA NA NA 281 260 507 NA NA NA NA 1653 319 1474 NA NA NA NA 865 582 1614 NA NA NA NA
1707084000.0 10802.0 NA 287 472 0 154 177 NA NA 383 670 0 229 267 NA NA 1412 1475 397 332 522 NA NA 763 1661 653 805 814 NA
1707084000.0 10805.31 NA 288 472 0 154 174 NA NA 388 673 0 221 260 NA NA 1405 1551 391 312 514 NA NA 850 3051 519 439 700 NA
1707084000.0 10806.0 NA 287 468 0 153 171 NA NA 389 654 0 228 260 NA NA 1412 1477 397 327 496 NA NA 796 1884 656 852 717 NA
1707084000.0 10823.0 NA 279 470 0 153 172 NA NA 377 671 0 229 257 NA NA 1415 1497 403 326 502 NA NA 726 2514 567 681 793 NA
1707084000.0 10824.8 NA 296 490 0 184 180 NA NA 405 672 0 301 265 NA NA 1450 1641 429 343 523 NA NA 756 1565 511 861 637 NA
1707084000.0 10842.0 NA 293 479 0 185 176 NA NA 394 655 0 294 265 NA NA 1440 1551 445 341 507 NA NA 938 1987 620 789 618 NA
1707084000.0 10859.0 NA 270 499 0 158 180 NA NA 401 718 0 233 274 NA NA 1492 2302 460 315 530 NA NA 908 2465 1054 437 620 NA
1707084000.0 110.0 134 178 349 NA NA NA NA 222 253 489 NA NA NA NA 563 289 1359 NA NA NA NA 816 354 1956 NA NA NA NA
1707084000.0 111.0 157 180 357 NA NA NA NA 265 256 506 NA NA NA NA 1026 265 1373 NA NA NA NA 819 465 1538 NA NA NA NA
1707084000.0 112.0 162 183 358 NA NA NA NA 273 261 494 NA NA NA NA 1300 303 1381 NA NA NA NA 1003 453 1494 NA NA NA NA
1707084000.0 113.0 171 183 358 NA NA NA NA 279 257 499 NA NA NA NA 1333 313 1412 NA NA NA NA 1023 529 1732 NA NA NA NA
1707084000.0 11634.1 NA 260 285 0 NA NA NA NA 374 412 0 NA NA NA NA 431 692 437 NA NA NA NA 362 911 509 NA NA NA
1707084000.0 11634.7 NA 273 512 0 NA NA NA NA 366 719 0 NA NA NA NA 403 1825 463 NA NA NA NA 373 2082 673 NA NA NA
1707084000.0 11650.911 154 261 502 0 176 NA NA 229 343 703 0 278 NA NA 1661 1185 2318 869 789 NA NA 1064 852 1978 974 630 NA NA
1707084000.0 11650.914 147 260 499 0 180 NA NA 221 349 703 0 269 NA NA 1222 382 1703 430 345 NA NA 975 488 2044 490 693 NA NA
1707084000.0 11834.0 NA 624 993 0 NA NA NA NA 848 1336 0 NA NA NA NA 3378 6273 489 NA NA NA NA 1795 3254 773 NA NA NA
1707084000.0 11834.24 NA 214 446 0 NA NA NA NA 301 652 0 NA NA NA NA 244 1529 409 NA NA NA NA 490 1816 514 NA NA NA
1707084000.0 119.0 168 182 356 NA NA NA NA 278 254 504 NA NA NA NA 1153 302 1422 NA NA NA NA 971 436 2021 NA NA NA NA
1707084000.0 120.0 132 177 347 NA NA NA NA 230 247 508 NA NA NA NA 519 294 1338 NA NA NA NA 918 610 1955 NA NA NA NA
1707084000.0 12034.0 NA 272 495 0 NA NA NA NA 373 722 0 NA NA NA NA 390 1768 454 NA NA NA NA 671 1887 716 NA NA NA
1707084000.0 122.0 128 0 0 NA NA NA NA 210 0 0 NA NA NA NA 526 127 1207 NA NA NA NA 558 462 1789 NA NA NA NA
1707084000.0 123.1 405 NA NA NA NA NA NA 553 NA NA NA NA NA NA 815 NA NA NA NA NA NA 756 NA NA NA NA NA NA
1707084000.0 123.2 408 NA NA NA NA NA NA 526 NA NA NA NA NA NA 912 NA NA NA NA NA NA 806 NA NA NA NA NA NA
1707084000.0 123.3 322 NA NA NA NA NA NA 434 NA NA NA NA NA NA 731 NA NA NA NA NA NA 1056 NA NA NA NA NA NA
1707084000.0 124.1 355 NA NA NA NA NA NA 500 NA NA NA NA NA NA 756 NA NA NA NA NA NA 984 NA NA NA NA NA NA
1707084000.0 124.2 404 NA NA NA NA NA NA 531 NA NA NA NA NA NA 762 NA NA NA NA NA NA 753 NA NA NA NA NA NA
1707084000.0 124.4 387 NA NA NA NA NA NA 512 NA NA NA NA NA NA 717 NA NA NA NA NA NA 849 NA NA NA NA NA NA
1707084000.0 124.5 386 NA NA NA NA NA NA 508 NA NA NA NA NA NA 745 NA NA NA NA NA NA 902 NA NA NA NA NA NA
1707084000.0 124.6 322 NA NA NA NA NA NA 436 NA NA NA NA NA NA 739 NA NA NA NA NA NA 1185 NA NA NA NA NA NA
1707084000.0 127.0 133 179 348 NA NA NA NA 210 255 482 NA NA NA NA 695 287 1365 NA NA NA NA 794 397 1766 NA NA NA NA
1707084000.0 128.0 132 178 346 NA NA NA NA 207 255 482 NA NA NA NA 505 287 1375 NA NA NA NA 754 360 2499 NA NA NA NA
1707084000.0 129.0 131 178 348 NA NA NA NA 208 250 497 NA NA NA NA 505 285 1323 NA NA NA NA 715 418 1424 NA NA NA NA
1707084000.0 130.0 134 178 349 NA NA NA NA 227 250 489 NA NA NA NA 531 286 1359 NA NA NA NA 742 380 2075 NA NA NA NA
1707084000.0 1301.0 154 216 312 NA NA NA NA 249 301 451 NA NA NA NA 1225 324 899 NA NA NA NA 1273 771 1210 NA NA NA NA
1707084000.0 1307.0 NA 215 251 102 0 NA NA NA 309 383 169 0 NA NA NA 303 542 178 219 NA NA NA 635 1082 271 399 NA NA
1707084000.0 1308.0 NA 211 247 98 0 NA NA NA 299 369 168 0 NA NA NA 289 468 182 208 NA NA NA 339 1033 407 318 NA NA
1707084000.0 131.0 133 179 351 NA NA NA NA 210 249 491 NA NA NA NA 765 293 1369 NA NA NA NA 771 624 1826 NA NA NA NA
1707084000.0 1311.0 NA 219 424 0 128 NA NA NA 313 599 0 191 NA NA NA 340 1081 371 250 NA NA NA 909 1453 610 345 NA NA
1707084000.0 1325.0 NA 236 415 0 133 140 NA NA 326 575 0 194 262 NA NA 341 1546 347 280 422 NA NA 543 2166 400 619 705 NA
1707084000.0 1325.1 NA 219 249 0 NA NA NA NA 318 382 0 NA NA NA NA 372 565 353 NA NA NA NA 642 693 515 NA NA NA
1707084000.0 1325.2 NA 232 413 0 NA NA NA NA 320 558 0 NA NA NA NA 343 1541 351 NA NA NA NA 521 2179 482 NA NA NA
1707084000.0 1325.3 NA 225 241 0 NA NA NA NA 314 376 0 NA NA NA NA 357 554 324 NA NA NA NA 488 632 435 NA NA NA
1707084000.0 1325.5 NA 252 0 NA NA NA NA NA 354 0 NA NA NA NA NA 1523 156 NA NA NA NA NA 1375 452 NA NA NA NA
1707084000.0 1325.51 NA 236 0 NA NA NA NA NA 331 0 NA NA NA NA NA 1511 167 NA NA NA NA NA 1339 271 NA NA NA NA
1707084000.0 1325.516 NA 257 0 NA NA NA NA NA 360 0 NA NA NA NA NA 1620 163 NA NA NA NA NA 1436 256 NA NA NA NA
1707084000.0 1325.5161 NA 255 0 NA NA NA NA NA 347 0 NA NA NA NA NA 1666 164 NA NA NA NA NA 1484 274 NA NA NA NA
1707084000.0 1325.517 NA 242 0 NA NA NA NA NA 337 0 NA NA NA NA NA 1682 166 NA NA NA NA NA 1436 260 NA NA NA NA
1707084000.0 1325.518 NA 269 0 NA NA NA NA NA 373 0 NA NA NA NA NA 2053 164 NA NA NA NA NA 1485 278 NA NA NA NA
1707084000.0 1328.0 NA 234 416 0 NA NA NA NA 326 573 0 NA NA NA NA 348 1511 350 NA NA NA NA 472 1874 476 NA NA NA
1707084000.0 134.0 NA 373 89 0 NA NA NA NA 515 152 0 NA NA NA NA 2610 142 67 NA NA NA NA 2567 303 101 NA NA NA
1707084000.0 135.1 431 0 198 167 NA NA NA 572 0 278 251 NA NA NA 881 232 603 405 NA NA NA 1429 651 1427 582 NA NA NA
1707084000.0 135.11 429 0 201 167 NA NA NA 584 0 283 252 NA NA NA 988 240 679 394 NA NA NA 1407 432 710 453 NA NA NA
1707084000.0 135.13 393 0 NA NA NA NA NA 580 0 NA NA NA NA NA 891 323 NA NA NA NA NA 1106 469 NA NA NA NA NA
1707084000.0 135.14 426 0 198 166 NA NA NA 568 0 282 252 NA NA NA 869 235 585 405 NA NA NA 1115 405 741 632 NA NA NA
1707084000.0 135.3 355 0 196 161 NA NA NA 500 0 279 250 NA NA NA 734 220 562 369 NA NA NA 1008 528 698 425 NA NA NA
1707084000.0 135.4 416 0 204 164 NA NA NA 551 0 280 251 NA NA NA 801 225 577 385 NA NA NA 1268 383 940 578 NA NA NA
1707084000.0 135.5 420 0 198 162 NA NA NA 577 0 285 251 NA NA NA 795 224 576 389 NA NA NA 996 359 1128 676 NA NA NA
1707084000.0 135.8 186 NA NA NA NA NA NA 283 NA NA NA NA NA NA 665 NA NA NA NA NA NA 479 NA NA NA NA NA NA
1707084000.0 135.9 421 0 195 162 NA NA NA 554 0 286 249 NA NA NA 773 223 563 370 NA NA NA 1470 427 1013 614 NA NA NA
1707084000.0 1350.0 NA 231 405 0 NA NA NA NA 324 549 0 NA NA NA NA 335 1459 355 NA NA NA NA 575 2224 483 NA NA NA
1707084000.0 1356.0 169 222 416 0 215 NA NA 258 314 602 0 301 NA NA 1627 341 1514 340 637 NA NA 1274 606 2074 493 943 NA NA
1707084000.0 136.72411 NA 231 0 NA NA NA NA NA 333 0 NA NA NA NA NA 1597 158 NA NA NA NA NA 1511 282 NA NA NA NA
1707084000.0 136.72412 NA 276 0 NA NA NA NA NA 363 0 NA NA NA NA NA 1681 152 NA NA NA NA NA 1445 265 NA NA NA NA
1707084000.0 136.733 NA 258 134 0 NA NA NA NA 403 200 0 NA NA NA NA 820 254 212 NA NA NA NA 676 477 330 NA NA NA
1707084000.0 136.7611 NA 249 0 NA NA NA NA NA 351 0 NA NA NA NA NA 1892 155 NA NA NA NA NA 1519 265 NA NA NA NA
1707084000.0 136.76111 NA 262 0 NA NA NA NA NA 353 0 NA NA NA NA NA 1733 152 NA NA NA NA NA 1521 246 NA NA NA NA
1707084000.0 136.7721 NA 255 0 NA NA NA NA NA 344 0 NA NA NA NA NA 1661 151 NA NA NA NA NA 1256 255 NA NA NA NA
1707084000.0 136.77211 NA 252 0 NA NA NA NA NA 362 0 NA NA NA NA NA 1681 156 NA NA NA NA NA 1225 236 NA NA NA NA
1707084000.0 136.7801 NA 195 0 NA NA NA NA NA 273 0 NA NA NA NA NA 472 174 NA NA NA NA NA 939 264 NA NA NA NA
1707084000.0 136.7802 NA 128 0 NA NA NA NA NA 197 0 NA NA NA NA NA 292 162 NA NA NA NA NA 441 250 NA NA NA NA
1707084000.0 136.7803 NA 199 0 NA NA NA NA NA 286 0 NA NA NA NA NA 571 159 NA NA NA NA NA 942 308 NA NA NA NA
1707084000.0 136.8311 NA 257 0 NA NA NA NA NA 355 0 NA NA NA NA NA 1771 150 NA NA NA NA NA 1374 224 NA NA NA NA
1707084000.0 136.83111 NA 251 0 NA NA NA NA NA 367 0 NA NA NA NA NA 1890 158 NA NA NA NA NA 1460 271 NA NA NA NA
1707084000.0 136.8855 NA 189 153 0 NA NA NA NA 263 294 0 NA NA NA NA 338 493 148 NA NA NA NA 332 674 246 NA NA NA
1707084000.0 136.88811 NA 267 0 NA NA NA NA NA 371 0 NA NA NA NA NA 1790 156 NA NA NA NA NA 1428 256 NA NA NA NA
1707084000.0 136.897 NA 286 126 0 NA NA NA NA 479 196 0 NA NA NA NA 919 237 266 NA NA NA NA 780 623 371 NA NA NA
1707084000.0 136.9 NA 261 239 340 219 NA NA NA 397 352 489 288 NA NA NA 6223 975 1230 856 NA NA NA 6515 1136 1401 1261 NA NA
1707084000.0 138.1 NA 311 156 0 NA NA NA NA 497 252 0 NA NA NA NA 918 243 274 NA NA NA NA 725 359 398 NA NA NA
1707084000.0 138.2 NA 297 154 0 NA NA NA NA 490 252 0 NA NA NA NA 957 241 270 NA NA NA NA 699 306 379 NA NA NA
1707084000.0 138.3 NA 77 502 0 NA NA NA NA 129 709 0 NA NA NA NA 61 41103 332 NA NA NA NA 319 17577 463 NA NA NA
1707084000.0 138.4 NA 383 0 NA NA NA NA NA 586 0 NA NA NA NA NA 1376 353 NA NA NA NA NA 1445 440 NA NA NA NA
1707084000.0 138.5 NA 437 215 0 NA NA NA NA 616 333 0 NA NA NA NA 1437 358 364 NA NA NA NA 1113 441 514 NA NA NA
1707084000.0 139.003 NA 193 364 0 NA NA NA NA 274 499 0 NA NA NA NA 271 1822 177 NA NA NA NA 269 2199 651 NA NA NA
1707084000.0 140.021 NA 0 0 0 NA NA NA NA 0 0 0 NA NA NA NA 144 1916 490 NA NA NA NA 369 2497 620 NA NA NA
1707084000.0 140.113 NA 0 0 0 NA NA NA NA 0 0 0 NA NA NA NA 149 1576 861 NA NA NA NA 439 2019 991 NA NA NA
1707084000.0 140.201 NA 249 NA NA NA NA NA NA 336 NA NA NA NA NA NA 1406 NA NA NA NA NA NA 894 NA NA NA NA NA
1707084000.0 140.202 NA 275 NA NA NA NA NA NA 374 NA NA NA NA NA NA 1858 NA NA NA NA NA NA 1460 NA NA NA NA NA
1707084000.0 140.51 NA 100 272 0 NA NA NA NA 162 407 0 NA NA NA NA 331 1227 235 NA NA NA NA 330 925 354 NA NA NA
1707084000.0 140.54 NA 404 0 NA NA NA NA NA 637 0 NA NA NA NA NA 1801 270 NA NA NA NA NA 1641 422 NA NA NA NA
1707084000.0 140.5611 NA 252 0 NA NA NA NA NA 357 0 NA NA NA NA NA 2094 155 NA NA NA NA NA 1461 265 NA NA NA NA
1707084000.0 140.57 NA 538 0 NA NA NA NA NA 785 0 NA NA NA NA NA 1985 323 NA NA NA NA NA 1296 420 NA NA NA NA
1707084000.0 140.6 NA 102 368 0 NA NA NA NA 154 609 0 NA NA NA NA 106 891 295 NA NA NA NA 216 1259 419 NA NA NA
1707084000.0 140.61 NA 380 0 NA NA NA NA NA 622 0 NA NA NA NA NA 1658 301 NA NA NA NA NA 1411 487 NA NA NA NA
1707084000.0 141.004 NA 389 640 0 NA NA NA NA 522 833 0 NA NA NA NA 1203 4141 369 NA NA NA NA 1139 3323 571 NA NA NA
1707084000.0 141.009 NA 0 0 0 NA NA NA NA 0 0 0 NA NA NA NA 916 4032 928 NA NA NA NA 1279 4765 1023 NA NA NA
1707084000.0 141.113 NA 0 0 0 NA NA NA NA 0 0 0 NA NA NA NA 763 1151 538 NA NA NA NA 941 1385 619 NA NA NA
1707084000.0 144.6 NA 372 NA NA NA NA NA NA 509 NA NA NA NA NA NA 2439 NA NA NA NA NA NA 2841 NA NA NA NA NA
1707084000.0 148.0 133 247 447 0 NA NA NA 214 341 638 0 NA NA NA 753 518 1432 409 NA NA NA 1651 621 1781 526 NA NA NA
1707084000.0 158.0 143 228 480 118 0 NA NA 226 312 672 178 0 NA NA 1738 286 1415 214 445 NA NA 2030 795 1930 291 639 NA NA
1707084000.0 158.01 NA 206 0 NA NA NA NA NA 317 0 NA NA NA NA NA 1706 165 NA NA NA NA NA 1537 257 NA NA NA NA
1707084000.0 158.3 NA 272 492 0 NA NA NA NA 360 681 0 NA NA NA NA 372 1437 455 NA NA NA NA 420 1587 668 NA NA NA
1707084000.0 159.0 153 221 457 118 0 NA NA 232 309 646 178 0 NA NA 1867 276 1224 213 417 NA NA 2580 685 1569 279 540 NA NA
1707084000.0 159.01 NA 214 0 NA NA NA NA NA 303 0 NA NA NA NA NA 1462 158 NA NA NA NA NA 1224 259 NA NA NA NA
1707084000.0 159.03 137 209 109 241 195 NA NA 220 295 157 432 264 NA NA 1111 226 142 490 423 NA NA 1409 256 341 724 577 NA NA
1707084000.0 160.0 144 226 460 118 0 NA NA 220 312 655 178 0 NA NA 1350 305 1151 214 416 NA NA 1462 388 1636 272 640 NA NA
1707084000.0 160.02 144 226 116 456 118 0 NA 219 313 158 641 183 0 NA 1370 301 139 1155 225 414 NA 1572 403 403 1563 498 535 NA
1707084000.0 160.03 172 335 201 358 209 NA NA 336 451 285 539 277 NA NA 9920 1328 197 982 548 NA NA 11031 1430 376 1202 668 NA NA
1707084000.0 20034.0 177 544 550 0 214 NA NA 262 719 710 0 304 NA NA 4250 1333 2321 511 637 NA NA 2209 854 2056 580 816 NA NA
1707084000.0 2017.13 509 0 NA NA NA NA NA 648 0 NA NA NA NA NA 847 365 NA NA NA NA NA 732 421 NA NA NA NA NA
1707084000.0 2017.8 208 NA NA NA NA NA NA 327 NA NA NA NA NA NA 703 NA NA NA NA NA NA 562 NA NA NA NA NA NA
