Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706824800.0 1.0 152 176 288 NA NA NA NA NA NA 279 539 425 NA NA NA NA NA NA 7232 388 924 NA NA NA NA NA NA 2981 355 1207 NA NA NA NA NA NA
1706824800.0 10.0 NA 215 387 0 NA NA NA NA NA NA 569 536 0 NA NA NA NA NA NA 1556 3239 372 NA NA NA NA NA NA 589 1920 422 NA NA NA NA NA
1706824800.0 1000.0 NA 337 239 0 111 NA NA NA NA NA 509 341 0 179 NA NA NA NA NA 2738 728 296 234 NA NA NA NA NA 2128 1731 484 282 NA NA NA NA
1706824800.0 10001.0 NA 296 473 0 154 174 NA NA NA NA 735 673 0 228 259 NA NA NA NA 1519 1491 375 306 471 NA NA NA NA 615 1431 411 379 669 NA NA NA
1706824800.0 10002.0 NA 293 476 0 154 174 NA NA NA NA 723 656 0 222 266 NA NA NA NA 1516 1494 389 302 481 NA NA NA NA 637 1461 647 352 575 NA NA NA
1706824800.0 10003.0 NA 293 477 0 154 177 NA NA NA NA 639 661 0 223 265 NA NA NA NA 1544 1543 379 303 478 NA NA NA NA 823 1838 422 357 512 NA NA NA
1706824800.0 10004.0 NA 289 452 0 154 165 NA NA NA NA 730 673 0 225 258 NA NA NA NA 1527 1525 367 309 467 NA NA NA NA 609 1521 416 405 673 NA NA NA
1706824800.0 10005.0 NA 295 476 0 154 173 NA NA NA NA 742 671 0 228 258 NA NA NA NA 1518 1481 378 311 482 NA NA NA NA 630 1715 500 519 772 NA NA NA
1706824800.0 10006.0 NA 286 470 0 153 161 NA NA NA NA 616 643 0 219 246 NA NA NA NA 1553 1465 374 316 455 NA NA NA NA 707 1365 420 410 573 NA NA NA
1706824800.0 10007.0 NA 298 473 0 184 172 NA NA NA NA 693 638 0 289 266 NA NA NA NA 1523 1517 392 326 466 NA NA NA NA 577 1923 523 707 578 NA NA NA
