Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1707084000.0 1.0 159 169 248 NA NA NA NA NA NA 279 248 435 NA NA NA NA NA NA 1294 316 912 NA NA NA NA NA NA 964 556 1353 NA NA NA NA NA NA
1707084000.0 1000.0 NA 338 250 0 112 NA NA NA NA NA 503 339 0 179 NA NA NA NA NA 2154 723 300 253 NA NA NA NA NA 1741 1137 443 453 NA NA NA NA
1707084000.0 10001.0 NA 296 465 0 154 172 NA NA NA NA 401 658 0 225 259 NA NA NA NA 1452 1468 389 322 497 NA NA NA NA 737 1761 512 595 769 NA NA NA
1707084000.0 10002.0 NA 295 472 0 154 173 NA NA NA NA 389 665 0 222 267 NA NA NA NA 1469 1494 394 317 548 NA NA NA NA 964 1851 524 482 825 NA NA NA
1707084000.0 10003.0 NA 297 472 0 154 176 NA NA NA NA 401 673 0 230 262 NA NA NA NA 1467 1509 392 314 503 NA NA NA NA 821 1765 532 436 642 NA NA NA
1707084000.0 10004.0 NA 295 472 0 153 173 NA NA NA NA 398 679 0 230 255 NA NA NA NA 1447 1475 380 348 528 NA NA NA NA 662 1798 449 631 751 NA NA NA
1707084000.0 10005.0 NA 292 475 0 154 173 NA NA NA NA 395 662 0 222 258 NA NA NA NA 1481 1490 390 312 546 NA NA NA NA 1099 1965 622 492 787 NA NA NA
1707084000.0 10006.0 NA 295 468 0 153 169 NA NA NA NA 386 673 0 224 255 NA NA NA NA 1457 1451 383 325 476 NA NA NA NA 721 1733 471 584 656 NA NA NA
1707084000.0 10007.0 NA 293 455 0 183 169 NA NA NA NA 393 659 0 296 256 NA NA NA NA 1490 1576 409 343 499 NA NA NA NA 684 2193 618 896 682 NA NA NA
1707084000.0 10008.0 NA 297 436 0 183 174 NA NA NA NA 400 661 0 287 261 NA NA NA NA 1468 1522 406 321 494 NA NA NA NA 848 1882 668 523 673 NA NA NA
1707084000.0 10009.0 NA 292 468 0 179 172 NA NA NA NA 388 671 0 292 257 NA NA NA NA 1513 1569 412 350 507 NA NA NA NA 697 1955 611 816 710 NA NA NA
1707084000.0 1001.0 NA 323 191 0 0 0 0 0 0 NA 463 260 0 0 0 0 0 0 NA 2002 380 95 70 100 218 131 223 NA 1657 407 352 210 319 397 322 369
1707084000.0 1001.2 NA 533 238 0 0 0 0 0 NA NA 762 366 0 0 0 0 0 NA NA 9686 784 107 117 123 149 143 NA NA 3726 682 157 205 155 283 193 NA
1707084000.0 1002.0 NA 363 140 NA NA NA NA NA NA NA 500 186 NA NA NA NA NA NA NA 2539 223 NA NA NA NA NA NA NA 2471 631 NA NA NA NA NA NA
1707084000.0 10023.0 NA 293 467 0 153 168 NA NA NA NA 387 662 0 219 260 NA NA NA NA 1469 1485 400 311 523 NA NA NA NA 887 1975 595 467 838 NA NA NA
1707084000.0 10024.0 NA 301 492 0 185 177 NA NA NA NA 409 684 0 289 257 NA NA NA NA 1543 1701 441 343 549 NA NA NA NA 1103 1888 557 573 999 NA NA NA
1707084000.0 10025.0 NA 299 449 0 155 175 NA NA NA NA 399 670 0 229 264 NA NA NA NA 1462 1499 417 321 555 NA NA NA NA 689 1771 746 537 832 NA NA NA
1707084000.0 10026.0 NA 305 489 0 157 176 NA NA NA NA 408 688 0 230 263 NA NA NA NA 1533 1900 471 340 553 NA NA NA NA 822 1819 747 689 968 NA NA NA
1707084000.0 1003.0 NA 381 0 NA NA NA NA NA NA NA 651 0 NA NA NA NA NA NA NA 2462 275 NA NA NA NA NA NA NA 1998 545 NA NA NA NA NA NA
1707084000.0 1004.0 NA 272 155 0 0 0 0 NA NA NA 414 222 0 0 0 0 NA NA NA 864 235 68 93 219 272 NA NA NA 1252 555 107 141 309 524 NA NA
1707084000.0 10042.0 NA 290 432 0 187 170 NA NA NA NA 400 661 0 289 259 NA NA NA NA 1543 1641 470 345 519 NA NA NA NA 944 2128 873 784 756 NA NA NA
1707084000.0 1005.0 NA 212 156 0 0 NA NA NA NA NA 362 257 0 0 NA NA NA NA NA 481 235 95 104 NA NA NA NA NA 583 537 221 205 NA NA NA NA
1707084000.0 10059.0 NA 309 493 0 158 177 NA NA NA NA 403 689 0 224 258 NA NA NA NA 1519 2194 441 326 525 NA NA NA NA 737 2052 567 554 709 NA NA NA
1707084000.0 10071.0 NA 304 485 0 156 171 NA NA NA NA 393 659 0 232 267 NA NA NA NA 1513 1717 452 324 520 NA NA NA NA 666 2269 779 491 672 NA NA NA
1707084000.0 101.0 164 NA NA NA NA NA NA NA NA 300 NA NA NA NA NA NA NA NA 726 NA NA NA NA NA NA NA NA 741 NA NA NA NA NA NA NA NA
1707084000.0 1010.0 NA 85 105 0 NA NA NA NA NA NA 161 171 0 NA NA NA NA NA NA 142 179 169 NA NA NA NA NA NA 371 397 274 NA NA NA NA NA
1707084000.0 102.0 165 NA NA NA NA NA NA NA NA 282 NA NA NA NA NA NA NA NA 677 NA NA NA NA NA NA NA NA 743 NA NA NA NA NA NA NA NA
1707084000.0 1020.0 NA 89 81 0 95 NA NA NA NA NA 175 159 0 176 NA NA NA NA NA 172 128 69 158 NA NA NA NA NA 465 270 282 242 NA NA NA NA
1707084000.0 10224.0 NA 491 749 0 177 NA NA NA NA NA 627 1036 0 265 NA NA NA NA NA 2853 3339 473 518 NA NA NA NA NA 1230 2577 523 580 NA NA NA NA
1707084000.0 10224.15 NA 496 723 0 191 NA NA NA NA NA 660 1060 0 287 NA NA NA NA NA 2966 3265 468 654 NA NA NA NA NA 1245 2240 528 906 NA NA NA NA
1707084000.0 10225.0 NA 485 707 0 171 NA NA NA NA NA 672 1063 0 263 NA NA NA NA NA 2870 2878 454 553 NA NA NA NA NA 1367 2281 512 875 NA NA NA NA
1707084000.0 103.0 129 0 0 NA NA NA NA NA NA 209 0 0 NA NA NA NA NA NA 557 138 1247 NA NA NA NA NA NA 710 365 1546 NA NA NA NA NA NA
1707084000.0 1040.1 NA 123 83 0 NA NA NA NA NA NA 204 148 0 NA NA NA NA NA NA 350 138 102 NA NA NA NA NA NA 646 311 156 NA NA NA NA NA
1707084000.0 1041.0 NA 122 93 0 NA NA NA NA NA NA 203 154 0 NA NA NA NA NA NA 250 149 66 NA NA NA NA NA NA 552 488 86 NA NA NA NA NA
1707084000.0 1042.0 NA 124 89 0 NA NA NA NA NA NA 204 151 0 NA NA NA NA NA NA 384 142 71 NA NA NA NA NA NA 1140 202 127 NA NA NA NA NA
1707084000.0 10424.0 NA 258 470 0 NA NA NA NA NA NA 354 656 0 NA NA NA NA NA NA 367 1656 447 NA NA NA NA NA NA 618 1882 647 NA NA NA NA NA
1707084000.0 1043.0 NA 112 92 0 NA NA NA NA NA NA 189 159 0 NA NA NA NA NA NA 266 150 66 NA NA NA NA NA NA 461 395 116 NA NA NA NA NA
1707084000.0 1044.0 NA 111 118 0 NA NA NA NA NA NA 185 190 0 NA NA NA NA NA NA 263 182 70 NA NA NA NA NA NA 360 218 100 NA NA NA NA NA
1707084000.0 1045.0 NA 109 107 0 NA NA NA NA NA NA 189 178 0 NA NA NA NA NA NA 277 185 64 NA NA NA NA NA NA 436 467 107 NA NA NA NA NA
1707084000.0 105.0 156 174 87 NA NA NA NA NA NA 277 252 146 NA NA NA NA NA NA 1240 301 135 NA NA NA NA NA NA 1041 474 209 NA NA NA NA NA NA
1707084000.0 1052.0 NA 205 162 0 NA NA NA NA NA NA 352 261 0 NA NA NA NA NA NA 514 217 64 NA NA NA NA NA NA 784 320 91 NA NA NA NA NA
1707084000.0 1052.1 NA 145 0 NA NA NA NA NA NA NA 251 0 NA NA NA NA NA NA NA 197 64 NA NA NA NA NA NA NA 296 89 NA NA NA NA NA NA
1707084000.0 106.0 124 0 0 NA NA NA NA NA NA 209 0 0 NA NA NA NA NA NA 579 134 1228 NA NA NA NA NA NA 948 339 1576 NA NA NA NA NA NA
1707084000.0 1060.1 NA 158 NA NA NA NA NA NA NA NA 253 NA NA NA NA NA NA NA NA 556 NA NA NA NA NA NA NA NA 721 NA NA NA NA NA NA NA
1707084000.0 1060.2 NA 153 NA NA NA NA NA NA NA NA 267 NA NA NA NA NA NA NA NA 489 NA NA NA NA NA NA NA NA 584 NA NA NA NA NA NA NA
1707084000.0 107.0 142 180 360 NA NA NA NA NA NA 274 259 509 NA NA NA NA NA NA 1541 333 1492 NA NA NA NA NA NA 994 792 1939 NA NA NA NA NA NA
1707084000.0 108.0 164 183 365 NA NA NA NA NA NA 286 254 517 NA NA NA NA NA NA 1839 322 1485 NA NA NA NA NA NA 987 409 1893 NA NA NA NA NA NA
1707084000.0 10801.0 NA 287 470 0 154 177 NA NA NA NA 388 651 0 227 265 NA NA NA NA 1414 1521 392 331 514 NA NA NA NA 649 1650 509 632 833 NA NA NA
1707084000.0 10802.0 NA 286 473 0 154 178 NA NA NA NA 384 676 0 227 270 NA NA NA NA 1425 1476 392 316 508 NA NA NA NA 664 1652 535 463 657 NA NA NA
1707084000.0 10803.0 NA 286 474 0 154 179 NA NA NA NA 391 670 0 221 266 NA NA NA NA 1432 1534 396 313 519 NA NA NA NA 714 1894 517 472 684 NA NA NA
1707084000.0 10804.0 NA 287 467 0 154 177 NA NA NA NA 382 641 0 222 265 NA NA NA NA 1417 1473 405 349 506 NA NA NA NA 725 1736 530 608 621 NA NA NA
1707084000.0 10804.31 NA 287 455 0 149 176 NA NA NA NA 374 665 0 224 258 NA NA NA NA 1414 1561 383 323 536 NA NA NA NA 886 2482 436 540 1052 NA NA NA
1707084000.0 10805.0 NA 287 470 0 153 174 NA NA NA NA 382 677 0 222 254 NA NA NA NA 1416 1527 395 318 508 NA NA NA NA 786 1990 543 485 661 NA NA NA
1707084000.0 10805.31 NA 287 435 0 153 171 NA NA NA NA 375 660 0 223 265 NA NA NA NA 1466 1635 392 325 562 NA NA NA NA 602 2410 444 425 912 NA NA NA
1707084000.0 10806.0 NA 287 469 0 154 172 NA NA NA NA 380 650 0 221 251 NA NA NA NA 1414 1462 398 294 457 NA NA NA NA 742 1611 586 335 497 NA NA NA
1707084000.0 10807.0 NA 287 469 0 180 176 NA NA NA NA 390 662 0 290 263 NA NA NA NA 1470 1508 395 350 515 NA NA NA NA 916 1684 470 619 762 NA NA NA
1707084000.0 10808.0 NA 289 466 0 183 175 NA NA NA NA 383 670 0 294 260 NA NA NA NA 1423 1538 399 326 504 NA NA NA NA 668 1957 508 465 669 NA NA NA
1707084000.0 10809.0 NA 279 475 0 182 177 NA NA NA NA 377 678 0 291 268 NA NA NA NA 1487 1576 404 342 529 NA NA NA NA 824 1734 464 605 738 NA NA NA
1707084000.0 10823.0 NA 289 471 0 153 173 NA NA NA NA 379 681 0 223 259 NA NA NA NA 1420 1455 406 327 497 NA NA NA NA 667 1989 600 643 681 NA NA NA
1707084000.0 10824.0 NA 297 491 0 184 180 NA NA NA NA 393 683 0 306 270 NA NA NA NA 1491 1608 423 367 529 NA NA NA NA 810 1469 475 1346 637 NA NA NA
1707084000.0 10824.6 NA 297 475 0 185 175 NA NA NA NA 400 669 0 308 264 NA NA NA NA 1508 1686 443 351 531 NA NA NA NA 780 1927 567 731 668 NA NA NA
1707084000.0 10824.8 NA 297 484 0 185 179 NA NA NA NA 391 695 0 308 265 NA NA NA NA 1477 1680 437 329 531 NA NA NA NA 897 1911 628 475 783 NA NA NA
1707084000.0 10825.0 NA 292 442 0 156 179 NA NA NA NA 391 675 0 225 262 NA NA NA NA 1425 1527 421 316 558 NA NA NA NA 733 1717 589 435 765 NA NA NA
1707084000.0 10826.0 NA 300 490 0 159 181 NA NA NA NA 390 672 0 229 263 NA NA NA NA 1496 1842 462 334 528 NA NA NA NA 656 2198 743 620 636 NA NA NA
1707084000.0 10842.0 NA 287 479 0 182 178 NA NA NA NA 392 667 0 295 271 NA NA NA NA 1482 1617 433 345 508 NA NA NA NA 686 2239 559 545 637 NA NA NA
1707084000.0 10859.0 NA 304 444 0 156 175 NA NA NA NA 398 705 0 230 271 NA NA NA NA 1542 2388 473 347 557 NA NA NA NA 740 2341 726 739 737 NA NA NA
1707084000.0 10871.0 NA 297 488 0 158 179 NA NA NA NA 390 683 0 234 261 NA NA NA NA 1469 1679 446 328 524 NA NA NA NA 991 1771 652 555 645 NA NA NA
1707084000.0 109.0 168 185 357 NA NA NA NA NA NA 278 260 508 NA NA NA NA NA NA 1958 326 1543 NA NA NA NA NA NA 1300 378 1643 NA NA NA NA NA NA
