Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706479200.0 1.0 170 177 287 NA NA NA NA NA NA 296 248 422 NA NA NA NA NA NA 1225 321 950 NA NA NA NA NA NA 835 375 1380 NA NA NA NA NA NA
1706479200.0 10.0 NA 213 391 0 NA NA NA NA NA NA 303 529 0 NA NA NA NA NA NA 1312 2877 379 NA NA NA NA NA NA 555 2426 414 NA NA NA NA NA
1706479200.0 1000.0 NA 365 239 0 115 NA NA NA NA NA 511 335 0 179 NA NA NA NA NA 2267 791 306 255 NA NA NA NA NA 2090 1760 480 342 NA NA NA NA
1706479200.0 10001.0 NA 295 469 0 154 173 NA NA NA NA 387 651 0 224 261 NA NA NA NA 1512 1529 422 332 501 NA NA NA NA 1052 1898 746 596 650 NA NA NA
1706479200.0 10002.0 NA 297 463 0 154 175 NA NA NA NA 383 663 0 218 264 NA NA NA NA 1474 1552 408 332 488 NA NA NA NA 919 2349 716 586 559 NA NA NA
1706479200.0 10003.0 NA 296 475 0 154 129 NA NA NA NA 380 663 0 225 264 NA NA NA NA 1479 1541 408 325 501 NA NA NA NA 670 1895 670 538 570 NA NA NA
1706479200.0 10004.0 NA 295 472 0 153 173 NA NA NA NA 379 656 0 221 262 NA NA NA NA 1497 1388 378 314 504 NA NA NA NA 797 1348 422 397 732 NA NA NA
1706479200.0 10005.0 NA 292 461 0 154 171 NA NA NA NA 391 669 0 222 256 NA NA NA NA 1535 1564 399 347 521 NA NA NA NA 797 1899 487 620 599 NA NA NA
1706479200.0 10006.0 NA 295 468 0 153 168 NA NA NA NA 384 657 0 224 257 NA NA NA NA 1521 1572 415 333 505 NA NA NA NA 610 1976 563 447 734 NA NA NA
1706479200.0 10007.0 NA 295 437 0 182 171 NA NA NA NA 382 655 0 290 259 NA NA NA NA 1511 1529 404 335 511 NA NA NA NA 999 2303 511 480 882 NA NA NA
1706479200.0 10008.0 NA 289 473 0 183 173 NA NA NA NA 394 655 0 288 259 NA NA NA NA 1516 1535 401 334 484 NA NA NA NA 874 1905 537 530 574 NA NA NA
1706479200.0 10009.0 NA 298 473 0 184 172 NA NA NA NA 397 663 0 288 268 NA NA NA NA 1514 1562 411 345 537 NA NA NA NA 875 1958 682 747 949 NA NA NA
1706479200.0 1001.0 NA 322 191 0 0 0 0 0 0 NA 462 259 0 0 0 0 0 0 NA 2079 387 93 80 94 221 125 225 NA 1916 456 248 311 147 283 192 378
1706479200.0 1001.2 NA 532 237 0 0 0 0 0 NA NA 768 374 0 0 0 0 0 NA NA 9546 789 105 121 136 154 139 NA NA 3890 720 177 393 417 440 214 NA
1706479200.0 1001.3 NA 519 235 0 NA NA NA NA NA NA 754 368 0 NA NA NA NA NA NA 7403 856 265 NA NA NA NA NA NA 2780 971 342 NA NA NA NA NA
1706479200.0 1002.0 NA 365 136 NA NA NA NA NA NA NA 524 181 NA NA NA NA NA NA NA 2533 209 NA NA NA NA NA NA NA 2510 210 NA NA NA NA NA NA
1706479200.0 1002.3 NA 506 228 0 NA NA NA NA NA NA 719 355 0 NA NA NA NA NA NA 5974 606 304 NA NA NA NA NA NA 2465 542 635 NA NA NA NA NA
1706479200.0 1002.4 NA 512 0 NA NA NA NA NA NA NA 736 0 NA NA NA NA NA NA NA 9075 378 NA NA NA NA NA NA NA 3411 434 NA NA NA NA NA NA
1706479200.0 10023.0 NA 297 472 0 153 169 NA NA NA NA 396 645 0 221 250 NA NA NA NA 1550 1562 391 322 486 NA NA NA NA 738 1732 424 406 624 NA NA NA
1706479200.0 10024.0 NA 307 479 0 186 177 NA NA NA NA 400 670 0 292 265 NA NA NA NA 1466 1704 456 362 530 NA NA NA NA 566 1628 540 870 539 NA NA NA
1706479200.0 10024.1 NA 307 268 0 NA NA NA NA NA NA 398 432 0 NA NA NA NA NA NA 1658 689 435 NA NA NA NA NA NA 919 934 620 NA NA NA NA NA
1706479200.0 10024.2 NA 305 483 0 NA NA NA NA NA NA 402 674 0 NA NA NA NA NA NA 1544 1652 437 NA NA NA NA NA NA 660 1492 524 NA NA NA NA NA
1706479200.0 10024.3 NA 300 279 0 NA NA NA NA NA NA 390 393 0 NA NA NA NA NA NA 1628 708 359 NA NA NA NA NA NA 833 1264 474 NA NA NA NA NA
1706479200.0 10024.4 NA 308 480 0 NA NA NA NA NA NA 400 668 0 NA NA NA NA NA NA 1547 1752 436 NA NA NA NA NA NA 620 1819 531 NA NA NA NA NA
1706479200.0 10025.0 NA 297 480 0 155 176 NA NA NA NA 379 658 0 223 259 NA NA NA NA 1565 1607 450 348 543 NA NA NA NA 935 1925 780 574 789 NA NA NA
1706479200.0 10026.0 NA 310 496 0 154 177 NA NA NA NA 402 689 0 234 264 NA NA NA NA 1597 1904 490 346 553 NA NA NA NA 709 1559 654 589 787 NA NA NA
1706479200.0 1003.0 NA 382 0 NA NA NA NA NA NA NA 646 0 NA NA NA NA NA NA NA 2478 303 NA NA NA NA NA NA NA 1665 524 NA NA NA NA NA NA
1706479200.0 1004.0 NA 274 154 0 0 0 0 NA NA NA 404 220 0 0 0 0 NA NA NA 764 207 70 110 279 225 NA NA NA 802 387 120 299 365 275 NA NA
1706479200.0 10042.0 NA 300 480 0 187 164 NA NA NA NA 395 662 0 291 258 NA NA NA NA 1581 1587 435 330 523 NA NA NA NA 867 1555 471 387 739 NA NA NA
1706479200.0 1005.0 NA 213 158 0 0 NA NA NA NA NA 361 261 0 0 NA NA NA NA NA 458 244 105 121 NA NA NA NA NA 563 331 370 409 NA NA NA NA
1706479200.0 10059.0 NA 296 487 0 156 171 NA NA NA NA 399 689 0 235 260 NA NA NA NA 1710 2296 518 359 619 NA NA NA NA 824 1958 821 516 863 NA NA NA
1706479200.0 10071.0 NA 299 452 0 157 176 NA NA NA NA 391 647 0 226 256 NA NA NA NA 1592 1751 453 354 550 NA NA NA NA 895 2222 541 685 724 NA NA NA
1706479200.0 101.0 165 NA NA NA NA NA NA NA NA 297 NA NA NA NA NA NA NA NA 740 NA NA NA NA NA NA NA NA 755 NA NA NA NA NA NA NA NA
1706479200.0 1010.0 NA 90 105 0 NA NA NA NA NA NA 159 167 0 NA NA NA NA NA NA 127 198 174 NA NA NA NA NA NA 232 395 213 NA NA NA NA NA
1706479200.0 102.0 164 NA NA NA NA NA NA NA NA 294 NA NA NA NA NA NA NA NA 688 NA NA NA NA NA NA NA NA 704 NA NA NA NA NA NA NA NA
1706479200.0 1020.0 NA 94 81 0 95 NA NA NA NA NA 177 159 0 172 NA NA NA NA NA 187 140 73 173 NA NA NA NA NA 370 342 245 255 NA NA NA NA
1706479200.0 10224.0 NA 500 735 0 177 NA NA NA NA NA 658 993 0 263 NA NA NA NA NA 2976 3486 490 552 NA NA NA NA NA 1397 2381 645 991 NA NA NA NA
1706479200.0 10224.15 NA 488 730 0 193 NA NA NA NA NA 646 1038 0 285 NA NA NA NA NA 2917 3134 485 680 NA NA NA NA NA 1353 2782 643 1114 NA NA NA NA
1706479200.0 10225.0 NA 483 719 0 175 NA NA NA NA NA 650 943 0 269 NA NA NA NA NA 2922 2946 471 544 NA NA NA NA NA 1576 2161 585 683 NA NA NA NA
1706479200.0 103.0 129 169 343 NA NA NA NA NA NA 225 242 496 NA NA NA NA NA NA 611 234 1436 NA NA NA NA NA NA 962 611 2268 NA NA NA NA NA NA
1706479200.0 1030.0 NA 265 102 0 0 NA NA NA NA NA 437 169 0 0 NA NA NA NA NA 4950 180 68 62 NA NA NA NA NA 1926 270 183 156 NA NA NA NA
1706479200.0 1040.0 NA 446 86 0 NA NA NA NA NA NA 680 148 0 NA NA NA NA NA NA 8519 131 97 NA NA NA NA NA NA 3167 170 117 NA NA NA NA NA
1706479200.0 1040.1 NA 125 83 0 NA NA NA NA NA NA 202 148 0 NA NA NA NA NA NA 409 154 109 NA NA NA NA NA NA 796 255 161 NA NA NA NA NA
1706479200.0 1041.0 NA 127 89 0 NA NA NA NA NA NA 202 155 0 NA NA NA NA NA NA 229 161 71 NA NA NA NA NA NA 345 259 103 NA NA NA NA NA
