Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1707084000.0 1.0 160 172 233 NA NA 293 252 394 NA NA 1242 313 929 NA NA 916 388 1207 NA NA
1707084000.0 1005.0 NA 206 158 0 0 NA 353 258 0 0 NA 499 229 89 105 NA 657 313 141 210
1707084000.0 101.0 171 NA NA NA NA 300 NA NA NA NA 657 NA NA NA NA 574 NA NA NA NA
1707084000.0 102.0 181 NA NA NA NA 296 NA NA NA NA 602 NA NA NA NA 574 NA NA NA NA
1707084000.0 103.0 129 0 0 NA NA 212 0 0 NA NA 467 120 1183 NA NA 693 193 1598 NA NA
1707084000.0 106.0 131 0 0 NA NA 212 0 0 NA NA 538 133 1305 NA NA 1034 222 1668 NA NA
1707084000.0 1060.1 NA 164 NA NA NA NA 263 NA NA NA NA 544 NA NA NA NA 492 NA NA NA
1707084000.0 1060.2 NA 170 NA NA NA NA 261 NA NA NA NA 465 NA NA NA NA 466 NA NA NA
1707084000.0 110.0 132 177 349 NA NA 215 251 487 NA NA 489 288 1370 NA NA 523 467 1850 NA NA
1707084000.0 113.0 164 147 351 NA NA 284 253 493 NA NA 1391 356 1556 NA NA 1072 914 1946 NA NA
1707084000.0 120.0 137 178 345 NA NA 235 252 494 NA NA 450 284 1327 NA NA 546 410 1741 NA NA
1707084000.0 122.0 124 0 0 NA NA 214 0 0 NA NA 507 138 1301 NA NA 595 301 1596 NA NA
1707084000.0 123.1 368 NA NA NA NA 542 NA NA NA NA 854 NA NA NA NA 858 NA NA NA NA
1707084000.0 123.2 378 NA NA NA NA 537 NA NA NA NA 934 NA NA NA NA 986 NA NA NA NA
1707084000.0 123.3 322 NA NA NA NA 431 NA NA NA NA 705 NA NA NA NA 742 NA NA NA NA
1707084000.0 124.1 356 NA NA NA NA 502 NA NA NA NA 754 NA NA NA NA 948 NA NA NA NA
1707084000.0 124.2 356 NA NA NA NA 524 NA NA NA NA 804 NA NA NA NA 791 NA NA NA NA
1707084000.0 124.4 319 NA NA NA NA 513 NA NA NA NA 749 NA NA NA NA 892 NA NA NA NA
1707084000.0 124.5 395 NA NA NA NA 526 NA NA NA NA 733 NA NA NA NA 762 NA NA NA NA
1707084000.0 124.6 313 NA NA NA NA 455 NA NA NA NA 734 NA NA NA NA 824 NA NA NA NA
1707084000.0 127.0 137 179 348 NA NA 225 259 504 NA NA 642 289 1362 NA NA 735 409 1907 NA NA
1707084000.0 129.0 134 176 351 NA NA 213 248 492 NA NA 440 288 1348 NA NA 822 532 1912 NA NA
1707084000.0 130.0 133 178 347 NA NA 214 253 504 NA NA 511 318 1486 NA NA 622 534 1943 NA NA
1707084000.0 136.9 NA 259 240 342 207 NA 397 352 493 289 NA 6266 977 1156 890 NA 6530 1163 1350 1284
1707084000.0 140.202 NA 252 NA NA NA NA 387 NA NA NA NA 1881 NA NA NA NA 1747 NA NA NA
1707084000.0 140.54 NA 410 0 NA NA NA 648 0 NA NA NA 1728 286 NA NA NA 1533 799 NA NA
1707084000.0 141.009 NA 0 NA NA NA NA 0 NA NA NA NA 1071 NA NA NA NA 1838 NA NA NA
1707084000.0 144.6 NA 367 NA NA NA NA 511 NA NA NA NA 2856 NA NA NA NA 3748 NA NA NA
1707084000.0 148.0 134 246 424 0 NA 218 332 646 0 NA 665 521 1510 394 NA 737 650 2082 502 NA
1707084000.0 2017.13 467 0 NA NA NA 647 0 NA NA NA 926 358 NA NA NA 1030 430 NA NA NA
1707084000.0 2018.8 221 NA NA NA NA 317 NA NA NA NA 659 NA NA NA NA 445 NA NA NA NA
1707084000.0 24834.911 184 590 537 0 208 270 796 730 0 296 8135 5097 5466 1477 654 3852 3069 3381 1626 737
1707084000.0 2500.312 NA 173 NA NA NA NA 251 NA NA NA NA 874 NA NA NA NA 649 NA NA NA
1707084000.0 2500.5 NA 139 NA NA NA NA 233 NA NA NA NA 237 NA NA NA NA 286 NA NA NA
1707084000.0 25034.114 NA 1469 1914 0 NA NA 1927 2896 0 NA NA 10244 53762 584 NA NA 4921 16307 680 NA
1707084000.0 250399.0 309 NA NA NA NA 423 NA NA NA NA 619 NA NA NA NA 577 NA NA NA NA
1707084000.0 250399.17 364 NA NA NA NA 485 NA NA NA NA 839 NA NA NA NA 636 NA NA NA NA
1707084000.0 250399.18 354 NA NA NA NA 489 NA NA NA NA 942 NA NA NA NA 806 NA NA NA NA
1707084000.0 250403.0 444 0 202 NA NA 612 0 294 NA NA 989 236 685 NA NA 1208 299 1191 NA NA
1707084000.0 250403.17 500 0 206 NA NA 702 0 292 NA NA 1018 261 608 NA NA 983 423 658 NA NA
1707084000.0 250405.18 496 0 205 NA NA 687 0 295 NA NA 1117 254 611 NA NA 1164 393 662 NA NA
1707084000.0 250406.0 446 0 199 NA NA 615 0 286 NA NA 834 231 573 NA NA 1183 369 689 NA NA
1707084000.0 250407.0 385 0 198 NA NA 530 0 290 NA NA 761 195 585 NA NA 883 293 691 NA NA
1707084000.0 250407.17 444 0 202 NA NA 600 0 279 NA NA 939 227 593 NA NA 1054 372 632 NA NA
1707084000.0 250408.0 411 0 205 NA NA 609 0 297 NA NA 953 233 604 NA NA 1073 313 682 NA NA
1707084000.0 250408.18 492 0 206 NA NA 691 0 289 NA NA 1129 264 619 NA NA 1125 410 684 NA NA
1707084000.0 250409.18 536 0 210 NA NA 699 0 300 NA NA 1272 264 710 NA NA 1288 366 682 NA NA
1707084000.0 25234.911 191 592 540 0 161 283 789 756 0 302 8075 5060 5428 1486 670 3809 3115 3381 1608 851
1707084000.0 28034.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1707084000.0 4.28 NA 133 367 0 NA NA 209 517 0 NA NA 250 2962 1416 NA NA 881 3294 1548 NA
1707084000.0 4001.0 NA 245 442 NA NA NA 353 596 NA NA NA 680 2225 NA NA NA 1046 2360 NA NA
1707084000.0 4007.0 127 0 0 NA NA 211 0 0 NA NA 520 146 1313 NA NA 705 497 1803 NA NA
1707084000.0 4008.0 130 0 0 NA NA 213 0 0 NA NA 473 131 1189 NA NA 1021 643 1777 NA NA
1707084000.0 500199.0 301 NA NA NA NA 430 NA NA NA NA 1076 NA NA NA NA 910 NA NA NA NA
