Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706479200.0 1.0 170 177 289 NA NA NA NA NA NA 279 250 422 NA NA NA NA NA NA 1254 311 959 NA NA NA NA NA NA 783 347 1657 NA NA NA NA NA NA
1706479200.0 10.0 NA 216 391 0 NA NA NA NA NA NA 316 540 0 NA NA NA NA NA NA 1316 2814 416 NA NA NA NA NA NA 949 1940 771 NA NA NA NA NA
1706479200.0 1000.0 NA 340 250 0 113 NA NA NA NA NA 508 331 0 178 NA NA NA NA NA 2222 713 295 241 NA NA NA NA NA 2039 817 383 261 NA NA NA NA
1706479200.0 10001.0 NA 290 469 0 153 174 NA NA NA NA 394 678 0 230 263 NA NA NA NA 1452 1502 402 338 513 NA NA NA NA 939 2197 670 667 792 NA NA NA
1706479200.0 10002.0 NA 288 473 0 155 174 NA NA NA NA 381 663 0 230 264 NA NA NA NA 1463 1531 386 325 496 NA NA NA NA 710 2237 469 780 523 NA NA NA
1706479200.0 10003.0 NA 298 476 0 153 174 NA NA NA NA 401 687 0 229 262 NA NA NA NA 1519 1624 379 312 550 NA NA NA NA 681 2421 411 379 869 NA NA NA
1706479200.0 10004.0 NA 294 451 0 154 172 NA NA NA NA 387 660 0 231 261 NA NA NA NA 1483 1491 382 328 527 NA NA NA NA 600 1944 415 455 1036 NA NA NA
1706479200.0 10005.0 NA 295 464 0 151 175 NA NA NA NA 390 666 0 222 263 NA NA NA NA 1432 1470 382 320 505 NA NA NA NA 583 1492 439 521 630 NA NA NA
1706479200.0 10006.0 NA 295 468 0 153 169 NA NA NA NA 392 654 0 220 251 NA NA NA NA 1522 1522 410 351 493 NA NA NA NA 796 2232 874 712 691 NA NA NA
1706479200.0 10007.0 NA 297 473 0 185 172 NA NA NA NA 393 648 0 287 259 NA NA NA NA 1515 1579 407 347 514 NA NA NA NA 643 2294 513 851 757 NA NA NA
