Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1707084000.0 10007.0 NA 297 461 0 180 164 NA 393 675 0 288 258 NA 1501 1569 415 372 517 NA 846 2119 617 1013 767
1707084000.0 1002.0 NA 368 137 NA NA NA NA 511 181 NA NA NA NA 2457 209 NA NA NA NA 2240 383 NA NA NA
1707084000.0 1003.0 NA 387 0 NA NA NA NA 646 0 NA NA NA NA 2364 273 NA NA NA NA 1833 429 NA NA NA
1707084000.0 1005.0 NA 213 161 0 0 NA NA 362 260 0 0 NA NA 479 226 96 110 NA NA 586 450 288 286 NA
1707084000.0 10059.0 NA 304 487 0 157 177 NA 397 690 0 233 267 NA 1565 2259 456 366 536 NA 1024 2086 628 927 704
1707084000.0 101.0 181 NA NA NA NA NA 299 NA NA NA NA NA 661 NA NA NA NA NA 645 NA NA NA NA NA
1707084000.0 1010.0 NA 90 108 0 NA NA NA 158 168 0 NA NA NA 129 170 156 NA NA NA 217 245 204 NA NA
1707084000.0 102.0 179 NA NA NA NA NA 282 NA NA NA NA NA 608 NA NA NA NA NA 625 NA NA NA NA NA
1707084000.0 1020.0 NA 97 85 0 89 NA NA 178 161 0 172 NA NA 162 124 65 168 NA NA 260 178 154 389 NA
1707084000.0 10225.0 NA 483 731 0 176 NA NA 658 983 0 263 NA NA 3035 2977 441 501 NA NA 1651 2899 528 547 NA
1707084000.0 103.0 135 170 346 NA NA NA 227 243 509 NA NA NA 575 218 1362 NA NA NA 869 322 1724 NA NA NA
1707084000.0 1040.1 NA 128 86 0 NA NA NA 200 148 0 NA NA NA 342 132 103 NA NA NA 579 234 159 NA NA
1707084000.0 1041.0 NA 127 93 0 NA NA NA 200 154 0 NA NA NA 228 143 75 NA NA NA 329 277 173 NA NA
1707084000.0 1042.0 NA 127 89 0 NA NA NA 203 151 0 NA NA NA 360 148 69 NA NA NA 697 251 137 NA NA
1707084000.0 1043.0 NA 112 93 0 NA NA NA 188 161 0 NA NA NA 260 145 63 NA NA NA 341 254 111 NA NA
1707084000.0 1044.0 NA 111 117 0 NA NA NA 187 188 0 NA NA NA 271 183 78 NA NA NA 406 243 205 NA NA
1707084000.0 1045.0 NA 108 107 0 NA NA NA 188 179 0 NA NA NA 265 179 70 NA NA NA 313 231 185 NA NA
1707084000.0 105.0 160 179 90 NA NA NA 282 258 146 NA NA NA 1179 293 128 NA NA NA 1105 336 187 NA NA NA
1707084000.0 1052.0 NA 215 163 0 NA NA NA 379 262 0 NA NA NA 466 214 67 NA NA NA 517 318 108 NA NA
1707084000.0 1052.1 NA 149 0 NA NA NA NA 246 0 NA NA NA NA 198 72 NA NA NA NA 299 193 NA NA NA
1707084000.0 106.0 129 0 0 NA NA NA 212 0 0 NA NA NA 476 124 1224 NA NA NA 514 233 1719 NA NA NA
1707084000.0 1060.1 NA 168 NA NA NA NA NA 258 NA NA NA NA NA 540 NA NA NA NA NA 524 NA NA NA NA
1707084000.0 1060.2 NA 169 NA NA NA NA NA 262 NA NA NA NA NA 462 NA NA NA NA NA 520 NA NA NA NA
1707084000.0 10824.8 NA 295 470 0 176 170 NA 401 686 0 302 259 NA 1487 1746 454 374 548 NA 666 2252 576 1059 753
1707084000.0 10825.0 NA 291 475 0 152 177 NA 381 673 0 231 270 NA 1460 1585 418 363 529 NA 769 1864 487 1054 656
1707084000.0 110.0 134 176 346 NA NA NA 212 254 509 NA NA NA 512 299 1367 NA NA NA 656 375 1595 NA NA NA
1707084000.0 11025.0 NA 568 790 0 172 NA NA 786 1097 0 265 NA NA 3809 4048 446 549 NA NA 1822 2589 501 819 NA
1707084000.0 111.0 167 178 354 NA NA NA 282 259 506 NA NA NA 986 275 1476 NA NA NA 654 378 2491 NA NA NA
1707084000.0 112.0 157 181 353 NA NA NA 275 256 487 NA NA NA 1293 302 1381 NA NA NA 825 280 1473 NA NA NA
1707084000.0 11634.1 NA 271 293 0 NA NA NA 364 423 0 NA NA NA 389 641 413 NA NA NA 279 597 526 NA NA
1707084000.0 11650.911 154 257 502 0 181 NA 226 338 718 0 273 NA 1669 1211 2231 887 779 NA 1040 811 2182 1012 687 NA
1707084000.0 119.0 166 179 343 NA NA NA 280 258 491 NA NA NA 1127 316 1456 NA NA NA 860 482 2040 NA NA NA
1707084000.0 120.0 136 177 345 NA NA NA 227 250 502 NA NA NA 461 307 1362 NA NA NA 527 551 1760 NA NA NA
1707084000.0 123.1 410 NA NA NA NA NA 548 NA NA NA NA NA 839 NA NA NA NA NA 940 NA NA NA NA NA
1707084000.0 123.2 411 NA NA NA NA NA 542 NA NA NA NA NA 893 NA NA NA NA NA 976 NA NA NA NA NA
1707084000.0 123.3 321 NA NA NA NA NA 435 NA NA NA NA NA 669 NA NA NA NA NA 656 NA NA NA NA NA
1707084000.0 124.1 387 NA NA NA NA NA 512 NA NA NA NA NA 686 NA NA NA NA NA 775 NA NA NA NA NA
1707084000.0 124.2 397 NA NA NA NA NA 546 NA NA NA NA NA 735 NA NA NA NA NA 710 NA NA NA NA NA
