Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1706738400.0 12434.502 NA 505 215 0 NA NA 1585 1243 0 NA NA 1642 285 122 NA NA 1048 328 149 NA
1706738400.0 12434.503 NA 502 224 0 NA NA 1578 1271 0 NA NA 1659 286 128 NA NA 1004 316 154 NA
1706738400.0 12434.504 NA 496 174 NA NA NA 1587 1205 NA NA NA 1637 148 NA NA NA 1042 190 NA NA
1706738400.0 12434.506 NA 510 216 0 NA NA 1596 1250 0 NA NA 1714 284 131 NA NA 1056 311 160 NA
1706738400.0 12434.507 NA 491 226 0 NA NA 1584 1257 0 NA NA 1593 287 137 NA NA 968 319 165 NA
1706738400.0 12434.508 NA 494 176 NA NA NA 1587 1207 NA NA NA 1765 148 NA NA NA 1032 195 NA NA
1706738400.0 12434.512 NA 495 194 0 NA NA 1593 1188 0 NA NA 1845 265 84 NA NA 1105 291 112 NA
1706738400.0 12434.513 NA 507 197 0 NA NA 1607 1190 0 NA NA 1817 270 85 NA NA 1099 295 110 NA
1706738400.0 12434.514 NA 512 160 NA NA NA 1633 1141 NA NA NA 1728 141 NA NA NA 1075 211 NA NA
1706738400.0 12434.522 NA 504 191 0 NA NA 1592 1151 0 NA NA 1723 270 89 NA NA 1071 286 115 NA
1706738400.0 12434.523 NA 511 193 0 NA NA 1614 1153 0 NA NA 1560 271 85 NA NA 950 301 117 NA
1706738400.0 12434.524 NA 511 156 NA NA NA 1594 1103 NA NA NA 1591 138 NA NA NA 991 230 NA NA
1706738400.0 12434.582 NA 497 263 0 NA NA 1589 1343 0 NA NA 1603 343 142 NA NA 1019 343 175 NA
1706738400.0 12434.583 NA 504 278 0 NA NA 1621 1357 0 NA NA 1650 353 147 NA NA 1026 340 197 NA
1706738400.0 12434.586 NA 507 266 0 NA NA 1591 1343 0 NA NA 1875 343 139 NA NA 1102 329 182 NA
1706738400.0 12434.587 NA 512 277 0 NA NA 1628 1352 0 NA NA 1629 355 147 NA NA 1056 350 176 NA
1706738400.0 12434.592 NA 507 636 0 NA NA 1605 1764 0 NA NA 1661 1319 302 NA NA 1027 1188 386 NA
1706738400.0 12434.593 NA 506 649 0 NA NA 1563 1810 0 NA NA 1735 1320 304 NA NA 1067 1187 332 NA
1706738400.0 12434.596 NA 508 637 0 NA NA 1603 1759 0 NA NA 1831 1343 299 NA NA 1129 1166 374 NA
1706738400.0 12434.597 NA 509 648 0 NA NA 1627 1796 0 NA NA 1645 1328 307 NA NA 1039 1182 343 NA
1706738400.0 12450.502 NA 486 212 0 NA NA 1559 1241 0 NA NA 1669 275 119 NA NA 1045 307 165 NA
1706738400.0 12450.503 NA 479 223 0 NA NA 1557 1258 0 NA NA 1662 278 124 NA NA 1019 310 157 NA
1706738400.0 12450.504 NA 484 174 NA NA NA 1563 1213 NA NA NA 1530 140 NA NA NA 941 227 NA NA
1706738400.0 12450.506 NA 471 215 0 NA NA 1549 1254 0 NA NA 1771 276 125 NA NA 1066 303 148 NA
1706738400.0 12450.507 NA 494 223 0 NA NA 1625 1255 0 NA NA 1784 277 130 NA NA 1076 312 155 NA
1706738400.0 12450.508 NA 496 173 NA NA NA 1596 1203 NA NA NA 1645 140 NA NA NA 990 231 NA NA
1706738400.0 12461.502 NA 462 208 0 NA NA 1502 1200 0 NA NA 1617 258 95 NA NA 1037 290 118 NA
1706738400.0 141.008506 NA 453 225 0 NA NA 1600 1281 0 NA NA 1994 491 79 NA NA 1142 365 103 NA
1706738400.0 141.008507 NA 455 238 0 NA NA 1583 1302 0 NA NA 1972 722 86 NA NA 1118 410 116 NA
1706738400.0 141.008508 NA 448 177 NA NA NA 1586 1228 NA NA NA 1972 157 NA NA NA 1091 213 NA NA
1706738400.0 141.008512 NA 451 200 0 NA NA 1570 1180 0 NA NA 2005 305 85 NA NA 1091 306 131 NA
1706738400.0 141.008513 NA 452 202 0 NA NA 1566 1189 0 NA NA 1992 353 91 NA NA 1091 316 139 NA
1706738400.0 141.008514 NA 450 161 NA NA NA 1581 1145 NA NA NA 1936 149 NA NA NA 1169 190 NA NA
1706738400.0 141.008522 NA 451 202 0 NA NA 1588 1167 0 NA NA 1985 315 84 NA NA 1168 292 137 NA
1706738400.0 141.008523 NA 460 202 0 NA NA 1574 1171 0 NA NA 1913 358 88 NA NA 1056 304 115 NA
1706738400.0 141.008524 NA 457 160 NA NA NA 1589 1107 NA NA NA 2004 149 NA NA NA 1096 212 NA NA
1706738400.0 141.008583 NA 253 0 NA NA NA 1340 0 NA NA NA 776 168 NA NA NA 491 207 NA NA
1706738400.0 160.03502 172 261 145 527 188 253 346 192 1719 263 1988 224 82 816 198 2328 217 101 644 221
1706738400.0 24861.502 NA 604 320 0 NA NA 1659 1609 0 NA NA 1044 416 87 NA NA 1001 392 119 NA
