Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706479200.0 1.0 156 168 265 NA NA NA NA NA NA 274 244 427 NA NA NA NA NA NA 1194 315 921 NA NA NA NA NA NA 1325 854 1362 NA NA NA NA NA NA
1706479200.0 10.0 NA 213 389 0 NA NA NA NA NA NA 313 547 0 NA NA NA NA NA NA 1267 2943 413 NA NA NA NA NA NA 605 2363 501 NA NA NA NA NA
1706479200.0 1000.0 NA 333 245 0 109 NA NA NA NA NA 507 325 0 178 NA NA NA NA NA 2371 749 304 264 NA NA NA NA NA 2357 940 462 374 NA NA NA NA
1706479200.0 10001.0 NA 294 470 0 154 173 NA NA NA NA 400 660 0 220 255 NA NA NA NA 1431 1506 379 315 489 NA NA NA NA 590 2325 427 411 553 NA NA NA
1706479200.0 10002.0 NA 296 465 0 153 174 NA NA NA NA 401 653 0 219 259 NA NA NA NA 1449 1498 372 304 492 NA NA NA NA 655 1844 403 363 577 NA NA NA
1706479200.0 10003.0 NA 295 476 0 154 175 NA NA NA NA 390 666 0 221 256 NA NA NA NA 1440 1502 387 320 510 NA NA NA NA 646 1798 478 436 645 NA NA NA
1706479200.0 10004.0 NA 295 472 0 154 172 NA NA NA NA 391 660 0 224 262 NA NA NA NA 1437 1420 380 332 492 NA NA NA NA 593 1428 488 646 649 NA NA NA
1706479200.0 10005.0 NA 297 472 0 153 174 NA NA NA NA 388 650 0 222 264 NA NA NA NA 1429 1427 377 304 481 NA NA NA NA 570 1401 423 362 530 NA NA NA
1706479200.0 10006.0 NA 296 466 0 152 169 NA NA NA NA 398 648 0 226 251 NA NA NA NA 1431 1457 370 303 467 NA NA NA NA 569 1795 406 347 579 NA NA NA
1706479200.0 10007.0 NA 300 474 0 183 171 NA NA NA NA 394 638 0 292 255 NA NA NA NA 1453 1491 390 328 494 NA NA NA NA 792 1567 518 727 832 NA NA NA
1706479200.0 10008.0 NA 298 430 0 185 174 NA NA NA NA 392 677 0 291 264 NA NA NA NA 1454 1512 400 324 483 NA NA NA NA 716 1918 525 471 630 NA NA NA
1706479200.0 10009.0 NA 259 436 0 184 173 NA NA NA NA 393 678 0 292 259 NA NA NA NA 1446 1497 411 328 501 NA NA NA NA 578 1556 796 430 582 NA NA NA
1706479200.0 1001.0 NA 313 185 0 0 0 0 0 0 NA 469 269 0 0 0 0 0 0 NA 2034 435 89 72 97 208 125 205 NA 1960 736 280 278 224 257 206 254
1706479200.0 1001.2 NA 526 236 0 0 0 0 0 NA NA 785 377 0 0 0 0 0 NA NA 9365 791 102 105 125 135 134 NA NA 3268 944 147 155 268 221 182 NA
1706479200.0 1001.3 NA 508 237 0 NA NA NA NA NA NA 747 370 0 NA NA NA NA NA NA 7340 787 253 NA NA NA NA NA NA 2700 796 388 NA NA NA NA NA
1706479200.0 1002.0 NA 347 138 NA NA NA NA NA NA NA 501 177 NA NA NA NA NA NA NA 2393 199 NA NA NA NA NA NA NA 1791 188 NA NA NA NA NA NA
1706479200.0 1002.3 NA 492 227 0 NA NA NA NA NA NA 705 347 0 NA NA NA NA NA NA 5625 596 259 NA NA NA NA NA NA 2332 550 433 NA NA NA NA NA
1706479200.0 1002.4 NA 522 0 NA NA NA NA NA NA NA 741 0 NA NA NA NA NA NA NA 8432 383 NA NA NA NA NA NA NA 2993 446 NA NA NA NA NA NA
1706479200.0 10023.0 NA 295 461 0 152 170 NA NA NA NA 382 665 0 221 254 NA NA NA NA 1437 1477 386 301 469 NA NA NA NA 631 1833 426 360 583 NA NA NA
1706479200.0 10024.0 NA 307 451 0 186 176 NA NA NA NA 421 684 0 293 257 NA NA NA NA 1482 1705 435 337 513 NA NA NA NA 748 2060 638 770 601 NA NA NA
1706479200.0 10024.1 NA 306 300 0 NA NA NA NA NA NA 400 425 0 NA NA NA NA NA NA 1477 664 406 NA NA NA NA NA NA 667 829 453 NA NA NA NA NA
1706479200.0 10024.2 NA 308 482 0 NA NA NA NA NA NA 396 675 0 NA NA NA NA NA NA 1475 1640 404 NA NA NA NA NA NA 586 1753 496 NA NA NA NA NA
1706479200.0 10024.3 NA 307 277 0 NA NA NA NA NA NA 388 404 0 NA NA NA NA NA NA 1471 631 341 NA NA NA NA NA NA 670 786 382 NA NA NA NA NA
1706479200.0 10024.4 NA 308 480 0 NA NA NA NA NA NA 390 682 0 NA NA NA NA NA NA 1472 1597 400 NA NA NA NA NA NA 602 1728 509 NA NA NA NA NA
1706479200.0 10025.0 NA 297 478 0 154 174 NA NA NA NA 394 682 0 227 270 NA NA NA NA 1453 1520 421 331 509 NA NA NA NA 638 1700 544 553 735 NA NA NA
1706479200.0 10026.0 NA 290 494 0 158 177 NA NA NA NA 390 670 0 230 256 NA NA NA NA 1500 1981 442 324 515 NA NA NA NA 1074 1907 517 458 635 NA NA NA
1706479200.0 1003.0 NA 388 0 NA NA NA NA NA NA NA 654 0 NA NA NA NA NA NA NA 2360 279 NA NA NA NA NA NA NA 1450 415 NA NA NA NA NA NA
1706479200.0 1004.0 NA 269 155 0 0 0 0 NA NA NA 409 222 0 0 0 0 NA NA NA 816 218 65 92 241 251 NA NA NA 954 310 114 154 421 340 NA NA
1706479200.0 10042.0 NA 271 440 0 186 173 NA NA NA NA 389 647 0 295 268 NA NA NA NA 1463 1524 441 329 487 NA NA NA NA 626 1564 892 427 555 NA NA NA
1706479200.0 1005.0 NA 213 163 0 0 NA NA NA NA NA 381 263 0 0 NA NA NA NA NA 473 217 97 109 NA NA NA NA NA 497 295 270 285 NA NA NA NA
1706479200.0 10059.0 NA 308 454 0 157 177 NA NA NA NA 403 709 0 231 264 NA NA NA NA 1495 2270 451 317 515 NA NA NA NA 600 1726 1094 389 566 NA NA NA
1706479200.0 10071.0 NA 303 478 0 156 177 NA NA NA NA 396 665 0 228 256 NA NA NA NA 1462 1689 418 307 512 NA NA NA NA 575 1880 452 354 650 NA NA NA
1706479200.0 101.0 178 NA NA NA NA NA NA NA NA 300 NA NA NA NA NA NA NA NA 751 NA NA NA NA NA NA NA NA 726 NA NA NA NA NA NA NA NA
1706479200.0 1010.0 NA 84 106 0 NA NA NA NA NA NA 161 172 0 NA NA NA NA NA NA 132 167 159 NA NA NA NA NA NA 269 223 226 NA NA NA NA NA
1706479200.0 102.0 177 NA NA NA NA NA NA NA NA 279 NA NA NA NA NA NA NA NA 688 NA NA NA NA NA NA NA NA 663 NA NA NA NA NA NA NA NA
1706479200.0 1020.0 NA 96 85 0 89 NA NA NA NA NA 178 162 0 176 NA NA NA NA NA 170 121 63 169 NA NA NA NA NA 315 168 92 325 NA NA NA NA
1706479200.0 10224.0 NA 482 731 0 177 NA NA NA NA NA 626 988 0 260 NA NA NA NA NA 2724 2995 462 518 NA NA NA NA NA 1367 2283 644 646 NA NA NA NA
1706479200.0 10224.15 NA 496 720 0 193 NA NA NA NA NA 659 947 0 284 NA NA NA NA NA 2797 3143 460 597 NA NA NA NA NA 1600 2462 677 666 NA NA NA NA
1706479200.0 10225.0 NA 479 717 0 175 NA NA NA NA NA 649 1062 0 261 NA NA NA NA NA 2722 2783 441 500 NA NA NA NA NA 1376 2612 564 640 NA NA NA NA
1706479200.0 103.0 128 0 0 NA NA NA NA NA NA 208 0 0 NA NA NA NA NA NA 530 127 1240 NA NA NA NA NA NA 593 334 1648 NA NA NA NA NA NA
1706479200.0 1030.0 NA 266 101 0 0 NA NA NA NA NA 394 164 0 0 NA NA NA NA NA 4614 165 63 60 NA NA NA NA NA 1617 228 115 83 NA NA NA NA
1706479200.0 1040.0 NA 486 88 0 NA NA NA NA NA NA 709 149 0 NA NA NA NA NA NA 7946 133 98 NA NA NA NA NA NA 2761 196 122 NA NA NA NA NA
1706479200.0 1040.1 NA 128 87 0 NA NA NA NA NA NA 202 148 0 NA NA NA NA NA NA 357 128 100 NA NA NA NA NA NA 562 194 129 NA NA NA NA NA
1706479200.0 1041.0 NA 125 93 0 NA NA NA NA NA NA 200 155 0 NA NA NA NA NA NA 235 145 69 NA NA NA NA NA NA 328 246 106 NA NA NA NA NA
1706479200.0 1042.0 NA 125 90 0 NA NA NA NA NA NA 203 151 0 NA NA NA NA NA NA 375 144 78 NA NA NA NA NA NA 669 183 218 NA NA NA NA NA
1706479200.0 10424.0 NA 260 479 0 NA NA NA NA NA NA 351 682 0 NA NA NA NA NA NA 361 1655 427 NA NA NA NA NA NA 794 2334 514 NA NA NA NA NA
1706479200.0 1043.0 NA 110 91 0 NA NA NA NA NA NA 183 161 0 NA NA NA NA NA NA 265 152 65 NA NA NA NA NA NA 284 269 99 NA NA NA NA NA
1706479200.0 1044.0 NA 111 109 0 NA NA NA NA NA NA 185 186 0 NA NA NA NA NA NA 263 200 74 NA NA NA NA NA NA 280 371 112 NA NA NA NA NA
1706479200.0 1045.0 NA 110 107 0 NA NA NA NA NA NA 185 174 0 NA NA NA NA NA NA 259 181 67 NA NA NA NA NA NA 273 226 123 NA NA NA NA NA
1706479200.0 105.0 163 179 88 NA NA NA NA NA NA 276 255 147 NA NA NA NA NA NA 1335 305 143 NA NA NA NA NA NA 1035 334 289 NA NA NA NA NA NA
1706479200.0 1052.0 NA 213 157 0 NA NA NA NA NA NA 381 257 0 NA NA NA NA NA NA 494 233 66 NA NA NA NA NA NA 586 374 97 NA NA NA NA NA
1706479200.0 1052.1 NA 97 0 NA NA NA NA NA NA NA 249 0 NA NA NA NA NA NA NA 202 68 NA NA NA NA NA NA NA 256 126 NA NA NA NA NA NA
1706479200.0 106.0 126 0 0 NA NA NA NA NA NA 206 0 0 NA NA NA NA NA NA 532 119 1223 NA NA NA NA NA NA 642 156 1696 NA NA NA NA NA NA
1706479200.0 1060.1 NA 159 NA NA NA NA NA NA NA NA 256 NA NA NA NA NA NA NA NA 545 NA NA NA NA NA NA NA NA 469 NA NA NA NA NA NA NA
1706479200.0 1060.2 NA 151 NA NA NA NA NA NA NA NA 268 NA NA NA NA NA NA NA NA 487 NA NA NA NA NA NA NA NA 505 NA NA NA NA NA NA NA
1706479200.0 107.0 166 183 359 NA NA NA NA NA NA 278 253 515 NA NA NA NA NA NA 1464 308 1495 NA NA NA NA NA NA 904 341 2134 NA NA NA NA NA NA
1706479200.0 108.0 168 178 354 NA NA NA NA NA NA 280 259 489 NA NA NA NA NA NA 1805 323 1527 NA NA NA NA NA NA 1066 525 1926 NA NA NA NA NA NA
1706479200.0 10801.0 NA 286 468 0 154 176 NA NA NA NA 380 670 0 221 262 NA NA NA NA 1407 1520 394 315 490 NA NA NA NA 684 2417 511 397 538 NA NA NA
1706479200.0 10802.0 NA 287 468 0 154 177 NA NA NA NA 378 662 0 226 261 NA NA NA NA 1403 1496 394 316 542 NA NA NA NA 594 2073 443 417 882 NA NA NA
1706479200.0 10803.0 NA 282 428 0 153 177 NA NA NA NA 401 680 0 224 261 NA NA NA NA 1422 1562 405 326 532 NA NA NA NA 708 2511 636 517 768 NA NA NA
1706479200.0 10804.0 NA 288 463 0 152 177 NA NA NA NA 384 654 0 226 261 NA NA NA NA 1409 1459 386 338 502 NA NA NA NA 757 1562 454 696 582 NA NA NA
1706479200.0 10804.31 NA 278 454 0 152 174 NA NA NA NA 380 672 0 223 262 NA NA NA NA 1414 1549 381 341 542 NA NA NA NA 626 2469 420 862 974 NA NA NA
1706479200.0 10805.0 NA 285 453 0 153 174 NA NA NA NA 383 665 0 226 260 NA NA NA NA 1421 1576 383 323 522 NA NA NA NA 899 2507 456 441 781 NA NA NA
