Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1707084000.0 1.0 152 178 287 NA NA NA NA 279 249 406 NA NA NA NA 1242 308 899 NA NA NA NA 946 444 1151 NA NA NA NA
1707084000.0 10009.0 NA 299 477 0 186 176 NA NA 390 670 0 289 258 NA NA 1441 1593 392 331 502 NA NA 724 2572 480 495 659 NA
1707084000.0 10025.0 NA 299 481 0 155 174 NA NA 399 666 0 225 266 NA NA 1455 1522 411 327 529 NA NA 688 1685 472 538 794 NA
1707084000.0 10026.0 NA 309 499 0 160 180 NA NA 399 686 0 236 270 NA NA 1525 1899 457 349 541 NA NA 884 2126 619 588 1071 NA
1707084000.0 1003.0 NA 389 0 NA NA NA NA NA 648 0 NA NA NA NA NA 2393 260 NA NA NA NA NA 1590 309 NA NA NA NA
1707084000.0 1004.0 NA 228 157 0 0 0 0 NA 405 223 0 0 0 0 NA 838 225 69 93 204 200 NA 1814 407 231 281 263 247
1707084000.0 1005.0 NA 215 165 0 0 NA NA NA 358 266 0 0 NA NA NA 488 225 88 105 NA NA NA 560 374 143 189 NA NA
1707084000.0 101.0 179 NA NA NA NA NA NA 304 NA NA NA NA NA NA 707 NA NA NA NA NA NA 700 NA NA NA NA NA NA
1707084000.0 1010.0 NA 92 106 0 NA NA NA NA 164 170 0 NA NA NA NA 139 171 157 NA NA NA NA 311 279 196 NA NA NA
1707084000.0 102.0 177 NA NA NA NA NA NA 284 NA NA NA NA NA NA 662 NA NA NA NA NA NA 688 NA NA NA NA NA NA
1707084000.0 1020.0 NA 100 88 0 97 NA NA NA 180 166 0 177 NA NA NA 170 128 66 165 NA NA NA 310 231 134 244 NA NA
1707084000.0 10225.0 NA 479 696 0 177 NA NA NA 629 974 0 266 NA NA NA 2730 2795 446 509 NA NA NA 1480 2847 523 651 NA NA
1707084000.0 103.0 128 0 0 NA NA NA NA 211 0 0 NA NA NA NA 540 144 1226 NA NA NA NA 816 679 1654 NA NA NA NA
1707084000.0 10424.0 NA 259 481 0 NA NA NA NA 350 682 0 NA NA NA NA 360 1645 429 NA NA NA NA 776 2337 513 NA NA NA
1707084000.0 1043.0 NA 114 95 0 NA NA NA NA 189 164 0 NA NA NA NA 267 144 65 NA NA NA NA 424 222 123 NA NA NA
1707084000.0 1052.0 NA 216 167 0 NA NA NA NA 366 265 0 NA NA NA NA 499 215 64 NA NA NA NA 625 328 102 NA NA NA
1707084000.0 106.0 129 0 0 NA NA NA NA 211 0 0 NA NA NA NA 542 125 1222 NA NA NA NA 962 196 1596 NA NA NA NA
1707084000.0 1060.1 NA 171 NA NA NA NA NA NA 258 NA NA NA NA NA NA 540 NA NA NA NA NA NA 549 NA NA NA NA NA
1707084000.0 1060.2 NA 171 NA NA NA NA NA NA 265 NA NA NA NA NA NA 469 NA NA NA NA NA NA 470 NA NA NA NA NA
1707084000.0 10803.0 NA 292 478 0 157 179 NA NA 388 669 0 227 271 NA NA 1395 1510 392 318 537 NA NA 642 1726 487 457 783 NA
1707084000.0 10824.0 NA 275 489 0 187 183 NA NA 403 704 0 312 268 NA NA 1437 1685 452 336 526 NA NA 722 2329 755 532 678 NA
1707084000.0 10859.0 NA 309 500 0 159 182 NA NA 405 700 0 236 274 NA NA 1465 2331 459 344 532 NA NA 762 2073 613 658 684 NA
1707084000.0 109.0 174 186 368 NA NA NA NA 284 258 503 NA NA NA NA 1913 322 1488 NA NA NA NA 1037 309 1565 NA NA NA NA
1707084000.0 110.0 134 180 354 NA NA NA NA 214 252 492 NA NA NA NA 562 299 1430 NA NA NA NA 859 410 1887 NA NA NA NA
1707084000.0 11025.0 NA 566 804 0 181 NA NA NA 735 1168 0 270 NA NA NA 3592 3682 453 523 NA NA NA 1765 2982 585 710 NA NA
1707084000.0 111.0 164 182 353 NA NA NA NA 272 256 494 NA NA NA NA 1007 278 1393 NA NA NA NA 1135 500 1829 NA NA NA NA
1707084000.0 11224.6 NA 262 484 0 NA NA NA NA 344 664 0 NA NA NA NA 373 1685 447 NA NA NA NA 437 2108 625 NA NA NA
1707084000.0 113.0 169 185 350 NA NA NA NA 283 263 486 NA NA NA NA 1339 317 1443 NA NA NA NA 931 641 1880 NA NA NA NA
1707084000.0 11634.1 NA 275 296 0 NA NA NA NA 367 415 0 NA NA NA NA 403 661 416 NA NA NA NA 345 768 577 NA NA NA
1707084000.0 11650.914 149 261 491 0 174 NA NA 228 342 705 0 268 NA NA 1295 385 1702 438 346 NA NA 969 422 2258 565 639 NA NA
1707084000.0 11834.0 NA 631 999 0 NA NA NA NA 893 1502 0 NA NA NA NA 3399 6060 470 NA NA NA NA 1676 3250 525 NA NA NA
1707084000.0 11834.19 NA 639 994 0 NA NA NA NA 895 1294 0 NA NA NA NA 3350 5956 470 NA NA NA NA 1657 2914 602 NA NA NA
1707084000.0 11846.0 NA 645 1010 0 NA NA NA NA 827 1354 0 NA NA NA NA 3541 5928 477 NA NA NA NA 1872 3425 673 NA NA NA
1707084000.0 120.0 136 180 350 NA NA NA NA 222 258 497 NA NA NA NA 511 293 1367 NA NA NA NA 614 614 1893 NA NA NA NA
1707084000.0 12034.0 NA 274 495 0 NA NA NA NA 381 750 0 NA NA NA NA 390 1771 456 NA NA NA NA 433 2159 623 NA NA NA
1707084000.0 122.0 129 0 0 NA NA NA NA 212 0 0 NA NA NA NA 529 136 1233 NA NA NA NA 708 255 1692 NA NA NA NA
1707084000.0 123.1 413 NA NA NA NA NA NA 542 NA NA NA NA NA NA 839 NA NA NA NA NA NA 1042 NA NA NA NA NA NA
1707084000.0 123.2 399 NA NA NA NA NA NA 545 NA NA NA NA NA NA 910 NA NA NA NA NA NA 958 NA NA NA NA NA NA
1707084000.0 123.3 328 NA NA NA NA NA NA 448 NA NA NA NA NA NA 713 NA NA NA NA NA NA 1004 NA NA NA NA NA NA
1707084000.0 124.1 384 NA NA NA NA NA NA 516 NA NA NA NA NA NA 717 NA NA NA NA NA NA 871 NA NA NA NA NA NA
1707084000.0 124.2 405 NA NA NA NA NA NA 554 NA NA NA NA NA NA 774 NA NA NA NA NA NA 985 NA NA NA NA NA NA
