Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706652000.0 1.0 161 180 294 NA NA NA NA NA NA 277 253 417 NA NA NA NA NA NA 1209 314 942 NA NA NA NA NA NA 1055 525 1436 NA NA NA NA NA NA
1706652000.0 10.0 NA 218 396 0 NA NA NA NA NA NA 313 550 0 NA NA NA NA NA NA 1291 2880 442 NA NA NA NA NA NA 582 2123 688 NA NA NA NA NA
1706652000.0 1000.0 NA 375 251 0 116 NA NA NA NA NA 530 335 0 182 NA NA NA NA NA 2185 718 290 243 NA NA NA NA NA 1904 967 409 332 NA NA NA NA
1706652000.0 10001.0 NA 299 478 0 157 176 NA NA NA NA 393 687 0 233 268 NA NA NA NA 1447 1474 389 318 491 NA NA NA NA 656 1579 542 614 634 NA NA NA
1706652000.0 10002.0 NA 297 483 0 156 177 NA NA NA NA 404 687 0 227 264 NA NA NA NA 1446 1493 402 320 499 NA NA NA NA 668 1972 590 557 765 NA NA NA
1706652000.0 10003.0 NA 300 482 0 157 179 NA NA NA NA 420 670 0 232 276 NA NA NA NA 1442 1549 390 313 508 NA NA NA NA 690 2326 496 490 597 NA NA NA
1706652000.0 10004.0 NA 295 477 0 157 177 NA NA NA NA 408 684 0 226 269 NA NA NA NA 1449 1485 386 319 484 NA NA NA NA 835 1919 545 564 620 NA NA NA
1706652000.0 10005.0 NA 293 479 0 157 176 NA NA NA NA 392 659 0 229 263 NA NA NA NA 1446 1494 390 316 487 NA NA NA NA 953 2066 556 535 620 NA NA NA
1706652000.0 10006.0 NA 297 476 0 156 170 NA NA NA NA 394 677 0 223 257 NA NA NA NA 1445 1480 394 323 460 NA NA NA NA 709 2408 616 577 678 NA NA NA
1706652000.0 10007.0 NA 300 479 0 187 175 NA NA NA NA 390 684 0 292 261 NA NA NA NA 1467 1509 395 323 491 NA NA NA NA 731 1759 464 486 809 NA NA NA
