Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1707001200.0 1.0 164 180 293 NA NA NA NA 283 253 417 NA NA NA NA 1316 329 938 NA NA NA NA 1186 498 1269 NA NA NA NA
1707001200.0 10001.0 NA 298 479 0 156 178 NA NA 401 668 0 225 264 NA NA 1490 1535 401 340 502 NA NA 821 2047 555 664 624 NA
1707001200.0 10002.0 NA 296 480 0 157 180 NA NA 393 683 0 229 261 NA NA 1509 1572 410 332 509 NA NA 996 2222 586 607 702 NA
1707001200.0 10004.0 NA 295 477 0 156 176 NA NA 417 655 0 229 266 NA NA 1486 1515 407 330 502 NA NA 1004 1916 636 669 615 NA
1707001200.0 10006.0 NA 296 476 0 156 172 NA NA 414 677 0 232 256 NA NA 1496 1516 405 334 495 NA NA 964 2333 512 516 713 NA
1707001200.0 10008.0 NA 301 480 0 189 176 NA NA 422 665 0 297 263 NA NA 1498 1573 413 355 499 NA NA 786 2135 546 841 616 NA
1707001200.0 1002.0 NA 365 144 NA NA NA NA NA 507 191 NA NA NA NA NA 2490 196 NA NA NA NA NA 2534 209 NA NA NA NA
1707001200.0 10023.0 NA 299 478 0 156 172 NA NA 418 663 0 232 261 NA NA 1488 1519 437 350 495 NA NA 848 1858 780 961 831 NA
1707001200.0 10024.0 NA 309 498 0 188 181 NA NA 402 680 0 295 264 NA NA 1521 1737 445 346 523 NA NA 923 2000 553 538 629 NA
1707001200.0 1003.0 NA 389 0 NA NA NA NA NA 660 0 NA NA NA NA NA 2488 280 NA NA NA NA NA 2033 549 NA NA NA NA
1707001200.0 1004.0 NA 282 157 0 0 0 0 NA 418 223 0 0 0 0 NA 868 236 74 99 210 217 NA 1227 390 155 166 239 296
1707001200.0 10042.0 NA 304 489 0 189 177 NA NA 431 671 0 290 268 NA NA 1489 1659 451 348 517 NA NA 823 2386 670 563 768 NA
1707001200.0 1005.0 NA 215 166 0 0 NA NA NA 369 263 0 0 NA NA NA 529 234 94 111 NA NA NA 689 329 181 276 NA NA
1707001200.0 10071.0 NA 307 491 0 160 179 NA NA 426 677 0 230 265 NA NA 1511 1696 450 331 539 NA NA 1147 2141 558 482 782 NA
1707001200.0 101.0 183 NA NA NA NA NA NA 303 NA NA NA NA NA NA 716 NA NA NA NA NA NA 688 NA NA NA NA NA NA
1707001200.0 1010.0 NA 87 108 0 NA NA NA NA 162 169 0 NA NA NA NA 165 177 160 NA NA NA NA 382 266 211 NA NA NA
1707001200.0 102.0 184 NA NA NA NA NA NA 296 NA NA NA NA NA NA 659 NA NA NA NA NA NA 634 NA NA NA NA NA NA
1707001200.0 1020.0 NA 97 87 0 97 NA NA NA 179 162 0 175 NA NA NA 202 145 77 172 NA NA NA 691 323 276 261 NA NA
1707001200.0 10224.15 NA 508 729 0 198 NA NA NA 626 1045 0 287 NA NA NA 2850 3385 492 621 NA NA NA 1366 2916 605 642 NA NA
1707001200.0 1040.1 NA 132 89 0 NA NA NA NA 209 152 0 NA NA NA NA 368 134 106 NA NA NA NA 562 183 136 NA NA NA
1707001200.0 1041.0 NA 129 95 0 NA NA NA NA 204 158 0 NA NA NA NA 271 142 74 NA NA NA NA 442 191 135 NA NA NA
1707001200.0 1042.0 NA 129 92 0 NA NA NA NA 207 152 0 NA NA NA NA 416 155 72 NA NA NA NA 670 268 107 NA NA NA
1707001200.0 1043.0 NA 114 95 0 NA NA NA NA 188 162 0 NA NA NA NA 278 156 67 NA NA NA NA 312 253 95 NA NA NA
1707001200.0 1044.0 NA 116 118 0 NA NA NA NA 190 189 0 NA NA NA NA 285 193 77 NA NA NA NA 433 268 136 NA NA NA
1707001200.0 1045.0 NA 114 111 0 NA NA NA NA 192 182 0 NA NA NA NA 284 192 70 NA NA NA NA 443 232 111 NA NA NA
1707001200.0 105.0 165 182 91 NA NA NA NA 281 254 149 NA NA NA NA 1172 304 136 NA NA NA NA 878 362 186 NA NA NA NA
1707001200.0 1052.0 NA 207 165 0 NA NA NA NA 382 265 0 NA NA NA NA 552 224 72 NA NA NA NA 805 327 122 NA NA NA
