Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706652000.0 1.0 155 170 281 NA NA NA NA NA NA 271 239 394 NA NA NA NA NA NA 1352 305 897 NA NA NA NA NA NA 1304 472 1257 NA NA NA NA NA NA
1706652000.0 10.0 NA 208 380 0 NA NA NA NA NA NA 304 518 0 NA NA NA NA NA NA 1254 2619 358 NA NA NA NA NA NA 576 1666 404 NA NA NA NA NA
1706652000.0 1000.0 NA 337 244 0 107 NA NA NA NA NA 509 323 0 169 NA NA NA NA NA 2155 684 275 227 NA NA NA NA NA 2340 960 340 258 NA NA NA NA
1706652000.0 10001.0 NA 288 465 0 147 167 NA NA NA NA 379 657 0 212 247 NA NA NA NA 1446 1424 373 287 441 NA NA NA NA 817 1527 466 355 514 NA NA NA
1706652000.0 10002.0 NA 284 468 0 147 166 NA NA NA NA 381 653 0 207 244 NA NA NA NA 1448 1408 388 289 453 NA NA NA NA 749 1616 514 454 728 NA NA NA
1706652000.0 10003.0 NA 289 471 0 148 167 NA NA NA NA 372 669 0 218 250 NA NA NA NA 1439 1458 382 285 451 NA NA NA NA 684 1601 474 432 494 NA NA NA
1706652000.0 10004.0 NA 287 464 0 147 165 NA NA NA NA 383 643 0 214 246 NA NA NA NA 1481 1458 390 296 462 NA NA NA NA 1326 2346 525 528 665 NA NA NA
1706652000.0 10005.0 NA 289 467 0 147 166 NA NA NA NA 375 656 0 213 244 NA NA NA NA 1430 1426 379 290 445 NA NA NA NA 678 1773 504 446 519 NA NA NA
1706652000.0 10006.0 NA 289 463 0 146 163 NA NA NA NA 381 646 0 213 243 NA NA NA NA 1434 1378 376 294 442 NA NA NA NA 644 1399 420 482 824 NA NA NA
1706652000.0 10007.0 NA 284 458 0 178 165 NA NA NA NA 384 646 0 290 245 NA NA NA NA 1476 1442 379 295 437 NA NA NA NA 1016 1800 462 500 638 NA NA NA
