Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1707084000.0 1.0 162 175 258 NA NA 276 246 422 NA NA 1300 303 904 NA NA 1175 367 1437 NA NA
1707084000.0 106.0 126 0 0 NA NA 207 0 0 NA NA 532 131 1199 NA NA 630 459 1612 NA NA
1707084000.0 11024.15 NA 540 819 0 196 NA 702 1064 0 282 NA 3550 3797 437 641 NA 1558 2868 540 881
1707084000.0 122.0 126 0 0 NA NA 208 0 0 NA NA 533 122 1202 NA NA 745 249 1678 NA NA
1707084000.0 128.0 128 177 350 NA NA 208 256 484 NA NA 502 298 1339 NA NA 655 627 1832 NA NA
1707084000.0 1301.0 160 213 314 NA NA 251 294 434 NA NA 1193 320 916 NA NA 918 456 1117 NA NA
1707084000.0 140.113 NA 0 0 0 NA NA 0 0 0 NA NA 146 1593 837 NA NA 257 2176 971 NA
1707084000.0 141.009 NA 0 0 0 NA NA 0 0 0 NA NA 961 4066 969 NA NA 1057 5010 1347 NA
1707084000.0 144.6 NA 375 NA NA NA NA 499 NA NA NA NA 2459 NA NA NA NA 3032 NA NA NA
1707084000.0 20834.0 NA 604 555 0 225 NA 774 715 0 321 NA 1665 2606 492 697 NA 1568 2834 583 774
1707084000.0 24834.21 NA 425 320 246 NA NA 630 450 340 NA NA 1346 928 811 NA NA 921 917 922 NA
1707084000.0 24834.9 NA 632 556 0 229 NA 793 758 0 325 NA 1670 2433 499 723 NA 1512 2586 625 849
1707084000.0 24900.0 NA 565 491 0 212 NA 753 677 0 296 NA 1463 1874 452 614 NA 1420 2455 606 845
1707084000.0 2500.011 NA 267 0 NA NA NA 398 0 NA NA NA 19675 147 NA NA NA 6707 452 NA NA
1707084000.0 250400.17 501 0 208 NA NA 679 0 298 NA NA 1039 237 611 NA NA 1389 377 657 NA NA
1707084000.0 250403.0 461 0 204 NA NA 629 0 294 NA NA 927 210 622 NA NA 1392 329 833 NA NA
1707084000.0 250403.18 538 0 206 NA NA 697 0 288 NA NA 1069 238 627 NA NA 1534 316 787 NA NA
1707084000.0 250406.0 460 0 204 NA NA 604 0 283 NA NA 794 206 572 NA NA 1075 292 659 NA NA
1707084000.0 250408.17 542 0 211 NA NA 709 0 285 NA NA 1135 244 642 NA NA 1551 325 822 NA NA
1707084000.0 537.0 60 0 NA NA NA 177 0 NA NA NA 3496 150 NA NA NA 6403 377 NA NA NA
