Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706479200.0 1.0 126 178 290 NA NA NA NA NA NA 278 252 414 NA NA NA NA NA NA 1259 311 913 NA NA NA NA NA NA 782 426 1278 NA NA NA NA NA NA
1706479200.0 10.0 NA 216 393 0 NA NA NA NA NA NA 319 544 0 NA NA NA NA NA NA 1225 2676 371 NA NA NA NA NA NA 508 1681 410 NA NA NA NA NA
1706479200.0 1000.0 NA 371 253 0 115 NA NA NA NA NA 516 348 0 177 NA NA NA NA NA 2178 703 306 247 NA NA NA NA NA 2046 754 570 334 NA NA NA NA
1706479200.0 10001.0 NA 293 459 0 151 176 NA NA NA NA 386 647 0 231 265 NA NA NA NA 1610 1676 408 351 586 NA NA NA NA 748 2083 495 579 742 NA NA NA
1706479200.0 10002.0 NA 297 461 0 156 175 NA NA NA NA 389 675 0 225 263 NA NA NA NA 1432 1478 376 302 496 NA NA NA NA 613 1493 416 346 593 NA NA NA
1706479200.0 10003.0 NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA
1706479200.0 10004.0 NA 295 474 0 156 175 NA NA NA NA 400 670 0 225 265 NA NA NA NA 1437 1473 382 332 493 NA NA NA NA 775 2070 467 761 575 NA NA NA
1706479200.0 10005.0 NA 296 459 0 155 173 NA NA NA NA 383 671 0 228 256 NA NA NA NA 1422 1473 379 306 515 NA NA NA NA 638 1484 437 356 1079 NA NA NA
1706479200.0 10006.0 NA 296 456 0 154 171 NA NA NA NA 388 649 0 224 257 NA NA NA NA 1487 1653 405 367 496 NA NA NA NA 611 2058 453 635 544 NA NA NA
1706479200.0 10007.0 NA 266 475 0 186 173 NA NA NA NA 395 659 0 297 262 NA NA NA NA 1455 1501 394 328 485 NA NA NA NA 907 1873 476 490 592 NA NA NA
