Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706565600.0 1.0 383 423 502 NA NA NA NA NA NA 930 1014 1688 NA NA NA NA NA NA 2261 601 3693 NA NA NA NA NA NA 2501 2899 6574 NA NA NA NA NA NA
1706565600.0 10.0 NA 465 904 0 NA NA NA NA NA NA 1078 1870 0 NA NA NA NA NA NA 2945 8010 473 NA NA NA NA NA NA 8340 3194 521 NA NA NA NA NA
1706565600.0 1000.0 NA 831 400 0 239 NA NA NA NA NA 1740 587 0 342 NA NA NA NA NA 7032 1102 386 279 NA NA NA NA NA 10638 6644 1049 477 NA NA NA NA
1706565600.0 10001.0 NA 546 1013 0 313 346 NA NA NA NA 1209 2397 0 435 485 NA NA NA NA 3104 2233 545 404 576 NA NA NA NA 3204 4544 1318 1022 2039 NA NA NA
1706565600.0 10002.0 NA 549 1014 0 312 200 NA NA NA NA 1167 2409 0 428 485 NA NA NA NA 3094 2203 556 429 580 NA NA NA NA 1960 4717 1945 1993 3749 NA NA NA
1706565600.0 10003.0 NA 413 822 0 156 354 NA NA NA NA 1187 2389 0 428 485 NA NA NA NA 3104 3640 559 407 587 NA NA NA NA 2512 9120 1777 1908 6071 NA NA NA
1706565600.0 10004.0 NA 545 1006 0 313 350 NA NA NA NA 1195 2389 0 430 480 NA NA NA NA 3092 2109 535 403 563 NA NA NA NA 2335 8505 886 919 2517 NA NA NA
1706565600.0 10005.0 NA 545 1001 0 315 353 NA NA NA NA 1173 2412 0 431 488 NA NA NA NA 3094 2290 529 396 550 NA NA NA NA 1970 3950 724 880 1011 NA NA NA
1706565600.0 10006.0 NA 549 997 0 313 340 NA NA NA NA 1197 2399 0 431 481 NA NA NA NA 3134 2073 568 418 550 NA NA NA NA 3045 5126 1421 1579 3113 NA NA NA
1706565600.0 10007.0 NA 365 1013 0 417 349 NA NA NA NA 1191 2398 0 1034 488 NA NA NA NA 6436 2597 542 475 555 NA NA NA NA 4000 3144 1273 2902 1269 NA NA NA
1706565600.0 10008.0 NA 555 1016 0 421 354 NA NA NA NA 1189 2393 0 1033 489 NA NA NA NA 3204 2509 574 448 546 NA NA NA NA 3657 7121 1770 3925 1284 NA NA NA
1706565600.0 10009.0 NA 559 1025 0 423 352 NA NA NA NA 1195 2390 0 1039 483 NA NA NA NA 3137 3380 556 436 531 NA NA NA NA 1100 2505 631 596 665 NA NA NA
1706565600.0 1001.0 NA 473 277 0 0 0 0 0 0 NA 1719 971 0 0 0 0 0 0 NA 6631 2861 140 84 123 251 162 294 NA 13523 7661 776 637 876 583 1121 1375
1706565600.0 1001.2 NA 1009 474 0 0 0 0 0 NA NA 2319 1074 0 0 0 0 0 NA NA 55504 2286 201 148 155 165 162 NA NA 22821 1508 326 1139 351 241 206 NA
1706565600.0 1001.3 NA 1015 371 0 NA NA NA NA NA NA 2284 1067 0 NA NA NA NA NA NA 40315 970 402 NA NA NA NA NA NA 13726 1439 694 NA NA NA NA NA
1706565600.0 1002.0 NA 821 231 NA NA NA NA NA NA NA 1640 300 NA NA NA NA NA NA NA 6747 229 NA NA NA NA NA NA NA 5853 544 NA NA NA NA NA NA
1706565600.0 1002.3 NA 1012 457 0 NA NA NA NA NA NA 2337 1054 0 NA NA NA NA NA NA 25694 1240 398 NA NA NA NA NA NA 8343 1865 522 NA NA NA NA NA
1706565600.0 1002.4 NA 708 0 NA NA NA NA NA NA NA 2330 0 NA NA NA NA NA NA NA 44650 503 NA NA NA NA NA NA NA 17862 538 NA NA NA NA NA NA
1706565600.0 10023.0 NA 551 981 0 310 329 NA NA NA NA 1199 2401 0 436 1063 NA NA NA NA 3162 2298 557 402 604 NA NA NA NA 3359 9272 1111 1688 8205 NA NA NA
1706565600.0 10024.0 NA 558 1043 0 267 356 NA NA NA NA 1207 2443 0 1037 497 NA NA NA NA 3266 3382 603 497 598 NA NA NA NA 3434 6274 820 8530 2301 NA NA NA
1706565600.0 10024.1 NA 569 642 0 NA NA NA NA NA NA 1223 1514 0 NA NA NA NA NA NA 3330 1304 513 NA NA NA NA NA NA 1512 868 549 NA NA NA NA NA
1706565600.0 10024.2 NA 574 1044 0 NA NA NA NA NA NA 1231 2408 0 NA NA NA NA NA NA 3207 3343 544 NA NA NA NA NA NA 1130 2757 586 NA NA NA NA NA
1706565600.0 10024.3 NA 567 620 0 NA NA NA NA NA NA 1225 1512 0 NA NA NA NA NA NA 3207 1348 430 NA NA NA NA NA NA 1110 968 495 NA NA NA NA NA
1706565600.0 10024.4 NA 572 1040 0 NA NA NA NA NA NA 1223 2419 0 NA NA NA NA NA NA 3168 3377 547 NA NA NA NA NA NA 1102 2804 607 NA NA NA NA NA
1706565600.0 10025.0 NA 541 1023 0 160 433 NA NA NA NA 1203 2408 0 437 1064 NA NA NA NA 3155 2237 597 408 588 NA NA NA NA 3428 4766 1910 2131 1607 NA NA NA
1706565600.0 10026.0 NA 561 1038 0 315 233 NA NA NA NA 1212 2418 0 438 492 NA NA NA NA 3237 4321 609 428 593 NA NA NA NA 3119 6717 1270 2056 5101 NA NA NA
1706565600.0 1003.0 NA 828 0 NA NA NA NA NA NA NA 1724 0 NA NA NA NA NA NA NA 10050 331 NA NA NA NA NA NA NA 3814 383 NA NA NA NA NA NA
1706565600.0 1004.0 NA 540 361 0 0 0 0 NA NA NA 1477 861 0 0 0 0 NA NA NA 1451 295 87 117 243 297 NA NA NA 12641 1638 761 475 588 887 NA NA
1706565600.0 10042.0 NA 562 1038 0 429 347 NA NA NA NA 1206 2421 0 1039 485 NA NA NA NA 3318 2472 593 468 555 NA NA NA NA 5866 4233 1982 4120 2409 NA NA NA
1706565600.0 1005.0 NA 514 381 0 0 NA NA NA NA NA 1340 934 0 0 NA NA NA NA NA 2048 287 112 147 NA NA NA NA NA 5412 903 524 1733 NA NA NA NA
1706565600.0 10059.0 NA 435 683 0 316 358 NA NA NA NA 1203 2420 0 440 492 NA NA NA NA 7186 7487 593 401 561 NA NA NA NA 6529 5043 1022 781 1190 NA NA NA
1706565600.0 10071.0 NA 554 1032 0 297 355 NA NA NA NA 1228 2429 0 440 490 NA NA NA NA 3225 2895 605 441 562 NA NA NA NA 2180 4021 2012 7696 1242 NA NA NA
1706565600.0 101.0 447 NA NA NA NA NA NA NA NA 1201 NA NA NA NA NA NA NA NA 1602 NA NA NA NA NA NA NA NA 6284 NA NA NA NA NA NA NA NA
1706565600.0 1010.0 NA 219 240 0 NA NA NA NA NA NA 334 349 0 NA NA NA NA NA NA 163 242 192 NA NA NA NA NA NA 1037 805 919 NA NA NA NA NA
1706565600.0 102.0 446 NA NA NA NA NA NA NA NA 1192 NA NA NA NA NA NA NA NA 1533 NA NA NA NA NA NA NA NA 4949 NA NA NA NA NA NA NA NA
1706565600.0 1020.0 NA 103 207 0 217 NA NA NA NA NA 348 329 0 349 NA NA NA NA NA 210 161 87 205 NA NA NA NA NA 951 1824 882 1273 NA NA NA NA
1706565600.0 10224.0 NA 759 1298 0 433 NA NA NA NA NA 1443 2743 0 1068 NA NA NA NA NA 5679 8179 602 587 NA NA NA NA NA 4087 4746 678 1492 NA NA NA NA
1706565600.0 10224.15 NA 756 1305 0 468 NA NA NA NA NA 1455 2737 0 1120 NA NA NA NA NA 5829 8901 604 757 NA NA NA NA NA 2656 5839 775 2625 NA NA NA NA
1706565600.0 10225.0 NA 727 1276 0 354 NA NA NA NA NA 1440 2748 0 492 NA NA NA NA NA 6009 6995 594 570 NA NA NA NA NA 3223 5184 1041 1644 NA NA NA NA
1706565600.0 103.0 339 230 790 NA NA NA NA NA NA 869 1011 1794 NA NA NA NA NA NA 1308 393 1740 NA NA NA NA NA NA 2232 5741 8585 NA NA NA NA NA NA
1706565600.0 1030.0 NA 614 230 0 0 NA NA NA NA NA 1505 338 0 0 NA NA NA NA NA 32739 203 83 74 NA NA NA NA NA 9745 385 381 102 NA NA NA NA
1706565600.0 1040.0 NA 689 209 0 NA NA NA NA NA NA 2225 309 0 NA NA NA NA NA NA 52622 151 197 NA NA NA NA NA NA 22320 520 284 NA NA NA NA NA
1706565600.0 1040.1 NA 279 201 0 NA NA NA NA NA NA 399 309 0 NA NA NA NA NA NA 473 178 205 NA NA NA NA NA NA 1831 3987 1097 NA NA NA NA NA
1706565600.0 1041.0 NA 280 215 0 NA NA NA NA NA NA 404 325 0 NA NA NA NA NA NA 288 182 92 NA NA NA NA NA NA 818 1554 382 NA NA NA NA NA
1706565600.0 1042.0 NA 278 217 0 NA NA NA NA NA NA 406 321 0 NA NA NA NA NA NA 491 183 98 NA NA NA NA NA NA 1942 993 1432 NA NA NA NA NA
1706565600.0 10424.0 NA 503 1034 0 NA NA NA NA NA NA 1144 2394 0 NA NA NA NA NA NA 1290 2899 581 NA NA NA NA NA NA 3408 5143 918 NA NA NA NA NA
1706565600.0 1043.0 NA 259 220 0 NA NA NA NA NA NA 384 330 0 NA NA NA NA NA NA 403 168 94 NA NA NA NA NA NA 1397 467 953 NA NA NA NA NA
1706565600.0 1044.0 NA 258 243 0 NA NA NA NA NA NA 385 352 0 NA NA NA NA NA NA 423 233 107 NA NA NA NA NA NA 1577 990 2447 NA NA NA NA NA
1706565600.0 1045.0 NA 262 233 0 NA NA NA NA NA NA 383 350 0 NA NA NA NA NA NA 417 229 90 NA NA NA NA NA NA 1289 1696 721 NA NA NA NA NA
1706565600.0 105.0 371 433 223 NA NA NA NA NA NA 920 1031 326 NA NA NA NA NA NA 2158 595 159 NA NA NA NA NA NA 5121 2355 963 NA NA NA NA NA NA
1706565600.0 1052.0 NA 523 371 0 NA NA NA NA NA NA 1333 931 0 NA NA NA NA NA NA 1586 312 90 NA NA NA NA NA NA 3506 1761 372 NA NA NA NA NA
1706565600.0 1052.1 NA 352 0 NA NA NA NA NA NA NA 912 0 NA NA NA NA NA NA NA 314 100 NA NA NA NA NA NA NA 3209 989 NA NA NA NA NA NA
1706565600.0 106.0 268 0 0 NA NA NA NA NA NA 391 0 0 NA NA NA NA NA NA 1146 171 1531 NA NA NA NA NA NA 7355 1047 4898 NA NA NA NA NA NA
1706565600.0 1060.1 NA 411 NA NA NA NA NA NA NA NA 594 NA NA NA NA NA NA NA NA 763 NA NA NA NA NA NA NA NA 2335 NA NA NA NA NA NA NA
1706565600.0 1060.2 NA 411 NA NA NA NA NA NA NA NA 594 NA NA NA NA NA NA NA NA 682 NA NA NA NA NA NA NA NA 2350 NA NA NA NA NA NA NA
1706565600.0 107.0 374 426 871 NA NA NA NA NA NA 920 1019 1814 NA NA NA NA NA NA 2927 624 2138 NA NA NA NA NA NA 3309 3258 3792 NA NA NA NA NA NA
1706565600.0 108.0 372 430 873 NA NA NA NA NA NA 920 1033 1815 NA NA NA NA NA NA 3793 625 2329 NA NA NA NA NA NA 4398 1261 4344 NA NA NA NA NA NA
1706565600.0 10801.0 NA 539 1006 0 309 349 NA NA NA NA 1176 2386 0 437 497 NA NA NA NA 3099 2311 557 445 584 NA NA NA NA 3533 7919 824 2532 6571 NA NA NA
1706565600.0 10802.0 NA 539 1015 0 158 300 NA NA NA NA 1180 2390 0 428 498 NA NA NA NA 3101 3619 558 437 644 NA NA NA NA 1790 5312 1069 5580 8287 NA NA NA
1706565600.0 10803.0 NA 544 1014 0 315 357 NA NA NA NA 1193 2403 0 432 488 NA NA NA NA 3060 2370 546 424 559 NA NA NA NA 2823 3237 930 2765 836 NA NA NA
1706565600.0 10804.0 NA 540 1002 0 314 352 NA NA NA NA 1170 2396 0 437 489 NA NA NA NA 3044 2115 571 391 566 NA NA NA NA 2026 4723 2220 1060 1435 NA NA NA
1706565600.0 10804.31 NA 545 1022 0 314 355 NA NA NA NA 1173 2409 0 428 485 NA NA NA NA 3016 2130 534 399 545 NA NA NA NA 1056 3216 756 519 590 NA NA NA
1706565600.0 10805.0 NA 545 1021 0 314 354 NA NA NA NA 1189 2388 0 434 484 NA NA NA NA 3121 2252 521 390 537 NA NA NA NA 1796 2802 577 511 573 NA NA NA
1706565600.0 10805.31 NA 541 1012 0 314 352 NA NA NA NA 1180 2392 0 428 493 NA NA NA NA 3083 2344 537 398 572 NA NA NA NA 2078 6008 619 567 2168 NA NA NA
1706565600.0 10806.0 NA 407 756 0 312 418 NA NA NA NA 1184 2390 0 433 1071 NA NA NA NA 3050 2128 557 418 582 NA NA NA NA 2572 10266 1605 2387 2628 NA NA NA
1706565600.0 10807.0 NA 546 751 0 422 355 NA NA NA NA 1183 2413 0 1033 496 NA NA NA NA 3225 8610 588 462 568 NA NA NA NA 3983 10622 1943 2103 1088 NA NA NA
1706565600.0 10808.0 NA 541 1027 0 422 354 NA NA NA NA 1182 2410 0 1034 489 NA NA NA NA 3388 2544 549 438 576 NA NA NA NA 3640 4073 743 820 1561 NA NA NA
1706565600.0 10809.0 NA 450 705 0 268 350 NA NA NA NA 1176 2381 0 1036 497 NA NA NA NA 3639 6603 584 486 593 NA NA NA NA 5556 12397 2445 5949 1690 NA NA NA
1706565600.0 10823.0 NA 555 1026 0 313 430 NA NA NA NA 1185 2405 0 428 1065 NA NA NA NA 3056 2276 560 403 556 NA NA NA NA 1316 4033 645 1357 752 NA NA NA
1706565600.0 10824.0 NA 563 1037 0 423 358 NA NA NA NA 1197 2422 0 1048 496 NA NA NA NA 3203 3036 598 462 577 NA NA NA NA 1843 4662 1135 1209 1165 NA NA NA
1706565600.0 10824.1 NA 562 643 0 NA NA NA NA NA NA 1187 1509 0 NA NA NA NA NA NA 3129 1151 501 NA NA NA NA NA NA 1061 872 545 NA NA NA NA NA
1706565600.0 10824.501 NA 561 351 0 NA NA NA NA NA NA 1205 570 0 NA NA NA NA NA NA 3138 593 241 NA NA NA NA NA NA 1076 632 263 NA NA NA NA NA
1706565600.0 10824.505 NA 562 351 0 NA NA NA NA NA NA 1190 561 0 NA NA NA NA NA NA 3136 606 266 NA NA NA NA NA NA 1073 623 304 NA NA NA NA NA
1706565600.0 10824.511 NA 563 400 0 NA NA NA NA NA NA 1192 1100 0 NA NA NA NA NA NA 3114 416 182 NA NA NA NA NA NA 1045 528 203 NA NA NA NA NA
1706565600.0 10824.521 NA 560 398 0 NA NA NA NA NA NA 1191 1064 0 NA NA NA NA NA NA 3900 389 188 NA NA NA NA NA NA 1765 400 211 NA NA NA NA NA
