Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1707001200.0 107.0 160 173 349 278 256 517 1512 329 1489 902 519 1877
1707001200.0 112.0 127 175 343 272 259 486 1345 316 1440 1017 398 1753
1707001200.0 113.0 158 179 348 280 260 500 1357 326 1490 988 522 1869
1707001200.0 119.0 145 178 339 277 257 496 1220 310 1470 1129 354 1891
1707001200.0 126.0 125 169 335 224 250 498 982 311 1435 1009 488 1791
1707001200.0 127.0 123 176 331 209 252 482 712 295 1401 837 349 1936
1707001200.0 130.0 123 171 296 223 248 500 556 300 1404 761 405 1815
1707001200.0 131.0 124 169 342 212 260 505 803 303 1423 812 396 1743
1707001200.0 2500.1 NA 218 0 NA 336 0 NA 19528 145 NA 6625 281
1707001200.0 2500.31 NA 237 0 NA 413 0 NA 6114 149 NA 5751 221
1707001200.0 4001.0 NA 241 390 NA 357 647 NA 638 2116 NA 598 2429
1707001200.0 4008.0 122 0 0 210 0 0 561 130 1228 1100 359 1704
