Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1707084000.0 10001.0 NA 296 459 0 154 173 NA NA NA 389 664 0 226 256 NA NA NA 1446 1469 402 341 493 NA NA NA 695 1595 596 809 637 NA NA
1707084000.0 10003.0 NA 295 476 0 155 175 NA NA NA 395 677 0 225 257 NA NA NA 1446 1496 404 324 518 NA NA NA 778 1795 913 570 876 NA NA
1707084000.0 1001.2 NA 539 241 0 0 0 0 0 NA 758 372 0 0 0 0 0 NA 9208 750 105 121 125 142 141 NA 4379 626 211 308 287 444 294
1707084000.0 10059.0 NA 309 492 0 158 178 NA NA NA 411 681 0 234 269 NA NA NA 1513 2200 454 334 533 NA NA NA 795 2156 861 612 934 NA NA
1707084000.0 101.0 170 NA NA NA NA NA NA NA 302 NA NA NA NA NA NA NA 818 NA NA NA NA NA NA NA 906 NA NA NA NA NA NA NA
1707084000.0 10225.0 NA 487 738 0 176 NA NA NA NA 624 988 0 262 NA NA NA NA 2818 2760 445 526 NA NA NA NA 1388 2209 602 949 NA NA NA
1707084000.0 103.0 128 171 341 NA NA NA NA NA 224 247 479 NA NA NA NA NA 644 229 1451 NA NA NA NA NA 998 513 2435 NA NA NA NA NA
1707084000.0 10424.0 NA 256 480 0 NA NA NA NA NA 342 662 0 NA NA NA NA NA 357 1645 440 NA NA NA NA NA 559 2346 746 NA NA NA NA
1707084000.0 106.0 121 0 0 NA NA NA NA NA 209 0 0 NA NA NA NA NA 564 129 1299 NA NA NA NA NA 1035 286 2364 NA NA NA NA NA
1707084000.0 107.0 165 184 363 NA NA NA NA NA 278 262 508 NA NA NA NA NA 1517 317 1440 NA NA NA NA NA 1194 522 1700 NA NA NA NA NA
1707084000.0 108.0 166 183 364 NA NA NA NA NA 284 255 507 NA NA NA NA NA 1855 321 1491 NA NA NA NA NA 1199 498 1829 NA NA NA NA NA
1707084000.0 10824.6 NA 299 490 0 185 180 NA NA NA 402 681 0 292 263 NA NA NA 1467 1650 450 339 546 NA NA NA 902 1788 851 582 981 NA NA
1707084000.0 10825.0 NA 287 480 0 155 178 NA NA NA 381 682 0 231 257 NA NA NA 1431 1544 426 333 532 NA NA NA 773 2026 592 591 955 NA NA
1707084000.0 10859.0 NA 308 488 0 160 181 NA NA NA 401 697 0 230 273 NA NA NA 1487 2241 457 339 525 NA NA NA 696 1812 711 624 615 NA NA
1707084000.0 110.0 134 178 349 NA NA NA NA NA 219 248 497 NA NA NA NA NA 563 294 1340 NA NA NA NA NA 625 516 1683 NA NA NA NA NA
1707084000.0 111.0 160 181 356 NA NA NA NA NA 263 261 486 NA NA NA NA NA 1020 266 1366 NA NA NA NA NA 769 419 1685 NA NA NA NA NA
1707084000.0 112.0 164 181 355 NA NA NA NA NA 274 255 495 NA NA NA NA NA 1297 309 1402 NA NA NA NA NA 1214 638 2290 NA NA NA NA NA
1707084000.0 11224.0 NA 260 480 0 NA NA NA NA NA 346 673 0 NA NA NA NA NA 381 1682 444 NA NA NA NA NA 723 2253 752 NA NA NA NA
1707084000.0 11224.6 NA 259 481 0 NA NA NA NA NA 345 678 0 NA NA NA NA NA 379 1682 444 NA NA NA NA NA 578 2440 651 NA NA NA NA
1707084000.0 113.0 168 184 360 NA NA NA NA NA 284 259 493 NA NA NA NA NA 1333 316 1434 NA NA NA NA NA 1088 633 2422 NA NA NA NA NA
1707084000.0 114.0 168 183 357 NA NA NA NA NA 282 258 488 NA NA NA NA NA 1433 318 1450 NA NA NA NA NA 942 600 1803 NA NA NA NA NA
1707084000.0 115.0 166 185 363 NA NA NA NA NA 278 257 497 NA NA NA NA NA 1653 325 1464 NA NA NA NA NA 1185 605 2385 NA NA NA NA NA
1707084000.0 117.0 157 184 364 NA NA NA NA NA 274 259 500 NA NA NA NA NA 1691 323 1480 NA NA NA NA NA 1030 412 1909 NA NA NA NA NA
1707084000.0 11834.0 NA 597 988 0 NA NA NA NA NA 829 1383 0 NA NA NA NA NA 3086 5540 482 NA NA NA NA NA 1718 3265 717 NA NA NA NA
1707084000.0 11834.24 NA 215 466 0 NA NA NA NA NA 305 688 0 NA NA NA NA NA 237 1524 408 NA NA NA NA NA 332 2088 517 NA NA NA NA
1707084000.0 11846.0 NA 623 1000 0 NA NA NA NA NA 829 1455 0 NA NA NA NA NA 3250 5064 468 NA NA NA NA NA 1517 3240 655 NA NA NA NA
1707084000.0 11846.19 NA 575 955 0 NA NA NA NA NA 873 1328 0 NA NA NA NA NA 3001 4798 465 NA NA NA NA NA 1533 3317 603 NA NA NA NA
1707084000.0 119.0 168 180 357 NA NA NA NA NA 273 256 498 NA NA NA NA NA 1161 314 1412 NA NA NA NA NA 908 751 2016 NA NA NA NA NA
1707084000.0 120.0 134 179 347 NA NA NA NA NA 229 251 487 NA NA NA NA NA 523 292 1335 NA NA NA NA NA 863 417 1748 NA NA NA NA NA
1707084000.0 12034.0 NA 271 511 0 NA NA NA NA NA 353 709 0 NA NA NA NA NA 401 1775 441 NA NA NA NA NA 596 2376 595 NA NA NA NA
1707084000.0 122.0 128 0 0 NA NA NA NA NA 210 0 0 NA NA NA NA NA 556 130 1284 NA NA NA NA NA 730 291 2125 NA NA NA NA NA
1707084000.0 123.1 362 NA NA NA NA NA NA NA 543 NA NA NA NA NA NA NA 949 NA NA NA NA NA NA NA 1229 NA NA NA NA NA NA NA
1707084000.0 123.2 367 NA NA NA NA NA NA NA 526 NA NA NA NA NA NA NA 1011 NA NA NA NA NA NA NA 1072 NA NA NA NA NA NA NA
1707084000.0 123.3 313 NA NA NA NA NA NA NA 456 NA NA NA NA NA NA NA 838 NA NA NA NA NA NA NA 1252 NA NA NA NA NA NA NA
1707084000.0 124.1 354 NA NA NA NA NA NA NA 516 NA NA NA NA NA NA NA 831 NA NA NA NA NA NA NA 1107 NA NA NA NA NA NA NA
1707084000.0 124.2 362 NA NA NA NA NA NA NA 525 NA NA NA NA NA NA NA 908 NA NA NA NA NA NA NA 1260 NA NA NA NA NA NA NA
1707084000.0 124.4 355 NA NA NA NA NA NA NA 501 NA NA NA NA NA NA NA 834 NA NA NA NA NA NA NA 1171 NA NA NA NA NA NA NA
1707084000.0 124.5 354 NA NA NA NA NA NA NA 518 NA NA NA NA NA NA NA 833 NA NA NA NA NA NA NA 1021 NA NA NA NA NA NA NA
