Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1707084000.0 10.0 NA 161 333 0 NA NA NA NA NA NA 3636 3857 0 NA NA NA NA NA NA 3320 8168 2911 NA NA NA NA NA NA 1192 5016 3053 NA NA NA NA NA
1707084000.0 1001.0 NA 286 144 0 0 0 0 0 0 NA 3804 3571 0 0 0 0 0 0 NA 5463 886 200 116 166 659 270 656 NA 3687 823 225 138 192 686 315 686
1707084000.0 10024.2 NA 263 443 0 NA NA NA NA NA NA 3738 4000 0 NA NA NA NA NA NA 4931 7057 2807 NA NA NA NA NA NA 1624 6299 2860 NA NA NA NA NA
1707084000.0 10024.4 NA 254 434 0 NA NA NA NA NA NA 3745 3978 0 NA NA NA NA NA NA 5847 7013 2972 NA NA NA NA NA NA 1985 6172 3214 NA NA NA NA NA
1707084000.0 1004.0 NA 226 122 0 0 0 0 NA NA NA 3742 3520 0 0 0 0 NA NA NA 2028 721 149 241 856 766 NA NA NA 1686 770 173 270 887 803 NA NA
1707084000.0 1005.0 NA 176 115 0 0 NA NA NA NA NA 3693 3551 0 0 NA NA NA NA NA 1499 714 221 300 NA NA NA NA NA 1453 735 252 349 NA NA NA NA
1707084000.0 101.0 118 NA NA NA NA NA NA NA NA 3615 NA NA NA NA NA NA NA NA 3127 NA NA NA NA NA NA NA NA 2326 NA NA NA NA NA NA NA NA
1707084000.0 1010.0 NA 38 62 0 NA NA NA NA NA NA 3473 3464 0 NA NA NA NA NA NA 388 606 375 NA NA NA NA NA NA 674 647 411 NA NA NA NA NA
1707084000.0 102.0 120 NA NA NA NA NA NA NA NA 3598 NA NA NA NA NA NA NA NA 2920 NA NA NA NA NA NA NA NA 2337 NA NA NA NA NA NA NA NA
1707084000.0 1020.0 NA 53 50 0 53 NA NA NA NA NA 3490 3452 0 3482 NA NA NA NA NA 610 386 149 420 NA NA NA NA NA 706 438 172 491 NA NA NA NA
1707084000.0 103.0 81 0 0 NA NA NA NA NA NA 3515 0 0 NA NA NA NA NA NA 1902 333 4270 NA NA NA NA NA NA 1640 480 4306 NA NA NA NA NA NA
1707084000.0 1040.1 NA 86 56 0 NA NA NA NA NA NA 3517 3442 0 NA NA NA NA NA NA 1018 309 295 NA NA NA NA NA NA 1115 356 334 NA NA NA NA NA
1707084000.0 1041.0 NA 86 69 0 NA NA NA NA NA NA 3516 3452 0 NA NA NA NA NA NA 709 351 278 NA NA NA NA NA NA 782 390 366 NA NA NA NA NA
1707084000.0 1042.0 NA 85 60 0 NA NA NA NA NA NA 3527 3446 0 NA NA NA NA NA NA 1222 421 206 NA NA NA NA NA NA 1352 446 254 NA NA NA NA NA
1707084000.0 10424.0 NA 213 429 0 NA NA NA NA NA NA 3681 3952 0 NA NA NA NA NA NA 872 6907 2805 NA NA NA NA NA NA 616 6236 2951 NA NA NA NA NA
1707084000.0 1043.0 NA 62 53 0 NA NA NA NA NA NA 3501 3453 0 NA NA NA NA NA NA 964 343 242 NA NA NA NA NA NA 834 364 340 NA NA NA NA NA
1707084000.0 1044.0 NA 65 68 0 NA NA NA NA NA NA 3498 3475 0 NA NA NA NA NA NA 1015 681 194 NA NA NA NA NA NA 875 1010 221 NA NA NA NA NA
1707084000.0 1045.0 NA 62 83 0 NA NA NA NA NA NA 3502 3467 0 NA NA NA NA NA NA 960 463 155 NA NA NA NA NA NA 813 398 191 NA NA NA NA NA
1707084000.0 1052.0 NA 175 116 0 NA NA NA NA NA NA 3692 3556 0 NA NA NA NA NA NA 1773 606 157 NA NA NA NA NA NA 1800 635 188 NA NA NA NA NA
1707084000.0 1052.1 NA 103 0 NA NA NA NA NA NA NA 3571 0 NA NA NA NA NA NA NA 534 192 NA NA NA NA NA NA NA 573 258 NA NA NA NA NA NA
1707084000.0 1060.1 NA 118 NA NA NA NA NA NA NA NA 3594 NA NA NA NA NA NA NA NA 1570 NA NA NA NA NA NA NA NA 1132 NA NA NA NA NA NA NA
1707084000.0 1060.2 NA 113 NA NA NA NA NA NA NA NA 3597 NA NA NA NA NA NA NA NA 1287 NA NA NA NA NA NA NA NA 1037 NA NA NA NA NA NA NA
1707084000.0 110.0 90 143 314 NA NA NA NA NA NA 3535 3554 3817 NA NA NA NA NA NA 1283 1024 5545 NA NA NA NA NA NA 1053 756 5203 NA NA NA NA NA NA
1707084000.0 11224.0 NA 221 435 0 NA NA NA NA NA NA 3682 3960 0 NA NA NA NA NA NA 1112 6912 2722 NA NA NA NA NA NA 700 5820 2786 NA NA NA NA NA
1707084000.0 11224.6 NA 221 427 0 NA NA NA NA NA NA 3674 3974 0 NA NA NA NA NA NA 1018 7077 2879 NA NA NA NA NA NA 655 5910 3013 NA NA NA NA NA
1707084000.0 113.0 108 159 314 NA NA NA NA NA NA 3586 3556 3801 NA NA NA NA NA NA 5821 1065 5653 NA NA NA NA NA NA 2964 724 5184 NA NA NA NA NA NA
1707084000.0 11634.1 NA 230 256 0 NA NA NA NA NA NA 3689 3721 0 NA NA NA NA NA NA 1815 2850 5944 NA NA NA NA NA NA 1025 2329 6037 NA NA NA NA NA
1707084000.0 11634.601 NA 229 56 475 0 NA NA NA NA NA 3687 3448 4021 0 NA NA NA NA NA 1012 183 5174 2749 NA NA NA NA NA 568 189 4908 2797 NA NA NA NA
1707084000.0 11634.7 NA 224 472 0 NA NA NA NA NA NA 3702 4049 0 NA NA NA NA NA NA 1344 4440 2918 NA NA NA NA NA NA 720 3630 2978 NA NA NA NA NA
1707084000.0 11723.17 NA 230 474 0 NA NA NA NA NA NA 3708 4050 0 NA NA NA NA NA NA 1865 10350 3421 NA NA NA NA NA NA 1029 7600 3588 NA NA NA NA NA
1707084000.0 118.0 103 163 321 NA NA NA NA NA NA 3590 3569 3809 NA NA NA NA NA NA 8734 1172 6145 NA NA NA NA NA NA 3500 943 5285 NA NA NA NA NA NA
1707084000.0 12.0 NA 163 337 0 NA NA NA NA NA NA 3622 3850 0 NA NA NA NA NA NA 3180 6947 3650 NA NA NA NA NA NA 1140 4447 3711 NA NA NA NA NA
1707084000.0 120.0 90 156 309 NA NA NA NA NA NA 3543 3555 3801 NA NA NA NA NA NA 1201 977 5427 NA NA NA NA NA NA 1046 723 5321 NA NA NA NA NA NA
1707084000.0 12034.0 NA 255 466 0 NA NA NA NA NA NA 3700 4009 0 NA NA NA NA NA NA 1160 6363 2863 NA NA NA NA NA NA 669 5669 2926 NA NA NA NA NA
1707084000.0 121.0 106 163 326 NA NA NA NA NA NA 3586 3563 3830 NA NA NA NA NA NA 9453 1146 6426 NA NA NA NA NA NA 4031 757 5396 NA NA NA NA NA NA
1707084000.0 122.0 85 0 0 NA NA NA NA NA NA 3512 0 0 NA NA NA NA NA NA 2042 325 4752 NA NA NA NA NA NA 1809 334 4682 NA NA NA NA NA NA
1707084000.0 123.1 345 NA NA NA NA NA NA NA NA 3832 NA NA NA NA NA NA NA NA 3318 NA NA NA NA NA NA NA NA 2475 NA NA NA NA NA NA NA NA
1707084000.0 123.2 349 NA NA NA NA NA NA NA NA 3832 NA NA NA NA NA NA NA NA 3884 NA NA NA NA NA NA NA NA 2793 NA NA NA NA NA NA NA NA
1707084000.0 123.3 279 NA NA NA NA NA NA NA NA 3748 NA NA NA NA NA NA NA NA 2975 NA NA NA NA NA NA NA NA 2363 NA NA NA NA NA NA NA NA
1707084000.0 124.1 345 NA NA NA NA NA NA NA NA 3800 NA NA NA NA NA NA NA NA 3072 NA NA NA NA NA NA NA NA 2343 NA NA NA NA NA NA NA NA
1707084000.0 124.2 360 NA NA NA NA NA NA NA NA 3837 NA NA NA NA NA NA NA NA 3264 NA NA NA NA NA NA NA NA 2797 NA NA NA NA NA NA NA NA
1707084000.0 124.4 347 NA NA NA NA NA NA NA NA 3792 NA NA NA NA NA NA NA NA 2980 NA NA NA NA NA NA NA NA 2255 NA NA NA NA NA NA NA NA
1707084000.0 124.5 349 NA NA NA NA NA NA NA NA 3819 NA NA NA NA NA NA NA NA 3132 NA NA NA NA NA NA NA NA 2641 NA NA NA NA NA NA NA NA
1707084000.0 124.6 291 NA NA NA NA NA NA NA NA 3754 NA NA NA NA NA NA NA NA 2864 NA NA NA NA NA NA NA NA 2287 NA NA NA NA NA NA NA NA
1707084000.0 12434.0 NA 398 569 0 186 NA NA NA NA NA 3931 4159 0 3606 NA NA NA NA NA 10272 8537 2827 1035 NA NA NA NA NA 4142 7001 2865 948 NA NA NA NA
1707084000.0 12434.7 NA 406 581 0 NA NA NA NA NA NA 3936 4145 0 NA NA NA NA NA NA 11141 10060 3933 NA NA NA NA NA NA 4893 8174 4016 NA NA NA NA NA
1707084000.0 125.0 111 139 321 NA NA NA NA NA NA 3595 3553 3810 NA NA NA NA NA NA 5748 1039 5953 NA NA NA NA NA NA 2770 716 5386 NA NA NA NA NA NA
1707084000.0 126.0 89 139 310 NA NA NA NA NA NA 3543 3558 3818 NA NA NA NA NA NA 1988 1089 6243 NA NA NA NA NA NA 1220 797 5973 NA NA NA NA NA NA
1707084000.0 128.0 91 154 309 NA NA NA NA NA NA 3520 3555 3794 NA NA NA NA NA NA 1823 995 6217 NA NA NA NA NA NA 1638 711 6119 NA NA NA NA NA NA
1707084000.0 12834.0 NA 387 569 0 155 NA NA NA NA NA 3928 4170 0 3608 NA NA NA NA NA 4416 13211 3099 1150 NA NA NA NA NA 2762 10810 3152 1119 NA NA NA NA
1707084000.0 129.0 90 151 314 NA NA NA NA NA NA 3523 3546 3818 NA NA NA NA NA NA 1258 941 6181 NA NA NA NA NA NA 1133 690 5885 NA NA NA NA NA NA
1707084000.0 130.0 93 157 309 NA NA NA NA NA NA 3533 3548 3788 NA NA NA NA NA NA 1224 809 5288 NA NA NA NA NA NA 1042 577 5184 NA NA NA NA NA NA
1707084000.0 1303.0 107 201 274 NA NA NA NA NA NA 3564 3612 3760 NA NA NA NA NA NA 8410 855 4297 NA NA NA NA NA NA 4034 592 3329 NA NA NA NA NA NA
1707084000.0 13034.99 NA 532 743 742 0 NA NA NA NA NA 4244 4448 4434 0 NA NA NA NA NA 15906 8707 65143 3180 NA NA NA NA NA 7435 3950 30956 3242 NA NA NA NA
1707084000.0 1307.0 NA 159 207 60 0 NA NA NA NA NA 3630 3688 3456 0 NA NA NA NA NA 1158 2088 463 605 NA NA NA NA NA 838 1881 514 668 NA NA NA NA
1707084000.0 1308.0 NA 157 203 58 0 NA NA NA NA NA 3630 3686 3454 0 NA NA NA NA NA 1125 1716 472 559 NA NA NA NA NA 1098 1523 546 614 NA NA NA NA
1707084000.0 131.0 88 139 320 NA NA NA NA NA NA 3523 3555 3826 NA NA NA NA NA NA 1618 976 6105 NA NA NA NA NA NA 1095 1197 5681 NA NA NA NA NA NA
1707084000.0 1324.0 NA 192 373 0 NA NA NA NA NA NA 3665 3869 0 NA NA NA NA NA NA 746 6879 2846 NA NA NA NA NA NA 526 6080 2995 NA NA NA NA NA
1707084000.0 1325.1 NA 192 217 0 NA NA NA NA NA NA 3659 3675 0 NA NA NA NA NA NA 1064 1583 2685 NA NA NA NA NA NA 715 1445 2733 NA NA NA NA NA
1707084000.0 1325.3 NA 193 209 0 NA NA NA NA NA NA 3647 3671 0 NA NA NA NA NA NA 937 1956 3478 NA NA NA NA NA NA 623 2128 3550 NA NA NA NA NA
1707084000.0 1325.5 NA 207 0 NA NA NA NA NA NA NA 3671 0 NA NA NA NA NA NA NA 5269 462 NA NA NA NA NA NA NA 3585 506 NA NA NA NA NA NA
1707084000.0 1325.51 NA 193 0 NA NA NA NA NA NA NA 3662 0 NA NA NA NA NA NA NA 4936 530 NA NA NA NA NA NA NA 3238 617 NA NA NA NA NA NA
1707084000.0 1325.516 NA 234 0 NA NA NA NA NA NA NA 3690 0 NA NA NA NA NA NA NA 7228 456 NA NA NA NA NA NA NA 4357 503 NA NA NA NA NA NA
1707084000.0 1325.5161 NA 219 0 NA NA NA NA NA NA NA 3684 0 NA NA NA NA NA NA NA 5461 531 NA NA NA NA NA NA NA 3297 639 NA NA NA NA NA NA
