Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706738400.0 1.0 95 147 250 NA NA NA NA NA NA 3585 3548 3744 NA NA NA NA NA NA 5121 899 3246 NA NA NA NA NA NA 2962 614 3296 NA NA NA NA NA NA
1706738400.0 10.0 NA 169 338 0 NA NA NA NA NA NA 3631 3881 0 NA NA NA NA NA NA 4117 12058 1361 NA NA NA NA NA NA 1508 7025 1404 NA NA NA NA NA
1706738400.0 1000.0 NA 324 198 0 98 NA NA NA NA NA 3852 3663 0 3472 NA NA NA NA NA 8418 2440 1031 595 NA NA NA NA NA 5044 2093 1077 557 NA NA NA NA
1706738400.0 10001.0 NA 254 442 0 110 150 NA NA NA NA 3742 3978 0 3525 3569 NA NA NA NA 7401 4668 1327 754 1594 NA NA NA NA 2432 4174 1366 761 1541 NA NA NA
1706738400.0 10002.0 NA 253 443 0 123 145 NA NA NA NA 3730 3999 0 3527 3569 NA NA NA NA 8307 7093 1151 1013 1525 NA NA NA NA 2721 6443 1199 1029 1446 NA NA NA
1706738400.0 10003.0 NA 253 448 0 115 164 NA NA NA NA 3729 3996 0 3527 3570 NA NA NA NA 7849 6178 1526 1002 1666 NA NA NA NA 2605 5439 1571 1031 1568 NA NA NA
1706738400.0 10004.0 NA 293 451 0 109 142 NA NA NA NA 3731 4005 0 3525 3568 NA NA NA NA 5768 5784 1485 896 1660 NA NA NA NA 1911 5320 1533 897 1599 NA NA NA
1706738400.0 10005.0 NA 250 462 0 107 140 NA NA NA NA 3725 3973 0 3527 3575 NA NA NA NA 7794 5868 1293 967 1616 NA NA NA NA 2574 5239 1329 996 1532 NA NA NA
1706738400.0 10006.0 NA 255 460 0 110 133 NA NA NA NA 3732 3990 0 3526 3567 NA NA NA NA 6744 6456 1450 920 1526 NA NA NA NA 2131 6001 1482 942 1505 NA NA NA
1706738400.0 10007.0 NA 256 442 0 138 142 NA NA NA NA 3738 3991 0 3600 3567 NA NA NA NA 7854 6318 1590 1044 1621 NA NA NA NA 2539 5682 1635 1072 1615 NA NA NA
1706738400.0 10008.0 NA 256 446 0 167 147 NA NA NA NA 3737 3987 0 3600 3567 NA NA NA NA 8804 6882 1496 934 1417 NA NA NA NA 2998 6317 1557 938 1358 NA NA NA
1706738400.0 10009.0 NA 249 444 0 146 142 NA NA NA NA 3733 4006 0 3601 3575 NA NA NA NA 7288 5967 1586 917 1645 NA NA NA NA 2412 5203 1626 938 1562 NA NA NA
1706738400.0 1001.0 NA 287 197 0 0 0 0 0 0 NA 3807 3571 0 0 0 0 0 0 NA 6544 1097 236 142 253 766 241 731 NA 4349 1022 266 164 277 792 268 763
1706738400.0 1001.2 NA 485 185 0 0 0 0 0 NA NA 4145 3671 0 0 0 0 0 NA NA 25436 2845 328 432 317 410 413 NA NA 8517 1732 371 637 352 445 450 NA
1706738400.0 1001.3 NA 457 186 0 NA NA NA NA NA NA 4071 3671 0 NA NA NA NA NA NA 29503 2771 765 NA NA NA NA NA NA 10281 1747 842 NA NA NA NA NA
1706738400.0 1002.0 NA 329 106 NA NA NA NA NA NA NA 3863 3481 NA NA NA NA NA NA NA 6880 707 NA NA NA NA NA NA NA 4916 570 NA NA NA NA NA NA
1706738400.0 1002.3 NA 456 181 0 NA NA NA NA NA NA 4086 3652 0 NA NA NA NA NA NA 22988 2100 773 NA NA NA NA NA NA 8609 1590 851 NA NA NA NA NA
1706738400.0 1002.4 NA 476 0 NA NA NA NA NA NA NA 4093 0 NA NA NA NA NA NA NA 35478 1541 NA NA NA NA NA NA NA 11500 1581 NA NA NA NA NA NA
1706738400.0 10023.0 NA 254 457 0 127 134 NA NA NA NA 3722 4004 0 3525 3564 NA NA NA NA 7622 5593 1459 914 1611 NA NA NA NA 2428 5084 1499 915 1587 NA NA NA
1706738400.0 10024.0 NA 262 450 0 139 160 NA NA NA NA 3743 4007 0 3605 3569 NA NA NA NA 7925 7046 1715 1031 1637 NA NA NA NA 2593 5786 1766 1036 1503 NA NA NA
1706738400.0 10024.1 NA 251 265 0 NA NA NA NA NA NA 3737 3756 0 NA NA NA NA NA NA 8591 2756 1562 NA NA NA NA NA NA 2729 2295 1607 NA NA NA NA NA
1706738400.0 10024.2 NA 267 466 0 NA NA NA NA NA NA 3743 4019 0 NA NA NA NA NA NA 7412 6139 1470 NA NA NA NA NA NA 2369 5226 1518 NA NA NA NA NA
1706738400.0 10024.3 NA 256 248 0 NA NA NA NA NA NA 3744 3721 0 NA NA NA NA NA NA 8203 2589 1334 NA NA NA NA NA NA 2696 2169 1392 NA NA NA NA NA
