Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1706479200.0 1.0 142 155 259 NA NA NA NA NA NA 277 257 397 NA NA NA NA NA NA 898 253 724 NA NA NA NA NA NA 672 343 769 NA NA NA NA NA NA
1706479200.0 10.0 NA 189 367 0 NA NA NA NA NA NA 303 561 0 NA NA NA NA NA NA 1092 2352 339 NA NA NA NA NA NA 487 1445 385 NA NA NA NA NA
1706479200.0 1000.0 NA 370 222 0 94 NA NA NA NA NA 520 350 0 180 NA NA NA NA NA 1911 604 259 213 NA NA NA NA NA 1531 801 323 300 NA NA NA NA
1706479200.0 10001.0 NA 286 473 0 132 153 NA NA NA NA 410 651 0 213 256 NA NA NA NA 1175 1220 370 271 384 NA NA NA NA 725 1400 462 452 529 NA NA NA
1706479200.0 10002.0 NA 285 446 0 132 152 NA NA NA NA 414 659 0 215 252 NA NA NA NA 1167 1264 350 262 405 NA NA NA NA 601 1418 401 460 449 NA NA NA
1706479200.0 10003.0 NA 240 417 0 97 129 NA NA NA NA 417 668 0 214 255 NA NA NA NA 3821 4255 1062 746 1299 NA NA NA NA 1580 3970 1112 842 1315 NA NA NA
1706479200.0 10004.0 NA 286 442 0 133 151 NA NA NA NA 418 663 0 212 255 NA NA NA NA 1163 1238 350 248 372 NA NA NA NA 527 1472 432 302 456 NA NA NA
1706479200.0 10005.0 NA 238 415 0 101 124 NA NA NA NA 410 684 0 218 252 NA NA NA NA 3622 4331 1040 752 1236 NA NA NA NA 1518 4075 1091 818 1294 NA NA NA
1706479200.0 10006.0 NA 266 441 0 131 148 NA NA NA NA 404 647 0 212 251 NA NA NA NA 1162 1195 348 251 333 NA NA NA NA 494 1300 389 334 363 NA NA NA
1706479200.0 10007.0 NA 257 445 0 161 152 NA NA NA NA 433 686 0 297 254 NA NA NA NA 1194 1219 343 260 364 NA NA NA NA 666 1223 381 336 421 NA NA NA
1706479200.0 10008.0 NA 285 454 0 162 151 NA NA NA NA 420 683 0 287 262 NA NA NA NA 1170 1216 357 261 387 NA NA NA NA 498 1363 401 341 452 NA NA NA
1706479200.0 10009.0 NA 283 512 0 162 152 NA NA NA NA 428 665 0 288 254 NA NA NA NA 1174 1301 380 252 371 NA NA NA NA 526 1419 493 306 410 NA NA NA
1706479200.0 1001.0 NA 305 178 0 0 0 0 0 0 NA 464 275 0 0 0 0 0 0 NA 1709 334 98 69 87 198 103 196 NA 1228 409 214 155 198 307 423 284
1706479200.0 1001.2 NA 470 183 0 0 0 0 NA NA NA 781 354 0 0 0 0 NA NA NA 17815 1238 166 217 222 268 NA NA NA 6410 808 211 295 252 301 NA NA
1706479200.0 1001.3 NA 453 177 0 NA NA NA NA NA NA 757 344 0 NA NA NA NA NA NA 14243 1250 427 NA NA NA NA NA NA 5055 929 505 NA NA NA NA NA
1706479200.0 1002.0 NA 375 113 NA NA NA NA NA NA NA 520 171 NA NA NA NA NA NA NA 2139 147 NA NA NA NA NA NA NA 1856 124 NA NA NA NA NA NA
1706479200.0 1002.3 NA 481 241 0 NA NA NA NA NA NA 713 335 0 NA NA NA NA NA NA 4611 448 148 NA NA NA NA NA NA 1783 356 173 NA NA NA NA NA
1706479200.0 1002.4 NA 552 0 NA NA NA NA NA NA NA 735 0 NA NA NA NA NA NA NA 7610 342 NA NA NA NA NA NA NA 2777 402 NA NA NA NA NA NA
1706479200.0 10023.0 NA 232 415 0 117 122 NA NA NA NA 425 662 0 214 248 NA NA NA NA 2015 3178 706 493 822 NA NA NA NA 882 3046 751 554 862 NA NA NA
1706479200.0 10024.0 NA 296 526 0 165 156 NA NA NA NA 423 673 0 300 253 NA NA NA NA 1209 1401 370 256 397 NA NA NA NA 548 1394 421 334 448 NA NA NA
1706479200.0 10024.1 NA 280 272 0 NA NA NA NA NA NA 425 424 0 NA NA NA NA NA NA 1166 522 292 NA NA NA NA NA NA 452 476 328 NA NA NA NA NA
1706479200.0 10024.2 NA 278 459 0 NA NA NA NA NA NA 436 673 0 NA NA NA NA NA NA 1212 1370 356 NA NA NA NA NA NA 620 1213 406 NA NA NA NA NA
1706479200.0 10024.3 NA 294 256 0 NA NA NA NA NA NA 443 403 0 NA NA NA NA NA NA 1239 547 290 NA NA NA NA NA NA 625 530 332 NA NA NA NA NA
1706479200.0 10024.4 NA 278 470 0 NA NA NA NA NA NA 414 672 0 NA NA NA NA NA NA 1190 1334 348 NA NA NA NA NA NA 519 1203 405 NA NA NA NA NA
1706479200.0 10024.5 NA 299 172 0 NA NA NA NA NA NA 438 302 0 NA NA NA NA NA NA 1201 438 167 NA NA NA NA NA NA 539 703 289 NA NA NA NA NA
1706479200.0 10025.0 NA 270 475 0 134 154 NA NA NA NA 422 649 0 218 256 NA NA NA NA 1188 1288 372 247 394 NA NA NA NA 591 1421 450 290 434 NA NA NA
1706479200.0 10026.0 NA 297 543 0 137 156 NA NA NA NA 426 683 0 222 259 NA NA NA NA 1263 1578 376 263 386 NA NA NA NA 808 1452 608 415 505 NA NA NA
1706479200.0 1003.0 NA 384 0 NA NA NA NA NA NA NA 662 0 NA NA NA NA NA NA NA 2109 243 NA NA NA NA NA NA NA 1200 303 NA NA NA NA NA NA
1706479200.0 1004.0 NA 254 132 0 0 0 0 NA NA NA 411 222 0 0 0 0 NA NA NA 662 173 56 73 185 171 NA NA NA 649 214 118 121 218 189 NA NA
1706479200.0 10042.0 NA 290 458 0 165 152 NA NA NA NA 420 683 0 308 254 NA NA NA NA 1181 1325 362 280 377 NA NA NA NA 518 1453 406 385 471 NA NA NA
1706479200.0 1005.0 NA 192 139 0 NA NA NA NA NA NA 370 255 0 NA NA NA NA NA NA 388 196 81 NA NA NA NA NA NA 595 343 169 NA NA NA NA NA
1706479200.0 10059.0 NA 297 562 0 138 155 NA NA NA NA 433 670 0 231 256 NA NA NA NA 1284 1870 408 279 413 NA NA NA NA 744 1563 474 348 506 NA NA NA
1706479200.0 10071.0 NA 293 480 0 135 155 NA NA NA NA 409 664 0 213 258 NA NA NA NA 1232 1404 361 301 449 NA NA NA NA 831 1583 439 485 642 NA NA NA
1706479200.0 101.0 112 NA NA NA NA NA NA NA NA 314 NA NA NA NA NA NA NA NA 2165 NA NA NA NA NA NA NA NA 1599 NA NA NA NA NA NA NA NA
1706479200.0 1010.0 NA 45 56 0 NA NA NA NA NA NA 166 177 0 NA NA NA NA NA NA 344 615 517 NA NA NA NA NA NA 437 672 720 NA NA NA NA NA
1706479200.0 102.0 114 NA NA NA NA NA NA NA NA 302 NA NA NA NA NA NA NA NA 2021 NA NA NA NA NA NA NA NA 1605 NA NA NA NA NA NA NA NA
1706479200.0 1020.0 NA 46 34 0 42 NA NA NA NA NA 182 155 0 180 NA NA NA NA NA 429 377 234 538 NA NA NA NA NA 559 446 289 650 NA NA NA NA
1706479200.0 10224.0 NA 474 725 0 157 NA NA NA NA NA 667 1052 0 261 NA NA NA NA NA 2355 2642 428 452 NA NA NA NA NA 1158 2061 540 542 NA NA NA NA
1706479200.0 10224.15 NA 431 NA NA NA NA NA NA NA NA 661 NA NA NA NA NA NA NA NA 5113 NA NA NA NA NA NA NA NA 1986 NA NA NA NA NA NA NA
1706479200.0 10225.0 NA 400 650 0 128 NA NA NA NA NA 661 967 0 270 NA NA NA NA NA 5158 4276 753 733 NA NA NA NA NA 1926 2816 798 762 NA NA NA NA
1706479200.0 103.0 101 0 0 NA NA NA NA NA NA 219 0 0 NA NA NA NA NA NA 415 113 1035 NA NA NA NA NA NA 422 192 1369 NA NA NA NA NA NA
1706479200.0 1030.0 NA 269 70 0 0 NA NA NA NA NA 466 166 0 0 NA NA NA NA NA 4005 163 59 58 NA NA NA NA NA 1593 283 152 155 NA NA NA NA
1706479200.0 1040.0 NA 498 66 0 NA NA NA NA NA NA 710 143 0 NA NA NA NA NA NA 6988 117 94 NA NA NA NA NA NA 2778 205 146 NA NA NA NA NA
1706479200.0 1040.1 NA 77 48 0 NA NA NA NA NA NA 210 143 0 NA NA NA NA NA NA 1497 454 329 NA NA NA NA NA NA 1620 539 378 NA NA NA NA NA
1706479200.0 1041.0 NA 77 50 0 NA NA NA NA NA NA 207 154 0 NA NA NA NA NA NA 690 476 257 NA NA NA NA NA NA 775 547 310 NA NA NA NA NA
1706479200.0 1042.0 NA 71 50 0 NA NA NA NA NA NA 211 149 0 NA NA NA NA NA NA 900 399 229 NA NA NA NA NA NA 1063 424 269 NA NA NA NA NA
1706479200.0 10424.0 NA 230 456 0 NA NA NA NA NA NA 362 673 0 NA NA NA NA NA NA 317 1381 381 NA NA NA NA NA NA 531 1459 460 NA NA NA NA NA
1706479200.0 1043.0 NA 58 39 0 NA NA NA NA NA NA 191 154 0 NA NA NA NA NA NA 804 464 198 NA NA NA NA NA NA 745 535 263 NA NA NA NA NA
1706479200.0 1044.0 NA 56 56 0 NA NA NA NA NA NA 191 184 0 NA NA NA NA NA NA 784 617 241 NA NA NA NA NA NA 714 585 295 NA NA NA NA NA
1706479200.0 1045.0 NA 55 67 0 NA NA NA NA NA NA 191 175 0 NA NA NA NA NA NA 730 614 222 NA NA NA NA NA NA 653 610 263 NA NA NA NA NA
1706479200.0 105.0 129 156 67 NA NA NA NA NA NA 281 254 141 NA NA NA NA NA NA 983 309 143 NA NA NA NA NA NA 788 529 353 NA NA NA NA NA NA
1706479200.0 1052.0 NA 193 139 0 NA NA NA NA NA NA 379 257 0 NA NA NA NA NA NA 413 208 73 NA NA NA NA NA NA 496 341 139 NA NA NA NA NA
1706479200.0 1052.1 NA 94 0 NA NA NA NA NA NA NA 270 0 NA NA NA NA NA NA NA 709 235 NA NA NA NA NA NA NA 827 271 NA NA NA NA NA NA
1706479200.0 106.0 101 0 0 NA NA NA NA NA NA 220 0 0 NA NA NA NA NA NA 433 125 996 NA NA NA NA NA NA 672 231 1304 NA NA NA NA NA NA
1706479200.0 107.0 130 162 370 NA NA NA NA NA NA 285 262 513 NA NA NA NA NA NA 1149 251 1100 NA NA NA NA NA NA 591 207 1015 NA NA NA NA NA NA
1706479200.0 108.0 165 161 340 NA NA NA NA NA NA 284 258 529 NA NA NA NA NA NA 1278 255 1245 NA NA NA NA NA NA 640 198 1696 NA NA NA NA NA NA
1706479200.0 10801.0 NA 277 446 0 133 155 NA NA NA NA 406 646 0 221 261 NA NA NA NA 1137 1253 353 258 372 NA NA NA NA 511 1379 429 331 421 NA NA NA
1706479200.0 10802.0 NA 258 445 0 133 156 NA NA NA NA 389 673 0 210 259 NA NA NA NA 1171 1289 387 275 501 NA NA NA NA 728 1578 589 570 870 NA NA NA
