Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1707084000.0 101.0 115 NA 316 NA 1735 NA 2790 NA
1707084000.0 102.0 126 NA 303 NA 1561 NA 2710 NA
1707084000.0 124.2 345 NA 523 NA 1887 NA 3274 NA
1707084000.0 1360.0 0 NA 0 NA 2173 NA 2364 NA
1707084000.0 1361.0 0 NA 0 NA 1476 NA 2687 NA
1707084000.0 1361.17 0 NA 0 NA 1348 NA 2346 NA
1707084000.0 1361.18 0 NA 0 NA 1339 NA 2334 NA
1707084000.0 1361.181 0 NA 0 NA 1381 NA 2402 NA
1707084000.0 1362.0 0 NA 0 NA 1270 NA 4293 NA
1707084000.0 1362.17 0 NA 0 NA 1312 NA 2333 NA
1707084000.0 1362.18 0 NA 0 NA 1344 NA 2375 NA
1707084000.0 1363.0 0 NA 0 NA 1318 NA 2312 NA
1707084000.0 1363.17 0 NA 0 NA 1356 NA 2387 NA
1707084000.0 1363.18 0 NA 0 NA 1360 NA 2386 NA
1707084000.0 2017.8 165 NA 322 NA 1465 NA 4520 NA
1707084000.0 250199.17 344 NA 597 NA 4416 NA 4741 NA
1707084000.0 250399.0 240 NA 425 NA 1559 NA 4339 NA
1707084000.0 25210.0 0 NA 0 NA 2602 NA 2579 NA
1707084000.0 25211.0 0 NA 0 NA 1458 NA 2590 NA
1707084000.0 25211.17 0 NA 0 NA 1399 NA 2405 NA
1707084000.0 25211.18 0 NA 0 NA 1283 NA 4287 NA
1707084000.0 25212.0 0 NA 0 NA 1444 NA 2567 NA
1707084000.0 25212.17 0 NA 0 NA 1380 NA 2413 NA
1707084000.0 25212.18 0 NA 0 NA 1309 NA 2320 NA
1707084000.0 25213.0 0 NA 0 NA 1476 NA 2671 NA
1707084000.0 25213.17 0 NA 0 NA 1374 NA 2382 NA
1707084000.0 25213.18 0 NA 0 NA 1511 NA 2630 NA
1707084000.0 500199.0 226 NA 464 NA 2782 NA 3194 NA
1707084000.0 506.0 48 0 152 0 565 357 2008 2122
1707084000.0 508.0 56 0 152 0 531 363 1797 2224
1707084000.0 509.0 57 0 149 0 537 346 1941 2122
1707084000.0 541.0 57 0 154 0 486 355 1874 2226
1707084000.0 548.0 0 NA 0 NA 340 NA 921 NA
1707084000.0 576.0 48 0 143 0 573 358 1988 2158
