Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1707084000.0 1.0 150 169 258 NA 279 252 404 NA 1130 302 862 NA 1202 430 1424 NA
1707084000.0 103.0 120 0 0 NA 216 0 0 NA 535 114 1178 NA 839 252 1779 NA
1707084000.0 107.0 155 152 352 NA 286 265 505 NA 1510 317 1399 NA 1037 538 1779 NA
1707084000.0 111.0 154 148 349 NA 279 264 515 NA 1019 267 1344 NA 827 517 1772 NA
1707084000.0 114.0 164 176 349 NA 292 260 496 NA 1444 312 1400 NA 985 395 1840 NA
1707084000.0 120.0 125 149 337 NA 228 264 509 NA 527 306 1292 NA 741 693 1576 NA
1707084000.0 127.0 85 172 341 NA 219 261 497 NA 702 294 1327 NA 788 567 1778 NA
1707084000.0 128.0 119 163 332 NA 217 263 501 NA 507 298 1315 NA 676 438 1820 NA
1707084000.0 132.0 154 178 348 NA 286 271 493 NA 1712 321 1448 NA 996 387 2045 NA
1707084000.0 1325.5 NA 222 0 NA NA 347 0 NA NA 1462 157 NA NA 1367 321 NA
1707084000.0 136.7721 NA 247 0 NA NA 362 0 NA NA 1577 145 NA NA 1357 226 NA
1707084000.0 136.8311 NA 249 0 NA NA 343 0 NA NA 1661 150 NA NA 1336 287 NA
1707084000.0 144.6 NA 328 NA NA NA 506 NA NA NA 2402 NA NA NA 2674 NA NA
1707084000.0 23861.97 1040 NA NA NA 1511 NA NA NA 7096 NA NA NA 3791 NA NA NA
1707084000.0 2500.31 NA 224 0 NA NA 345 0 NA NA 18958 145 NA NA 6418 422 NA
1707084000.0 2500.312 NA 269 0 NA NA 486 0 NA NA 20587 150 NA NA 6923 387 NA
1707084000.0 4.28 NA 121 358 0 NA 208 511 0 NA 207 2658 1337 NA 554 3225 1532
1707084000.0 4008.0 134 180 362 NA 235 289 528 NA 735 252 1323 NA 841 773 1709 NA
1707084000.0 511.0 98 0 NA NA 169 0 NA NA 6686 144 NA NA 7417 369 NA NA
