Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1707084000.0 1001.3 NA 519 0 NA NA NA NA 724 0 NA NA NA NA 7351 0 NA NA NA NA 3501 0 NA NA NA
1707084000.0 10225.0 NA 466 715 0 178 NA NA 643 1010 0 264 NA NA 2645 2736 454 518 NA NA 1483 2239 654 654 NA
1707084000.0 103.0 130 0 0 NA NA NA 208 0 0 NA NA NA 523 135 1241 NA NA NA 579 418 1859 NA NA NA
1707084000.0 10424.0 NA 260 469 0 NA NA NA 343 680 0 NA NA NA 357 1662 430 NA NA NA 434 1951 472 NA NA
1707084000.0 106.0 131 0 0 NA NA NA 209 0 0 NA NA NA 538 129 1219 NA NA NA 987 309 1809 NA NA NA
1707084000.0 107.0 167 184 361 NA NA NA 273 258 503 NA NA NA 1484 322 1460 NA NA NA 992 626 1841 NA NA NA
1707084000.0 10804.31 NA 290 460 0 156 179 NA 377 673 0 215 261 NA 1360 1535 400 336 526 NA 727 2691 574 664 769
1707084000.0 10805.31 NA 287 467 0 156 177 NA 376 646 0 224 258 NA 1344 1553 391 335 515 NA 703 2139 488 611 579
1707084000.0 10824.6 NA 295 489 0 186 182 NA 390 691 0 297 262 NA 1403 1692 435 341 544 NA 693 2192 544 661 780
1707084000.0 111.0 168 184 354 NA NA NA 270 259 493 NA NA NA 1005 273 1386 NA NA NA 885 711 1984 NA NA NA
1707084000.0 112.0 163 183 359 NA NA NA 274 256 505 NA NA NA 1264 306 1383 NA NA NA 878 469 1640 NA NA NA
1707084000.0 11224.0 NA 262 481 0 NA NA NA 348 663 0 NA NA NA 386 1686 448 NA NA NA 553 1852 552 NA NA
1707084000.0 115.0 171 187 366 NA NA NA 280 264 506 NA NA NA 1653 320 1477 NA NA NA 995 356 1796 NA NA NA
1707084000.0 11634.7 NA 275 497 0 NA NA NA 367 739 0 NA NA NA 400 1849 456 NA NA NA 333 1935 498 NA NA
