Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1707001200.0 1.0 76 98 151 NA NA NA NA NA 96 146 183 NA NA NA NA NA 1475 260 502 NA NA NA NA NA 1500 294 546 NA NA NA NA NA
1707001200.0 10.0 NA 107 229 0 NA NA NA NA NA 146 256 0 NA NA NA NA NA 1717 1589 429 NA NA NA NA NA 1749 1645 448 NA NA NA NA
1707001200.0 1000.0 NA 252 151 0 60 NA NA NA NA 283 181 0 78 NA NA NA NA 1938 453 378 114 NA NA NA NA 2000 512 402 156 NA NA NA
1707001200.0 1001.0 NA 223 191 0 0 0 0 0 NA 249 218 0 0 0 0 0 NA 1412 270 5 44 285 27 276 NA 1487 293 15 64 304 35 297
1707001200.0 1002.0 NA 246 80 NA NA NA NA NA NA 271 99 NA NA NA NA NA NA 1693 127 NA NA NA NA NA NA 1749 133 NA NA NA NA NA
1707001200.0 1003.0 NA 211 0 NA NA NA NA NA NA 246 0 NA NA NA NA NA NA 2184 243 NA NA NA NA NA NA 2259 260 NA NA NA NA NA
1707001200.0 10224.0 NA 150 234 0 NA NA NA NA NA 191 273 0 NA NA NA NA NA 1965 1689 214 NA NA NA NA NA 2587 2128 228 NA NA NA NA
1707001200.0 10225.0 NA 150 233 0 NA NA NA NA NA 194 278 0 NA NA NA NA NA 2031 1629 201 NA NA NA NA NA 2583 2121 211 NA NA NA NA
1707001200.0 106.0 59 0 0 NA NA NA NA NA 75 0 0 NA NA NA NA NA 265 55 104 NA NA NA NA NA 271 59 111 NA NA NA NA NA
1707001200.0 107.0 75 102 222 NA NA NA NA NA 97 148 254 NA NA NA NA NA 2708 287 363 NA NA NA NA NA 2752 316 400 NA NA NA NA NA
1707001200.0 108.0 79 103 226 NA NA NA NA NA 99 148 254 NA NA NA NA NA 3639 295 424 NA NA NA NA NA 3684 319 445 NA NA NA NA NA
1707001200.0 109.0 80 105 225 NA NA NA NA NA 99 148 254 NA NA NA NA NA 4149 302 449 NA NA NA NA NA 4208 325 475 NA NA NA NA NA
1707001200.0 11.0 NA 103 235 0 73 NA NA NA NA 146 264 0 90 NA NA NA NA 1360 673 441 27 NA NA NA NA 1406 719 463 58 NA NA NA
1707001200.0 1102.0 NA 107 235 141 87 NA NA NA NA 146 262 174 112 NA NA NA NA 1767 2093 1599 128 NA NA NA NA 1800 2154 1628 139 NA NA NA
1707001200.0 111.0 76 101 221 NA NA NA NA NA 96 148 254 NA NA NA NA NA 1648 220 329 NA NA NA NA NA 1683 253 373 NA NA NA NA NA
