Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1707084000.0 1000.0 NA 362 243 0 107 NA NA NA 509 336 0 169 NA NA NA 2202 711 322 244 NA NA NA 1893 1278 650 331 NA NA
1707084000.0 10009.0 NA 290 463 0 177 163 NA NA 368 657 0 287 243 NA NA 1561 1517 655 330 457 NA NA 1065 1937 800 770 608 NA
1707084000.0 1001.2 NA 513 227 0 0 0 0 NA 743 345 0 0 0 0 NA 9264 718 110 124 123 137 NA 4151 576 238 306 280 199
1707084000.0 10042.0 NA 292 469 0 180 163 NA NA 378 635 0 290 249 NA NA 1573 1502 852 333 474 NA NA 1210 1604 1070 683 880 NA
1707084000.0 10059.0 NA 302 480 0 151 167 NA NA 388 665 0 217 253 NA NA 1603 2171 652 329 493 NA NA 856 2128 720 594 786 NA
1707084000.0 10071.0 NA 298 474 0 149 165 NA NA 384 647 0 217 244 NA NA 1574 1606 663 322 479 NA NA 800 2108 793 733 581 NA
1707084000.0 10224.0 NA 454 675 0 167 NA NA NA 635 963 0 251 NA NA NA 2915 3059 732 490 NA NA NA 1479 2659 971 805 NA NA
1707084000.0 10224.15 NA 485 713 0 182 NA NA NA 646 963 0 271 NA NA NA 2925 2974 718 590 NA NA NA 1550 2684 945 1102 NA NA
1707084000.0 10225.0 NA 484 710 0 166 NA NA NA 661 1014 0 247 NA NA NA 2871 2709 680 473 NA NA NA 1616 2557 1049 603 NA NA
1707084000.0 1041.0 NA 113 85 0 NA NA NA NA 188 145 0 NA NA NA NA 248 158 78 NA NA NA NA 569 622 468 NA NA NA
