Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1707084000.0 1.0 157 175 288 NA NA NA NA NA NA 271 255 391 NA NA NA NA NA NA 1245 314 909 NA NA NA NA NA NA 1065 537 1060 NA NA NA NA NA NA
1707084000.0 1001.0 NA 322 190 0 0 0 0 0 0 NA 460 265 0 0 0 0 0 0 NA 1984 412 93 70 98 216 125 209 NA 2351 1083 453 228 158 468 188 261
1707084000.0 1005.0 NA 206 158 0 0 NA NA NA NA NA 363 260 0 0 NA NA NA NA NA 502 234 98 118 NA NA NA NA NA 801 399 273 293 NA NA NA NA
1707084000.0 101.0 177 NA NA NA NA NA NA NA NA 297 NA NA NA NA NA NA NA NA 737 NA NA NA NA NA NA NA NA 762 NA NA NA NA NA NA NA NA
1707084000.0 1010.0 NA 90 102 0 NA NA NA NA NA NA 161 169 0 NA NA NA NA NA NA 147 185 163 NA NA NA NA NA NA 320 477 203 NA NA NA NA NA
1707084000.0 102.0 173 NA NA NA NA NA NA NA NA 284 NA NA NA NA NA NA NA NA 693 NA NA NA NA NA NA NA NA 1001 NA NA NA NA NA NA NA NA
1707084000.0 1020.0 NA 89 79 0 87 NA NA NA NA NA 178 160 0 172 NA NA NA NA NA 183 144 69 181 NA NA NA NA NA 319 568 183 330 NA NA NA NA
1707084000.0 103.0 128 0 0 NA NA NA NA NA NA 209 0 0 NA NA NA NA NA NA 550 127 1224 NA NA NA NA NA NA 885 387 1489 NA NA NA NA NA NA
1707084000.0 1040.1 NA 126 83 0 NA NA NA NA NA NA 203 148 0 NA NA NA NA NA NA 377 145 109 NA NA NA NA NA NA 752 328 196 NA NA NA NA NA
1707084000.0 1041.0 NA 121 91 0 NA NA NA NA NA NA 199 154 0 NA NA NA NA NA NA 267 153 78 NA NA NA NA NA NA 519 363 175 NA NA NA NA NA
1707084000.0 1042.0 NA 122 88 0 NA NA NA NA NA NA 204 149 0 NA NA NA NA NA NA 409 168 81 NA NA NA NA NA NA 1538 461 193 NA NA NA NA NA
1707084000.0 1043.0 NA 112 93 0 NA NA NA NA NA NA 190 161 0 NA NA NA NA NA NA 292 152 68 NA NA NA NA NA NA 529 242 170 NA NA NA NA NA
1707084000.0 1044.0 NA 111 109 0 NA NA NA NA NA NA 185 190 0 NA NA NA NA NA NA 283 209 81 NA NA NA NA NA NA 411 577 220 NA NA NA NA NA
1707084000.0 1045.0 NA 111 102 0 NA NA NA NA NA NA 188 178 0 NA NA NA NA NA NA 280 194 73 NA NA NA NA NA NA 345 270 180 NA NA NA NA NA
1707084000.0 105.0 158 180 85 NA NA NA NA NA NA 273 262 147 NA NA NA NA NA NA 1282 311 139 NA NA NA NA NA NA 1113 472 308 NA NA NA NA NA NA
1707084000.0 1052.0 NA 212 163 0 NA NA NA NA NA NA 360 264 0 NA NA NA NA NA NA 486 228 79 NA NA NA NA NA NA 885 553 196 NA NA NA NA NA
1707084000.0 1052.1 NA 143 0 NA NA NA NA NA NA NA 250 0 NA NA NA NA NA NA NA 210 76 NA NA NA NA NA NA NA 468 204 NA NA NA NA NA NA
1707084000.0 106.0 128 0 0 NA NA NA NA NA NA 209 0 0 NA NA NA NA NA NA 540 123 1216 NA NA NA NA NA NA 585 176 1472 NA NA NA NA NA NA
1707084000.0 1060.1 NA 161 NA NA NA NA NA NA NA NA 253 NA NA NA NA NA NA NA NA 553 NA NA NA NA NA NA NA NA 646 NA NA NA NA NA NA NA
1707084000.0 1060.2 NA 154 NA NA NA NA NA NA NA NA 265 NA NA NA NA NA NA NA NA 482 NA NA NA NA NA NA NA NA 534 NA NA NA NA NA NA NA
1707084000.0 108.0 158 172 358 NA NA NA NA NA NA 279 263 512 NA NA NA NA NA NA 1943 359 1646 NA NA NA NA NA NA 1272 676 2070 NA NA NA NA NA NA
1707084000.0 10804.31 NA 287 471 0 151 153 NA NA NA NA 380 653 0 227 263 NA NA NA NA 1506 1559 405 354 531 NA NA NA NA 686 2050 539 1312 769 NA NA NA
1707084000.0 110.0 128 169 337 NA NA NA NA NA NA 218 253 492 NA NA NA NA NA NA 589 320 1518 NA NA NA NA NA NA 664 879 2154 NA NA NA NA NA NA
1707084000.0 11024.15 NA 559 806 0 194 NA NA NA NA NA 725 1132 0 277 NA NA NA NA NA 3711 3823 481 648 NA NA NA NA NA 1562 3127 619 837 NA NA NA NA
1707084000.0 111.0 166 178 325 NA NA NA NA NA NA 274 255 501 NA NA NA NA NA NA 1054 287 1546 NA NA NA NA NA NA 759 557 2220 NA NA NA NA NA NA
1707084000.0 112.0 145 173 351 NA NA NA NA NA NA 273 252 499 NA NA NA NA NA NA 1388 331 1550 NA NA NA NA NA NA 1084 624 2098 NA NA NA NA NA NA
1707084000.0 113.0 163 176 350 NA NA NA NA NA NA 278 254 500 NA NA NA NA NA NA 1425 340 1570 NA NA NA NA NA NA 1003 685 2102 NA NA NA NA NA NA
1707084000.0 114.0 161 180 353 NA NA NA NA NA NA 281 257 517 NA NA NA NA NA NA 1563 340 1579 NA NA NA NA NA NA 1427 639 2027 NA NA NA NA NA NA
1707084000.0 115.0 149 174 355 NA NA NA NA NA NA 288 257 503 NA NA NA NA NA NA 1796 351 1604 NA NA NA NA NA NA 1148 639 2133 NA NA NA NA NA NA
1707084000.0 11634.1 NA 257 282 0 NA NA NA NA NA NA 357 415 0 NA NA NA NA NA NA 435 713 448 NA NA NA NA NA NA 684 1288 717 NA NA NA NA NA
1707084000.0 11634.911 156 265 509 0 158 NA NA NA NA 232 340 722 0 234 NA NA NA NA 2476 1166 2369 878 476 NA NA NA NA 1710 837 2200 1013 740 NA NA NA NA
1707084000.0 11650.911 152 253 475 0 176 NA NA NA NA 228 348 693 0 275 NA NA NA NA 1778 1196 2348 896 783 NA NA NA NA 1226 913 3192 1346 708 NA NA NA NA
1707084000.0 119.0 159 178 341 NA NA NA NA NA NA 275 254 495 NA NA NA NA NA NA 1167 328 1551 NA NA NA NA NA NA 853 682 1723 NA NA NA NA NA NA
1707084000.0 120.0 122 176 343 NA NA NA NA NA NA 233 250 506 NA NA NA NA NA NA 553 315 1484 NA NA NA NA NA NA 805 846 1994 NA NA NA NA NA NA
1707084000.0 122.0 138 171 344 NA NA NA NA NA NA 229 240 488 NA NA NA NA NA NA 607 232 1340 NA NA NA NA NA NA 821 566 1670 NA NA NA NA NA NA
1707084000.0 123.1 370 NA NA NA NA NA NA NA NA 537 NA NA NA NA NA NA NA NA 886 NA NA NA NA NA NA NA NA 1102 NA NA NA NA NA NA NA NA
1707084000.0 123.2 370 NA NA NA NA NA NA NA NA 543 NA NA NA NA NA NA NA NA 983 NA NA NA NA NA NA NA NA 1135 NA NA NA NA NA NA NA NA
1707084000.0 123.3 320 NA NA NA NA NA NA NA NA 439 NA NA NA NA NA NA NA NA 770 NA NA NA NA NA NA NA NA 1062 NA NA NA NA NA NA NA NA
1707084000.0 124.1 350 NA NA NA NA NA NA NA NA 505 NA NA NA NA NA NA NA NA 769 NA NA NA NA NA NA NA NA 1168 NA NA NA NA NA NA NA NA
1707084000.0 124.2 362 NA NA NA NA NA NA NA NA 526 NA NA NA NA NA NA NA NA 800 NA NA NA NA NA NA NA NA 1078 NA NA NA NA NA NA NA NA
1707084000.0 124.4 364 NA NA NA NA NA NA NA NA 498 NA NA NA NA NA NA NA NA 771 NA NA NA NA NA NA NA NA 1053 NA NA NA NA NA NA NA NA
1707084000.0 124.5 351 NA NA NA NA NA NA NA NA 525 NA NA NA NA NA NA NA NA 789 NA NA NA NA NA NA NA NA 1024 NA NA NA NA NA NA NA NA
1707084000.0 124.6 317 NA NA NA NA NA NA NA NA 456 NA NA NA NA NA NA NA NA 768 NA NA NA NA NA NA NA NA 1142 NA NA NA NA NA NA NA NA
1707084000.0 126.0 126 173 345 NA NA NA NA NA NA 210 253 500 NA NA NA NA NA NA 1010 325 1539 NA NA NA NA NA NA 1110 900 1791 NA NA NA NA NA NA
1707084000.0 12634.0 NA 797 1138 0 NA NA NA NA NA NA 1081 1578 0 NA NA NA NA NA NA 5815 6576 644 NA NA NA NA NA NA 2908 3971 771 NA NA NA NA NA
1707084000.0 127.0 126 175 345 NA NA NA NA NA NA 210 256 504 NA NA NA NA NA NA 734 312 1503 NA NA NA NA NA NA 704 545 1949 NA NA NA NA NA NA
1707084000.0 128.0 129 166 332 NA NA NA NA NA NA 209 252 492 NA NA NA NA NA NA 539 322 1497 NA NA NA NA NA NA 1160 603 1718 NA NA NA NA NA NA
1707084000.0 129.0 131 177 349 NA NA NA NA NA NA 208 248 481 NA NA NA NA NA NA 516 292 1381 NA NA NA NA NA NA 821 387 1642 NA NA NA NA NA NA
1707084000.0 130.0 133 168 344 NA NA NA NA NA NA 219 249 490 NA NA NA NA NA NA 563 321 1482 NA NA NA NA NA NA 665 811 1819 NA NA NA NA NA NA
1707084000.0 1301.0 157 215 312 NA NA NA NA NA NA 245 302 461 NA NA NA NA NA NA 1296 327 933 NA NA NA NA NA NA 977 445 1111 NA NA NA NA NA NA
1707084000.0 1308.0 NA 213 249 101 0 NA NA NA NA NA 303 373 170 0 NA NA NA NA NA 305 449 174 205 NA NA NA NA NA 976 512 465 260 NA NA NA NA
1707084000.0 131.0 136 171 338 NA NA NA NA NA NA 221 252 495 NA NA NA NA NA NA 819 319 1550 NA NA NA NA NA NA 677 734 2173 NA NA NA NA NA NA
1707084000.0 13234.0 NA 545 0 NA NA NA NA NA NA NA 751 0 NA NA NA NA NA NA NA 3824 341 NA NA NA NA NA NA NA 2907 471 NA NA NA NA NA NA
1707084000.0 1325.5 NA 236 0 NA NA NA NA NA NA NA 349 0 NA NA NA NA NA NA NA 1598 163 NA NA NA NA NA NA NA 2217 362 NA NA NA NA NA NA
1707084000.0 1325.51 NA 232 0 NA NA NA NA NA NA NA 338 0 NA NA NA NA NA NA NA 1544 166 NA NA NA NA NA NA NA 2122 307 NA NA NA NA NA NA
1707084000.0 1325.516 NA 249 0 NA NA NA NA NA NA NA 361 0 NA NA NA NA NA NA NA 1689 165 NA NA NA NA NA NA NA 2478 319 NA NA NA NA NA NA
1707084000.0 1325.5161 NA 249 0 NA NA NA NA NA NA NA 341 0 NA NA NA NA NA NA NA 1727 164 NA NA NA NA NA NA NA 1924 304 NA NA NA NA NA NA
1707084000.0 1325.517 NA 232 0 NA NA NA NA NA NA NA 344 0 NA NA NA NA NA NA NA 1735 165 NA NA NA NA NA NA NA 2091 230 NA NA NA NA NA NA
1707084000.0 1325.518 NA 258 0 NA NA NA NA NA NA NA 361 0 NA NA NA NA NA NA NA 2104 181 NA NA NA NA NA NA NA 2374 570 NA NA NA NA NA NA
1707084000.0 134.0 NA 365 87 0 NA NA NA NA NA NA 534 151 0 NA NA NA NA NA NA 2723 159 82 NA NA NA NA NA NA 2936 411 240 NA NA NA NA NA
1707084000.0 135.1 429 0 194 167 NA NA NA NA NA 559 0 275 250 NA NA NA NA NA 869 254 607 415 NA NA NA NA NA 1188 416 990 661 NA NA NA NA NA
