Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1707001200.0 10009.0 NA 238 703 118 0 NA 489 830 145 0 NA 1292 2044 363 1623 NA 2446 3280 992 2200
1707001200.0 10059.0 NA 278 733 119 0 NA 479 846 146 0 NA 1525 2714 367 1674 NA 2812 3492 910 2097
1707001200.0 106.0 67 0 0 NA NA 90 0 0 NA NA 681 184 1168 NA NA 731 379 2043 NA NA
1707001200.0 10826.0 105 279 733 119 0 136 482 854 146 0 6201 1436 2477 354 1642 2623 1861 2966 812 1946
1707001200.0 10842.0 76 239 702 118 0 110 469 800 146 0 1028 1123 1962 355 1627 1416 2881 3110 905 1940
1707001200.0 11623.0 81 248 705 108 0 110 476 811 133 0 1426 1338 2211 358 1713 1789 1595 3343 656 2157
1707001200.0 12024.0 96 283 732 0 NA 121 479 835 0 NA 3706 1506 2479 1784 NA 1761 1885 3190 2183 NA
1707001200.0 127.0 88 108 468 NA NA 125 367 540 NA NA 803 397 1341 NA NA 847 581 2464 NA NA
1707001200.0 1325.5 NA 218 0 NA NA NA 275 0 NA NA NA 4216 116 NA NA NA 4505 514 NA NA
1707001200.0 136.7721 NA 215 0 NA NA NA 287 0 NA NA NA 4425 110 NA NA NA 4824 462 NA NA
1707001200.0 1362.17 81 261 721 0 NA 131 479 839 0 NA 4334 1289 2140 1660 NA 9763 1801 3716 2080 NA
1707001200.0 144.6 NA 451 NA NA NA NA 491 NA NA NA NA 2198 NA NA NA NA 2379 NA NA NA
1707001200.0 25212.17 81 430 808 0 NA 131 586 949 0 NA 4063 3625 3489 1674 NA 9259 2871 3910 2126 NA
1707001200.0 4008.0 68 0 0 NA NA 91 0 0 NA NA 806 185 1167 NA NA 975 403 2005 NA NA
1707001200.0 531.0 84 0 NA NA NA 189 0 NA NA NA 142 105 NA NA NA 290 456 NA NA NA
1707001200.0 535.0 65 0 NA NA NA 85 0 NA NA NA 666 100 NA NA NA 2279 526 NA NA NA
1707001200.0 541.0 67 0 NA NA NA 88 0 NA NA NA 144 99 NA NA NA 421 327 NA NA NA
