Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1707001200.0 10224.0 NA 429 639 0 NA NA NA 670 924 0 NA NA NA 4059 4209 966 NA NA NA 1939 4122 1088 NA NA
1707001200.0 10225.0 NA 396 658 0 NA NA NA 670 943 0 NA NA NA 4095 3900 924 NA NA NA 2208 3814 1215 NA NA
1707001200.0 10424.0 NA 204 396 0 NA NA NA 557 734 0 NA NA NA 643 2012 929 NA NA NA 612 3307 1439 NA NA
1707001200.0 106.0 68 0 0 NA NA NA 98 0 0 NA NA NA 456 190 1456 NA NA NA 690 262 2049 NA NA NA
1707001200.0 10804.0 NA 313 428 0 104 198 NA 681 701 0 141 285 NA 2717 1979 1697 431 554 NA 2502 2675 2380 903 985
1707001200.0 10805.0 NA 310 424 0 110 218 NA 679 720 0 143 307 NA 2769 1957 1681 531 542 NA 2205 3362 2127 713 905
1707001200.0 10807.0 NA 303 427 0 103 177 NA 634 743 0 159 245 NA 2789 2032 1679 430 547 NA 2783 3451 2310 718 954
1707001200.0 10823.0 NA 299 NA NA NA NA NA 679 NA NA NA NA NA 2769 NA NA NA NA NA 2564 NA NA NA NA
1707001200.0 10824.5 NA 360 189 0 NA NA NA 631 243 0 NA NA NA 2984 563 130 NA NA NA 2496 1039 492 NA NA
1707001200.0 10824.7 NA 330 444 0 124 224 NA 634 772 0 163 303 NA 1759 2280 1773 447 572 NA 1984 3349 2319 679 879
1707001200.0 10825.0 NA 330 435 0 113 220 NA 680 698 0 148 311 NA 2865 2143 1768 567 569 NA 2466 3117 2465 729 1118
1707001200.0 10826.0 NA 352 429 0 121 223 NA 679 770 0 163 314 NA 3057 2559 1758 568 595 NA 2649 3571 2461 793 1127
1707001200.0 10871.0 NA 330 432 0 104 200 NA 634 732 0 140 320 NA 2908 2171 1726 478 581 NA 2582 3286 2235 770 907
1707001200.0 11224.0 NA 302 435 0 NA NA NA 636 769 0 NA NA NA 1725 2338 1757 NA NA NA 2133 2989 2089 NA NA
1707001200.0 11224.6 NA 317 431 0 NA NA NA 589 756 0 NA NA NA 1668 2328 1753 NA NA NA 2091 3331 2130 NA NA
1707001200.0 11824.0 NA 401 732 0 218 NA NA 616 1098 0 293 NA NA 4066 5628 981 525 NA NA 2898 4622 1338 1000 NA
1707001200.0 11825.0 NA 447 745 0 202 NA NA 721 1099 0 285 NA NA 3871 4763 933 499 NA NA 2192 4528 1232 832 NA
1707001200.0 119.0 110 145 309 NA NA NA 217 582 592 NA NA NA 1469 443 1638 NA NA NA 1143 808 2222 NA NA NA
1707001200.0 120.0 82 169 306 NA NA NA 138 584 569 NA NA NA 508 400 1590 NA NA NA 994 588 2428 NA NA NA
1707001200.0 12024.0 NA 211 404 0 NA NA NA 601 740 0 NA NA NA 681 2004 910 NA NA NA 982 3443 1093 NA NA
1707001200.0 122.0 84 216 296 NA NA NA 137 583 568 NA NA NA 659 417 1576 NA NA NA 1411 458 2341 NA NA NA
1707001200.0 126.0 83 144 310 NA NA NA 160 585 556 NA NA NA 1081 435 1616 NA NA NA 1244 999 2404 NA NA NA
1707001200.0 128.0 82 147 301 NA NA NA 127 584 629 NA NA NA 482 421 1614 NA NA NA 960 616 2407 NA NA NA
1707001200.0 129.0 85 160 304 NA NA NA 134 584 615 NA NA NA 510 410 1582 NA NA NA 1015 628 2461 NA NA NA
1707001200.0 13.0 NA 179 304 0 NA NA NA 554 615 0 NA NA NA 404 2236 488 NA NA NA 888 2756 780 NA NA
1707001200.0 130.0 83 196 302 NA NA NA 134 585 634 NA NA NA 536 407 1653 NA NA NA 993 552 2482 NA NA NA
1707001200.0 1304.181 95 289 214 168 NA NA 144 586 551 265 NA NA 2104 2642 942 694 NA NA 1378 2073 1183 888 NA NA
1707001200.0 1309.0 NA 179 355 0 NA NA NA 610 644 0 NA NA NA 644 1869 561 NA NA NA 577 3274 829 NA NA
